review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
59654,Paul,VIC - 3165,VIC,3165,True,2019-10-11,11 October 2019,5.0,,The main reason I took so long to take up solar was because I did not know who to trust. Solar Quotes fixed that for me. This turned out to be one of the smoothest and most pleasant transactions I have done. Everybody from the salesperson to the office support to the installers and the inspector were right on the money and so supportive. And it didn't end there. Powershop have organised a new meter for us that allows us to feed into the grid. It was all so simple and seamless and now I am waiting for Energy Makeovers to complete the paperwork for me to claim the $2225.00 rebate from the Andrews Labor government. It all feels so immensely liberating.,5.0,5.0,5.0,5.0,4kW,"$3,000 to $6,000",LONGi Solar,Zeversolar,No battery (Other),5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_zeversolar.png']",0,0
67421,Nigel,VIC - 3805,VIC,3805,True,2019-08-15,15 August 2019,1.5,,Best not anything as everything has been poor from start to finish,1.0,3.0,1.0,1.0,6.6kW,"$6,000 to $8,000",,SolaX Power,,,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
65384,Jane,VIC - 3805,VIC,3805,True,2019-06-22,22 June 2019,2.75,,"Arrived to install on a different day to original booking date.We accepted the quote on the panels & inverter after researching them & ensuring they were fit for our purpose. We happened to notice once installed that they had installed completely different panels, when we raised our concern they brushed over it stating they were better panels. We asked them to remove the panels, they then reduced the cost of the panels.They placed the panels differently than planned. Our larger system consistently produced less than our daughters smaller system, when we challenged with the evidence & requested the panels be moved to capture the afternoon sun too, our system now produces more energy than our daughters on a daily basis.Very poor at returning calls, following up issues & concerns. Slow in providing the paperwork required for energy company, grid connection, solar rebate etc.The inverter app did not work for more than 5 months, 2 call outs to eventually get it working.We paid 6 months after the installation, only paying once the system was working properly.Overall a very disappointing service",3.0,4.0,3.0,1.0,6.6kW,"$6,000 to $8,000",,,,,,False,[],0,0
63126,Shane,VIC - 3082,VIC,3082,True,2019-04-23,23 April 2019,3.75,,"I felt the sales team, installer co-ordinator and installers were top notch but the paperwork & certificate processing at the office level was well below par. The office processing is what lowered my review to 'Average' for service. Repeated requests for the same documents and documentation requirements which should have been processed or, at least prepped ahead of time, were left to last minute. Only got the rebate documents days ago after requests from me and still no confirmation that the documents have been forwarded to enable calibration of the meter.  We had this system up and running on March 28 and still have not been able to feed in; which is costing us valuable income against our electricity bills.",4.0,4.0,4.0,3.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
61428,Anon,VIC - 3978,VIC,3978,True,2019-03-20,20 March 2019,3.5,,,3.0,4.0,4.0,3.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
59537,Judy and Adrian,VIC - 3752,VIC,3752,True,2019-02-05,05 February 2019,3.25,,"We have only had it for three weeks and we are still waiting for our distributor to connect us to the grid. Because of that we have not heard from our retailer how much rebate we will be receiving per Kw hour. On the other hand, during the daytime, we have noticed that our use is being covered by solar power.On the debit side, whoever installed it did not put all the panels on the best side of the roof as we actually were told initially.",3.0,3.0,3.0,4.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
45547,Linjian,VIC - 3029,VIC,3029,True,2018-03-20,20 March 2018,5.0,,"Simply great service from Energy Makeovers, definitely one of the most reputable companies. We had three electricians Matthew Fabian and Athan come over and knocked the job over within one day despite the difficulty in installing on a double story house. They provided great recommendation as opposed to and installed the inverter closer to the meter and in shade (great for inverter efficiency).The guys took their shoes off when needing access to the house which was really a plus.We are very impressed with the service and cannot recommend them more.",5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
45052,Daniel,VIC - 3429,VIC,3429,True,2018-03-08,08 March 2018,5.0,,"The install was professional, efficient and went smoothly. We were given honest straightforward advice on the system that best suited our needs and budget. The system inverter connects to our home network and letâ€™s us monitor the system output in real-time, which is great to help decide when to turn on things like washing machines and air con. Very happy with the system and looking forward to the lower power bills.",5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
44978,Stuart,VIC - 3936,VIC,3936,True,2018-03-07,07 March 2018,4.75,,"Very effective and efficient about every aspect of the process.  Design was provided promptly and the appropriate system recommended quickly after accepting the design, given complexities in the house's roof structure.  Installation was completed in a single day and we were on to the grid a few days later.  Could not be happier, especially when my electricity bill over the Christmas holiday period was a credit!!!A couple of after sales enquiries and follow-ups handled promptly and without question.",5.0,4.0,5.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
44930,Sirin,VIC - 3207,VIC,3207,True,2018-03-06,06 March 2018,5.0,,Energy Makeovers has a non-pushy sales approach.  They took time to explain the different system components and provided costings for me to chose from.  Installation was hassle free (they were on time and very professional).Recommend to people looking for a quality system and installation for a long term piece of mind.,5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
44918,Julie,VIC - 3122,VIC,3122,True,2018-03-06,06 March 2018,5.0,,"energy makeovers was very responsive to my solar system needs, and their customer service and professionalism was exemplary.  I would highly recommend their services to anyone.  They helped to maximise my energy capture, whist minimising cost outlay for the system.",5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
