review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
134336,Chris,SA - 5152,SA,5152,True,2025-06-13,13 June 2025,4.5,,"Sales and and quotation was very goodThe actual installation was faultless,tidy,punctual and discussed in a friendly manner.The sales person did not have a great handle on positioning of the battery unit.They are yet to show us how to use the charger and app which I assume will happen when the system is finally up and runningWe did have some holdups getting Sigen to change our contact details to my partner who does all our admin",5.0,5.0,5.0,3.0,more than 30kW,"$15,000 to $20,000",,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
131854,Heather,SA - 5051,SA,5051,True,2025-03-25,25 March 2025,5.0,,Very happy with all aspects of installation.Despite encountering a few problems installation was completed quickly and efficientlyWatching the production of energy via the app is adding to the joy.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,Enphase,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
131226,Amy,SA - 5168,SA,5168,True,2025-03-03,03 March 2025,5.0,,"Quoting process was simple - really took the time to answer questions, assess the site in person, and willing to price match.Install was arranged quickly and went smoothly. Team did a great job, showed me how to download and use the app, and meter swap over all arranged.Very happy with the new system.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Goodwe,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
130826,Simon,SA - 5092,SA,5092,True,2025-02-18,18 February 2025,5.0,,"From the moment we decided to go with EnergySA the process was smooth & seamless.Robby contacted us within a few days and arranged a site visit, letting us know the pros & cons of the various solar panel & inverter combinations. He provided three quotes for the various options, while maximising our solar system size for our difficult roof style.Once we selected a quote, the installation date was booked, all required paperwork raised & smart meter installed all within a couple of weeks.The installation crew arrived on time, were well spoken, polite and respectful, we had limited spare tiles and the tradesmen were very good and only needed to use a couple. Considering the number of tiles that needed grinding down and drilling through, this was a fantastic result.The installation was done to a terrific standard, with a tidy and professional finish. They took the time to explain everything and to setup the monitoring App etc.The follow up customer service was second to none, Courtney sent through all the related product & warranty documents and followed up to check we were happy with everything.",5.0,5.0,5.0,5.0,8kW,"More than $20,000",Jinko Solar,Enphase,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9d710f7cf6c5ac7a3860752614667f890.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b5beff7bb93122a44ea1d4644b8984d71.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/be0d69f7701bc965a35374a1a9fd6abd5.jpeg']",0,0
128339,Joan,SA - 5038,SA,5038,True,2024-11-25,25 November 2024,4.75,,"Answered everything I needed to know. Went through and explained everything clearly, made sure that I understood what would happen on the day.",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
127379,Jonathan,SA - 5000,SA,5000,True,2024-10-29,29 October 2024,5.0,,"My property was a relatively difficult challenge , 2 story, small roof,(we had a few ""job's too hard"" companies) however Robbie was excellent at assessing our requirements and providing a technical solution. He provided  production and energy independence figures, currently we are exceeding these. The installation was very smooth and the team did a great job, including tidying up. Connection and commissioning was very smooth. The after sales customer service has been excellent so far. I had a couple of non-standard requests, which they responded to promptly. Communication throughout the entire process was excellent.",5.0,5.0,5.0,5.0,7kW,"More than $20,000",JA Solar,Enphase,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
125982,Anthony,SA - 5045,SA,5045,True,2024-09-13,13 September 2024,4.0,,Installer was very good and didn’t seem to rush the work. The after sales customer service is also excellent. They reached out to my energy provider to get everything sorted prior to installation. Customer service helped me connect to the app to see the solar working. Been using it now for more than a month and my projected quarterly bill from my energy provider app has significantly decreased l.,3.0,4.0,5.0,4.0,6.6kW,"$6,000 to $8,000",JA Solar,,,5.0,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg'],0,0
124804,Gavin,SA - 5152,SA,5152,True,2024-08-08,08 August 2024,5.0,,"Very knowledgeable salesperson Addie, and I was particularly impressed with the installers great bunch of guys.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",JA Solar,Goodwe,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
123069,Ian,SA - 5044,SA,5044,True,2024-06-15,15 June 2024,5.0,,Bird netting & inverter cover included. Installed in one day including removal of our faulty panels,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
121897,Lachie,SA - 5204,SA,5204,True,2024-05-07,07 May 2024,4.75,,"EnergySA were great to work with. Very informative and straight forward. Not pushy, just precise info and helpful options.",5.0,4.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,Enphase,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
117591,Mark,SA - 5013,SA,5013,True,2023-12-15,15 December 2023,5.0,,"Nothing was too much trouble even when I changed my mind about the products I decided on. Friendly, professional, quick responses, actually came to my home without having to ask and was keen to do so. Robby who sold me the system explained everything well and easily and nothing was a hassle. I am keen to have work done right the first time and Robby made sure the team who installed the system were aware and the boys who did the install were friendly and professional and discussed things with me through the day, showed me the completed stages and cleaned up after themselves, I can’t thank them enough for taking the time and being thorough with their work. I highly recommend them to anyone thinking of solar. Thanks again to a great team and local SA business.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
111664,Jeannie,SA - 5048,SA,5048,True,2023-06-20,20 June 2023,4.75,,"I am glad I had people come to my property to provide a quote rather than pushy telephone salesmen. The salesman was punctual, friendly and knowledgeable. The installers were punctual, polite and efficient. They cleaned up after themselves and kept me informed during the installation. It all went smoothly and they organised everything.",4.0,5.0,5.0,5.0,4kW,"$12,500 to $15,000",Trina,Alpha Technologies,Alpha-ESS,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
110896,Jason,SA - 5038,SA,5038,True,2023-05-24,24 May 2023,4.0,,"Thanks to solar quotes, I was educated on solar and this made the quoting process much betterInstallation went wellWas sub contracted from the people I dealt with during the quoting",4.0,4.0,4.0,4.0,6.6kW,"$8,000 to $10,000",Trina,Enphase,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
