review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
99765,Bettina,VIC - 3012,VIC,3012,True,2022-05-09,09 May 2022,4.75,,"Everything exactly as planned. Listened to my needs, sales rep came and discussed and measured. Perfect.",4.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,False,[],0,0
87617,David,QLD - 4552,QLD,4552,True,2021-03-10,10 March 2021,4.0,,"Quoting process uncomplicated and to the point. We chose this company for the quality of their product, and for their claimed considerations for the environmental footprint of the upgrade. For example, the old but still viable panels would not be given over to landfill but recycled.The site for the installation posed problems with shading, but the arrangement of the panels makes best use of the angles / sunlight. The installation went smoothly. The team was punctual, efficient with minimal interruption to our routine. The grid connection was organised on the day, and now, 3 weeks on, well, so far so good!We are still feeling our way with the Solar Edge monitoring app.",4.0,4.0,4.0,4.0,5kW,"$6,000 to $8,000",Winaico,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
82984,Chris,VIC - 3070,VIC,3070,True,2020-10-27,27 October 2020,4.75,,"I had a very good experience with EnviroGroup.They were responsive when I requested a quote from them after they were suggested by SolarQuotes as a local installer. From having a chat to their sales person it was obvious that he knew what he was talking about and he gave me quotes for a couple of different system options - a String and Micro Inverter setup.They were also local to my house. Based on this I decided to go with them for the system.I had my own thoughts about where I wanted the panels based on which parts of the roof gets the most sun at different times of day and they were happy to work this into their design, so I ended up with 2 areas of the roof with panels to maximise production throughout the day.Installation was pretty painless and the installers were also knowledgeable and happy to share their thoughts on topics like batteries.I requested a service call for a very minor issue post-installation and they attended promptly and resolved it quickly.From first contact to system commissioning they were responsive and professional.I am very happy with my 6.6kw system and am producing heaps of power when the conditions are right. With the feed-in tariff I am breaking even on my power usage charges from my retailer and this is even coming out of winter and into early spring.I can highly recommend EnviroGroup.Also, I was very happy with SolarQuotes for making it easy to find some local installers to talk to, as well as having a lot of useful info on their website.",4.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SunPower,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
81496,Alec,NSW - 2079,NSW,2079,True,2020-09-14,14 September 2020,5.0,,"Polite, tidy, punctual. Turned up, completed install exactly as agreed. Works as it should. Happy days",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Winaico,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
80745,Matthew,VIC - 3095,VIC,3095,True,2020-08-24,24 August 2020,4.75,,"Straight forward from initial contact, with follow ups as promised. Installed on time with real professionals that took care with everything. Really simple email and communication all the way.",4.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Winaico,Fronius,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
79510,David,VIC - 3071,VIC,3071,True,2020-07-24,24 July 2020,3.25,,The sales/quote process was ok but I had to push them for alternative solutions due to shading issues. They were reluctant to do a site visit but eventually came out and amended the system to something more suitable for the site.The installation was rescheduled from the original date and was spread over multiple days even though I was lead to believe it would be completed in 1 day. Installers were grumpy throughout but did hardwire the monitoring system as it was right next to the nbn port.The installation address was wrong on the paperwork even though they were asked to correct it. The inspector eventually got it corrected.Overall I am happy with the system but after spending more than $10k on a system I would have expected better customer service,3.0,4.0,3.0,3.0,6.6kW,"$10,000 to $12,500",Trina,Enphase,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
75291,Peter,VIC - 3163,VIC,3163,True,2020-04-07,07 April 2020,5.0,,"Matt was very efficient on the quoting and happy to answer any queries I had. He was also very helpful on the process to get grants via Solar Victoria. One of my queries resulted in Matt organising for the installer to come to our house  eabling the exact number of panels to be identified, this was good customer service.The installation went ahead as scheduled and apart from one small hicup on the panels (suppliers fault) everything went ahead without any fuss. The installers arrived when they said they would , easy to get along with and left the site clean and tidy. The installation company submitted the grid connection to my retailer and sent me a copy of the email so I knew where things were at.Timeframes were great, we have a 5.2Kw system installed about 2 weeks after decidiing to go ahead.It looks like the energy retailer process that enables me to receive the feed in tariff will take longer than the work to get the system quoted and installed.",5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",,,,3.0,3.0,False,[],0,0
74751,Alan,VIC - 3185,VIC,3185,True,2020-03-24,24 March 2020,4.5,,We built a new home in 2014 and allocated a section of roof that was facing north with a 7 degree angle to mount 5kw of high performance solar panels. We were very particular with flush mounting the panels so that they would no be visible from ground level. The inverter is very slim but due to space constraints we located externally next to the meter box. Installation and setup went smoothly due to the support from both the system installer and MIL-Solar that manufactured and supplied the inverter. MIL-Solar has also followed up on our experience with the Eclipse inverter and provided ongoing monitoring of system performance.,4.0,5.0,4.0,5.0,5kW,"$6,000 to $10,000",,MIL-Solar,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_mil-solar.png'],0,0
73506,Marwa,VIC - 3058,VIC,3058,True,2020-02-13,13 February 2020,4.0,,"The process was smooth and the installation seems to have gone ok.  They were able to fit fewer panels than the quote and this was revealed on the day of installation. But overall, considering the level of service that others provide, I'd say these are the best of the lot.Still waiting on grid connection.",4.0,4.0,4.0,4.0,4kW,"$2,000 to $4,000",Trina,SMA,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
64457,Tony,VIC - 3079,VIC,3079,True,2020-01-26,26 January 2020,4.25,,System monitoring of inverter output is not easy.,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",Winaico,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
68504,Steven,VIC - 3068,VIC,3068,True,2019-09-18,18 September 2019,2.25,,"They charge more than others, but do a high quality install, with high quality components.The problem is the design: my house is a flat roof facing NWN, so they put 8 panels NWN, and 6 panels WSW, but I have a 3 story church to the west (very close to my house) so church shades all my panels in late afternoon. I have no shading north or east. I asked them after the install, why WSW instead of ENE, and they said â€œin Victoria always better to have west facing panelsâ€, and there is â€œmore sunlight later in afternoon, compared to morningâ€!So I complained and they wanted $1000 to change to panels (on tilts) from WSW to ENE, so I paid someone else $500 to do it and I am very happy with the change.Terrible design from EnviroGroup!",1.0,4.0,3.0,1.0,4kW,"$8,000 to $10,000",SunPower,Fronius,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
60431,Nick,VIC - 3072,VIC,3072,True,2019-02-28,28 February 2019,5.0,,Knew their stuff and very good at explaining the technology with out treating me like I had no hope of understand the technology to make the right choice to suit my needs and budget. I was renovating my house when the install was meant to be done and they were great when it was delayed by my builders.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
60362,Bill,VIC - 3925,VIC,3925,True,2019-02-26,26 February 2019,4.75,,"This is the second system we have bought from EnviroGroup; the first in July 2016 and the second in October 2018. While not the cheapest, the service has been excellent on both occasions. The second installation was at a property out of Melbourne, and the installation took place exactly as originally arranged, no cancellations or rescheduling. The installers were very professional and the system is working as expected. Paul has always been easy to communicate with and will find answers to anything he does not know. The paperwork for arranging grid connection was handled well. All in all a very pleasing experience.",4.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
60356,Michelle,VIC - 3051,VIC,3051,True,2019-02-26,26 February 2019,4.5,,Amazing customer service - very fast process - very helpful and forthcoming.,3.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
54924,Kai,VIC - 3011,VIC,3011,True,2018-10-30,30 October 2018,4.25,,"More expensive than other systems, but everything from start to finish is excellent.From the initial quotation to the installation and after sales service. Good job.",2.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
54408,Michelle,VIC - 3073,VIC,3073,True,2018-10-20,20 October 2018,4.33,,Panels being installed next week.,4.0,5.0,0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
54391,Georg,VIC - 3152,VIC,3152,True,2018-10-19,19 October 2018,3.75,,,3.0,4.0,4.0,4.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
42377,Peter,VIC - 3136,VIC,3136,True,2018-10-17,17 October 2018,4.25,,"-Reenet's quote does not meet CEC recommendations. Their physical address appears to be a private residence.-Green Valley spoke on the phone at length but went missing after. Mailed offering to visit weeks later.-Enviro Group visited promptly, answered all questions, their quote is properly itemised, shows projections of consumption etc.according to CEC (and Solar Quotes..) recommendations. Signed up with them a month ago, install scheduled for end of January.Thanks for Solar Quotes' help, Happy New Year !Ps. Please use first name only for reviews. Thanks",4.0,5.0,4.0,4.0,5kW,"$10,000 to $15,000",SunPower,Solaredge,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
53565,Anon,VIC - 3104,VIC,3104,True,2018-10-03,03 October 2018,4.5,,,4.0,4.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
52914,Warwick,VIC - 3113,VIC,3113,True,2018-09-19,19 September 2018,4.5,,Immediate and very helpful followup on any queries.,4.0,4.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
52311,Anon,VIC - 3192,VIC,3192,True,2018-09-07,07 September 2018,4.0,,,4.0,5.0,3.0,4.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
52176,Anon,VIC - 3087,VIC,3087,True,2018-09-04,04 September 2018,4.0,,,3.0,4.0,0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
49366,N.,VIC - 3057,VIC,3057,True,2018-06-28,28 June 2018,5.0,,"I had my solar (PV) system installed about five years ago by the EnviroGroup. I Â was happy with  the installation at the time, but more importantly, I continue to be very satisfied with them in the intervening years. The real test for a service is the kind Â of support provided after your account has been settled and at any time over the past five years, when Iâ€™ve had any questions or concerns about my PV system, the EnviroGroup have  been very supportive. Recently I needed to reposition my switchboard and I needed an electrician who was familiar with a solar installation and although they were not able to do the job for me, they recommended a suitable company. The EnviroGroup's  advice is tailored to your needs and not simply aimed at a short term gain for them. This is a refreshing change for a retail business. Lately I have dealt with Natasha and I cannot speak highly enough of the help she has given me. Thank you Natasha and EnviroGroup.N.A.",5.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
35218,Anon,VIC - 3350,VIC,3350,True,2018-02-19,19 February 2018,4.0,,"Installation guys were our actual contact and were extremely polite and obliging. The only other contact with the company was by phone and e mail of pricing and performance comparisons of different components. We had prices from 2 companies, the third said they were not able to quote.",3.0,4.0,4.0,5.0,3kW,"$3,000 to $6,000",SunPower,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
40156,Anon,VIC - 3103,VIC,3103,True,2017-11-07,07 November 2017,4.25,,,4.0,5.0,5.0,3.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
39105,Rob,VIC - 3070,VIC,3070,True,2017-10-13,13 October 2017,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
39028,Harry,VIC - 3777,VIC,3777,True,2017-10-10,10 October 2017,3.5,,,3.0,4.0,4.0,3.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
37935,Veronica,VIC - 3205,VIC,3205,True,2017-09-01,01 September 2017,3.25,,Rapidly became sales focused. Original inverter failed after 6 months. Replaced with Aurora which failed after 6 years. No interest in after sales service or assistance.,4.0,2.0,4.0,3.0,2kW,"$6,000 to $10,000",,Fimer,,,2.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
36595,Daryll,VIC - 3360,VIC,3360,True,2017-07-06,06 July 2017,4.5,,Very professional and they made it easy,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
35022,Bob,VIC - 3363,VIC,3363,True,2017-04-18,18 April 2017,4.5,,The installer didn't provide any information on the monitoring process. Had to get a company representative back to help set it up on my lap top.,4.0,5.0,5.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
34902,Stephen,VIC - 3351,VIC,3351,True,2017-04-12,12 April 2017,3.75,,No,4.0,4.0,4.0,3.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
31724,Liam,VIC - 3011,VIC,3011,True,2016-09-14,14 September 2016,4.75,,EnviroShop installed a 40kW system on our business and provided excellent service from start to finish.,4.0,5.0,5.0,5.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
31142,Katy,VIC - 3129,VIC,3129,True,2016-07-27,27 July 2016,5.0,,"Envirogroup installed a 30Kw system at our primary school. They came out numerous times to talk to us, endured the 2 year time frame that it took to get the system up and running and were terrific the whole way along. They really know their stuff and I can't recommend them highly enough.",5.0,5.0,5.0,5.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
30006,Helen,VIC - 3079,VIC,3079,True,2016-04-04,04 April 2016,4.5,,"Paul was great in explaining and assessing our options for solar.  He was pleasant to deal with and answered all my questions.  Mel was quick and efficient in organising the instal and paperwork.  The installation guys were very pleasant to deal with, came on time, got on with job and explained everything.I would highly recommend Enviroshop.",4.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
29580,Angelo,VIC - 3132,VIC,3132,True,2016-02-29,29 February 2016,4.25,,,4.0,5.0,4.0,4.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
