review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
33663,Dale,VIC - 3188,VIC,3188,True,2017-02-07,07 February 2017,3.5,,"Fly-by-nighters were installing 6 years ago when SOLAR was all the rage (large rebates).Panels seem very good, Inverter was very good until it died after 5 years.",3.0,4.0,4.0,3.0,4kW,"$6,000 to $10,000",,Sunna Tech,,,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sunna-tech.png'],0,0
27632,Judith,VIC - 3082,VIC,3082,True,2015-09-21,21 September 2015,3.25,,"HiI have bought a solar system from enviromate victoria in December 2010 which was on 1/20 Arthur Street , Eltham, Victoria  and I now hear that they are liquidated. Now I have trouble with my panels (250W mono crystalline panels)and I really don't know how to get in touch as their phone contact is disconnected and their email is never replied to. I'm struggling to get my panels replaced and I do hope someone could help me solve this problem.",4.0,4.0,4.0,1.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
16380,Julian,VIC - 3759,VIC,3759,True,2012-11-05,05 November 2012,4.5,,"Very pleased with Enviromate.  Excellent installation, excellent response time.",4.0,4.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
16046,Rod,VIC - 3156,VIC,3156,True,2012-10-09,09 October 2012,4.5,,"The company and the installers were friendly, willing to answer any questions and were very efficient in all aspects of supplying information and follow up after the installation.",4.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
4977,Andy,VIC - 3136,VIC,3136,True,2012-09-20,20 September 2012,4.0,,Robert Collings the Environmate Sales consultant was really good and helped with ensuring we were to get a fairly quick install.We paid deposit and signed for the system 31 Nov 2010Install was 10 Jan 2011Red ENERGY and SP Ausnet were great tooMeter fitted by SP Ausnet 28 Jan 2010,4.0,4.0,4.0,4.0,1.5kW,Under $3000,Juli New Energy,Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
6886,Mike,VIC - 3149,VIC,3149,True,2012-09-17,17 September 2012,4.0,,"This field seems to be populated by ex-roof insulation companies.Nearly all are retail outlets, not the actual installers.All offered the best panels and inverters that China makes.Real information upon which to make an informed choice is hard to come by - Goverment Consumer Affairs would not provide list of dogdy dealers, the whirlpool internet site provided some good news stories but is short on facts, independant test results on panels and inverters are non-existent, CEC accreditation of panels and inverter are un-verifiable and rumor has it that installers can buy their way onto the CEC list. I even knocked on doors of some solar power installations around the area to get some idea of wether they were getting what was advertised (sold to them)I tried to contact 3 installers directly not they don't have time to give quotes or don't awswer their phones or return calls!I contacted 6 retailers; ranked here from bad to OK.1. Exel Power wanted to deal only with husband and wife. Advertising deal only2. AGL 11 x 185w panels $63743. Environment Shop 12 X 185W panels, $60954. Eko wanted $900 upfront to give a 'free' quote, 11 x 185W panels, $50995. Energyaware 11x190W panels, $4500 ($4300 for payment in full before installation)6. Environmate 9 x 230W panels $4170 ($3961 ditto)Installation dates were quoted by 5 and 6 were both 6-8 weeks after ordering ie mid JuneI selected Environmate based on price, a 10 year warranty and a local installation recommendation.Fewer larger panels suit my limited north facing roof space.Energyaware were ranked a very credible second.Note: 185W panels offered all appear to be copies of the Trina panel, (72 125 x 125mm cells) which is the only one with independant data available at the Desert Knowledge website.A sting in the tail is that my electricity retailer changes the smart meter tariff when I connect my grid connected solar power from a 24 hour peak rate (19 c/KwHr) to time of use one at 26 c/kWHr peak rate. But then they are paying me 68 c/kWHr net feed in tariff for my excess generation.It is a bit of worry that I was not able to get a clear answer from anyone on for how long the 68 cents will be paid for !!!I can not comment on 'Installation' and 'customer Service"" are they havn't happened yet!I am not holding my breath for a good outcome for this project!",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",Lightway,Growatt,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lightway.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
10267,Peter,VIC - 3304,VIC,3304,True,2012-09-12,12 September 2012,4.0,,,4.0,4.0,0,4.0,1.5kW,"$3,000 to $6,000",No idea what brand the panels are (Other),Sunna Tech,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sunna-tech.png'],0,0
6921,Graeme,VIC - 3195,VIC,3195,True,2012-09-12,12 September 2012,4.0,,"As at today I am still waiting for installation so the question on installation standard etc not applicable.The company were quick to sell me the system and take my money off me but that's where their service stopped. Phone calls, email requests were not returned.  I am looking forward to a positive experience but Enviromate customer service is pathetic.",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",ZNShine PV-Tech,Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
7539,Warwick,VIC - 3187,VIC,3187,True,2012-09-11,11 September 2012,3.5,,Although the supplier was incredibly busy at the time. They had to be chased a few times to finalise the contract resulting in a visit to their office.(Brighton to Eltham).,4.0,,0,3.0,2kW,"$3,000 to $6,000",Don't know (Other),Don't know (Other),,4.0,4.0,False,[],0,0
2947,Maree,VIC - 3550,VIC,3550,True,2012-09-05,05 September 2012,3.75,,Enviromate sent me a SMS within 24 hours and were in touch 2 days later with a quote. Very friendly and helpful also price was about $1500.00 cheaper than my other quote.Broady Electrictical sent me an email with a quote 2 weeks later and the third one I never heard from,5.0,4.0,2.0,4.0,1.5kW,Under $3000,metec (Other),Beijing Kinglong New Energy Technology,,4.0,4.0,False,[],0,0
2720,Graeme,VIC - 3429,VIC,3429,True,2012-09-04,04 September 2012,4.25,,,5.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",Kyocera,Xantrex / Enerdrive Pty Ltd,,0.0,4.0,False,[],0,0
351,Nev,VIC - 3088,VIC,3088,True,2012-09-04,04 September 2012,4.75,,The time between signing up for a system and installation was longer than expected and there wasn't much communication from Enviromate.  I had to chase them on the phone and via email but eventually the installer booked me in for installation.  It was about 12 weeks.(I had a 2.5kw system installed btw.. your drop down menu didn't let me choose that),4.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",Solar Power,Xantrex / Enerdrive Pty Ltd,,4.0,5.0,False,[],0,0
2703,Neil,VIC - 3214,VIC,3214,True,2012-09-04,04 September 2012,4.0,,some places did not even bother responding to online quotes they give me.,4.0,4.0,0,4.0,2kW,"$3,000 to $6,000",metec (Other),Xantrex / Enerdrive Pty Ltd,,5.0,4.0,False,[],0,0
5142,Steve,VIC - 3030,VIC,3030,True,2012-09-04,04 September 2012,3.5,,Enviromate were the 1st to respond and were the cheapest.,4.0,4.0,2.0,4.0,2kW,"$3,000 to $6,000",ZNShine PV-Tech,Growatt,,3.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
4515,David,NSW - 2539,NSW,2539,True,2012-09-04,04 September 2012,3.67,,,4.0,4.0,0,3.0,2kW,"$3,000 to $6,000",Juli New Energy,Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
1392,Anon,VIC - 3976,VIC,3976,True,2012-09-04,04 September 2012,4.0,,"As the salesman is not the actual installer (of course) they are not always aware of everything that might be required upon installation thus we were hit with an additional $100.00 bill on the day of installation for a switch.  You can't exactly say no on the day can you... but it would have been nice to know up front.  Whilst the salesman obviously knew the product well, he obviously knew nothing about installation, in which case I would have preferred he told me nothing about the installation side of things and suggested a $100 - $200 buffer for unforseen costs.",4.0,4.0,5.0,3.0,1.5kW,"$3,000 to $6,000",Solar Power,Latronics,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_latronics.png'],0,0
2812,Mark,NSW - 2640,NSW,2640,True,2012-09-04,04 September 2012,4.0,,The sales person was very thorough when  explaining system. Not pushy.More confident to go with local based company,4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",ZNShine PV-Tech,Xantrex / Enerdrive Pty Ltd,,2.0,4.0,False,[],0,0
5236,Kamil,VIC - 3216,VIC,3216,True,2012-09-04,04 September 2012,,,,0,,0,0,3kW,"$6,000 to $10,000",not applicable (Other),Growatt,,0.0,0.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
2951,Sarah,VIC - 3677,VIC,3677,True,2012-09-04,04 September 2012,5.0,,,5.0,5.0,5.0,5.0,1.5kW,"$3,000 to $6,000",Renesola,Growatt,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_renesola.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
2305,Pauline,VIC - 3851,VIC,3851,True,2012-09-04,04 September 2012,5.0,,"I went with one of the installers that you found for me. I am unsure of the name of the sytem, I do not know if it is from Enviromate. But I can say that I was very happy with the person that I chose he had my system installed in 17 days from when I ordered it. My system is fully operational now as the electricity company finally put in the new meter last week. I am completely happy with the service that you provided, it made the whole experience so much easier than I had anticipated. I had been putting it off for quite some time dreading all the running around, so many people had different idea's. My installers business name is Gippsland V.G Electrical & Solar, his name is Vlado Gasper and I would recommend him any time.",5.0,5.0,5.0,5.0,1.5kW,Under $3000,Solar Enertech Shanghai,CMS,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_cms.png'],0,0
1213,Karen,VIC - 3691,VIC,3691,True,2012-09-01,01 September 2012,5.0,,Everything was explained to us and the reality of the situation in that our roof is not perfectly aligned to get the most sun and also in Winter to not expect great output.  In the Summer we achieved 29Kwh on one day and generally in the 20's on the nice sunny days.  Now that we are in Winter with cloud cover all day we still achieve some output - we got 1Kwh on an absolutely miserable day.  We also put a Future Wave Energy Saver on our pool pump which reduced the pumps's power usage by half.,5.0,5.0,5.0,5.0,5kW,"More than $20,000",Trina,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
41,KEN,VIC - 3151,VIC,3151,True,2012-08-30,30 August 2012,4.5,,"Enviromate contacted me within one day of receiving my request for quotation and were very flexible and made very valuable suggestions on how to proceed.I installed 4kw solar PV and also Solar hot water. Hot water system installed within two weeks of agreeing to proceed. Solar power took longer due to lack of supply of 5kw inverters.When the system was installed it was done within one day (24 panels and a 5kw inverter)Enviromate did a very good job on both installations.I did have problems with electricity supply and distribution companies as they took 3 months to provide a feed in meter. They between them lost all of my paperwork 3 times. Then they changed the forms required so we had to resubmit on the new forms. It would appear that the only way to get the power companies to act on your behalf is to continually contact them to request info on progress. make sure that you ask for estimated dates and keep on checking to ensure progressDuring recent hail storms my panels survived. My daughter has installed a similar setup with Enviromate two days before the hail storm, she suffered damage to her house and car but all panels survived the stormI wanted to know how well the system was working by providing method to have readings available in the house. Enviromate was able to provide a Wattson Energy meter that can read the power used and generated. You can get readings directly on the meter but even better it allows you to connect to a computer so that you can see usage graphs on power used and generated",4.0,5.0,4.0,5.0,4kW,"$15,000 to $20,000",Sopray,Xantrex / Enerdrive Pty Ltd,,4.0,4.0,False,[],0,0
422,Robert,VIC - 3089,VIC,3089,True,2012-08-30,30 August 2012,5.0,,"Enviromate offered a personalised service to help match the solar system to my household needs.They arranged a home visit to evaluate my roof direction and suitability, then gave me several options, based on rising cost of power, my budget and future upgrades. The warranty provided was the best available, and this helped secure the deal for me.  Piece of mind!Enviromate was a refreshing experience!",5.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",Sopray,Xantrex / Enerdrive Pty Ltd,,5.0,5.0,False,[],0,0
14506,Stephen,QLD - 4125,QLD,4125,True,2012-07-04,04 July 2012,4.0,,,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
13999,Joseph,VIC - 3038,VIC,3038,True,2012-06-18,18 June 2012,4.0,,After a long and drawn out investigation process I decided to go with Enviromate. From my research they had a better system at a price I was happy with. They were very helpful with all my questions which were very basic to a little more technical in regards to monitoring the system via a data link to my PC. After placing the order I had to wait two and a half months for the install but in the end I got the Solivia inverter and the panels were updated to Infinity 245Watt panels which are better panels than I had ordered. At this stage I am waiting for the system to be turned on.In all the installation took a lot longer than I had expected but the hard part is over and thus far I am satisfied.,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
13771,Michael,VIC - 3977,VIC,3977,True,2012-06-13,13 June 2012,4.0,,,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
13396,Paul,VIC - 3085,VIC,3085,True,2012-05-31,31 May 2012,4.0,,"Environmate had an excellent salesperson who followed up my initial interest quickly and was very patient in answering my many questions. The system was installed within 3 weeks. However, there was disagreement between the salesperson and the installer as to which part of the roof would provide the best result. The salesperson suddenly left the company and I just had to take the word of the installer.",4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
13354,Darren,VIC - 3165,VIC,3165,True,2012-05-30,30 May 2012,4.5,,,5.0,4.0,5.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
13217,Antonio,VIC - 3178,VIC,3178,True,2012-05-25,25 May 2012,4.0,,Still waiting to be connected to the grid.,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
13129,Simon,VIC - 3155,VIC,3155,True,2012-05-22,22 May 2012,4.5,,Value for Money and Quality of System cannot be properly judged at this time.Enviromate had a cancellation and they installed the day they contacted us and it took less than a day.  Excellent experience.The inspection found a wiring fault which was fixed immediately.The meter was re-configured today (22/5) and hopefully everything now works to our advantage.,4.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
13114,Gordon,VIC - 3931,VIC,3931,True,2012-05-22,22 May 2012,4.25,,"They were very professional, flexible with us when it came install time. The price between my known brand system and less reputable system's not significant enough to chance buying a lemon.",4.0,4.0,4.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
12993,Chris,VIC - 3193,VIC,3193,True,2012-05-17,17 May 2012,3.5,,,4.0,,0,3.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
12843,Graeme,VIC - 3128,VIC,3128,True,2012-05-09,09 May 2012,4.5,,"I was quoted a price, but the installers were able to reconfigure the layout. It looked better and it cost me $500.00 dollars less. Enviromate had the $500.00 refunded to my credit card, the same day as they were notified of the installation. Absolutely, no hesitation. Fantastic.",4.0,4.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
12432,Anon,VIC - 3134,VIC,3134,True,2012-04-18,18 April 2012,4.5,,,4.0,,0,5.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
12370,Darren,VIC - 3754,VIC,3754,True,2012-04-15,15 April 2012,4.75,,"Quoted 6 to 8 weeks to install, but was installed within a week of signing. Reasonable price, not the cheapest nor the dearest and were willing to negotiate price. Salesman bent over backwards to get our business. The system is up and running better than I expected. Well done Enviromate.",4.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
12207,Anon,VIC - 3156,VIC,3156,True,2012-04-05,05 April 2012,3.75,,,4.0,4.0,4.0,3.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
11909,Sarah,VIC - 3064,VIC,3064,True,2012-03-20,20 March 2012,4.75,,"Our sales representative was fantastic, he went out of his way to answer all of our questions and replied to endless e-mails that I sent.  He made us feel very comfortable with the investment we were making because he knew the product so well and answered all of our questions with confidence and knowledge.  Installation was quick and professional and head office were very polite.",4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
11818,John,VIC - 3030,VIC,3030,True,2012-03-14,14 March 2012,4.0,,"When installers arrived I found out the meter board had to have an upgrade as it still had the old fuses, not circuit breakers. The sales rep who checked the site for my quote did not mention this. Would have thought he'd have known that the board had to have circuit breakers installed. Added to the overall cost of job. Very happy with the installation, very professional. Job was completed within 3 weeks of the quote.Deposit payed 20th January. Job completed 9th February. Job inspected, passed, and paperwork sent to Origin Energy 16th February.Already had a smart meter installed, and the Powercor tech arrived and reprogrammed the meter beginning of March.All in all I have no hesitation in recommending Enviromate, and the price was right, too.",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
10670,Amanda,VIC - 3550,VIC,3550,True,2011-11-06,06 November 2011,4.75,,"I was looking for someone to install solar in the month before the state premium tariff of 66c/kw was due to end.  Geoff from Enviromate was great - he rang us as soon as he heard that the tariff was ending, booked us in, promised us installation within the fortnight and delivered on his promise.  I was very nervous, having read about Enviromate on a blog that was highly critical, but our experience was quite the reverse.  Promises that were made were filled and I am entirely confident in the system that is now on our roof and working!",4.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
