review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137139,Gary,QLD - 4051,QLD,4051,True,2025-09-12,12 September 2025,5.0,,"After obtaining three initial quotes through this website, I decided to work with evergreen electrical to arrive at a suitable configuration for our site at Newmarket in Brisbane.  Jake was very helpful and after a number of iterations we settled on 8kW of Tiger Neo Panels, an 8kW SunGrow Inverter and a 12.8kWh SunGrow battery.Overall, I was extremely pleased with the process.  The evergreen team arrived when the said they would, completed a thoroughly professional installation, including removal and replacement of the old inefficient solar panels, cleaned up after themselves, and completed commissioning and testing all on the same day.System performance has been great and the iSolarCloud app which has been provided reports that I have purchased only 13 kWh of power since the plant was installed over two months ago. Previously, we would use this amount in a single day.",5.0,5.0,5.0,5.0,8kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
136745,Karsten,QLD - 4000,QLD,4000,True,2025-09-03,03 September 2025,5.0,,"Given the size of this install with 31 PV panels, a 48kWh battery, 3-phase inverter and full house backup gateway, I wanted to choose the right installer. Three quotes in, it was clear to me that Evergreen was my pick.From the beginning, they were highly responsive, professional, and knowledgeable. They answered all my questions and guided me into the right solution for my objectives.The install was handled extremely professionally and efficiently with a great team, who left the place spotless.Really happy with the result. No issues with the install and really happy with the outcome.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136719,Mitch,QLD - 4103,QLD,4103,True,2025-09-02,02 September 2025,5.0,,"Jake and the team at Evergreen were exactly the installer I'd hoped to find when we started looking for quotes. Fast to respond, happy to answer all our questions, and were more than happy to tailor their quotes to our specific wants.They also didn't miss a beat when we decided to change our mind from a Sungrow system to a Sigenery system after we'd already pulled the trigger and were waiting for the install day. The only hiccup along the way was delays in Sigenergy stock deliveries, which was obviously out of their control, so no complaints there.On the day, the crew arrived bright and early, walked us through the plan, and helped us finalise the location for the battery. And even though replacing our existing SolarEdge inverter required all of the panels to be taken down to remove the optimisers, they still managed to complete the whole job that day. No fuss, no mess.The system has been humming along perfectly since then. I expect their after-sales support is also great, but the install and system seem to be good enough that we may never find out!",5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
134990,Xerxes,QLD - 4073,QLD,4073,True,2025-07-05,05 July 2025,5.0,,"The quote process was excellent. Jake was available at all hours and responded immediately. He walked us through configuration of a 2 phase system and provided product options that were best suited to our needs. Great technical knowledge.The installation team lead by Tom exceeded our expectations. From on time arrival, polite technicians, knowledgeable crew, care for customers property and commitment to ensure all facets met and exceeded our needs.A GREAT experience overall. Thanks Evergreen Electrical Services",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Aiko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
133383,Graham,QLD - 4179,QLD,4179,True,2025-05-13,13 May 2025,5.0,,"The quotation process was informative and responded to my needs and questions which resulted in a better system scope and specifications compared to my original thinking of my requirements.The installation team were on time, efficient and respectful throughout including ensuring everything was spotless after completing the job.The grid connection and monitoring app set up was straightforward and prompt. And I was impressed with the quick support from Evergreen team to reset my monitor connection when the inverter was isolated and then reset ahead /after the cyclone Alfred.. I remain very happy with the solar installation.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
133381,Richard,QLD - 4152,QLD,4152,True,2025-05-13,13 May 2025,5.0,,"Evergreen were quick to give me a quote, responded to all my questions and did a great job with the install of solar and battery on my house in Brisbane.It looks great and performs exactly as it is supposed to. They were even helpful when I wanted to know what to do in the face of an impending cyclone earlier in the year, despite I'm sure having lots of questions coming in and lots to do.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,Sungrow,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
132614,Anne-Marie,QLD - 4152,QLD,4152,True,2025-04-16,16 April 2025,5.0,,"From start to the finish Evergreen Electrical Services ticked all the boxes. I had a response to my request for a quote in< 1 hour. Followed by a meeting to discuss our requirements and provide a quote within days and the solar system installation within the agreed timeframe and at a great price too.I couldn’t be happier with Evergreen Electrical Services, they listened to what we wanted then explained all our options, advised and guided us in our choices to ensure that system would meet our needs. The installation team were fantastic,  and so too the customer service, they organised all the grid connections we didn’t have to do a thing.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
129834,Tom,QLD - 4108,QLD,4108,True,2025-01-16,16 January 2025,5.0,,"The initial quoting process was great. Evergreen were completely open to offering any combination of brands I wanted. After doing thorough research and gauging offerings from other quotes, I pestered them for quotes on a tonne of different configurations. They were more than happy to oblige and I appreciate that. They were up front about the discounted pricing they could get on the panel brand I was looking for too, which is the type of transparency I look for. Out of all the quotes I received for the same configuration, Evergreen's was the best value for money.On installation day, the Evergreen team liaised with me to confirm where I wanted the inverter. They did a quick assessment on roof layout. I have various skylights and vents scattered across the roof, but they did a good job fitting the whole system up there working around these obstacles. I'm extremely pleased with the way it turned out.The team walked me through the setup, and confirmed I had access to the cloud app. They also notified me of all the paperwork that needed to be signed and would be submitted by them.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Aiko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b07551581e8430a24a98db41aa0173a50.jpg']",0,0
129471,Robert,QLD - 4158,QLD,4158,True,2025-01-03,03 January 2025,4.5,,"Low pressure sales approach, happy to provide alternate optionsInstallation was a challenge due to weather but the installer persevered to complete the install in as short a timeframe as possibleGreat service, answered all questions quickly and provided demos of the monitoring apps",5.0,4.0,5.0,4.0,8kW,"$4,000 to $6,000",LONGi Solar,Sungrow,,,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
128610,John,QLD - 4075,QLD,4075,True,2024-12-03,03 December 2024,5.0,,During the quoting process followed by the installation they were very helpful and allowed us to make decisions best suited to our needs at the time. When we mentioned the need to have the meter box to be moved about 60 cms this was included and completed at no extra cost. The sales and installation team were professional and helpful right through the process. Will use them for any additional follow up installations when required.,5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
