review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
112197,Hareesh,VIC - 3024,VIC,3024,True,2023-07-10,10 July 2023,4.75,,"I got this quote and found it the cheapest. They were offering sungrow inverter with jinko panels for a 6.6kwph. They were good, friendly and on time.",5.0,4.0,5.0,5.0,6.6kW,"$0 to $2,000",Jinko Solar,Sungrow,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
106663,Noel,VIC - 3804,VIC,3804,True,2022-12-21,21 December 2022,4.0,,Quoting process was similar across all suppliers. Requests for variations to original quote were provided.Installation went as expected and after installed the technician explained everything to my wife and myself. He was very polite and made sure we were okay for the short power outage.Everything was organised by the supplier.,4.0,4.0,4.0,4.0,5kW,"$2,000 to $4,000",JA Solar,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
99279,Scott,VIC - 3130,VIC,3130,True,2022-04-19,19 April 2022,4.75,,"Evergreen provided me with a number of different quotes to compare with other quotes, they were always the cheapest.Installation went smoothly and the guys were very professional",5.0,5.0,5.0,4.0,6.6kW,"$4,000 to $6,000",JA Solar,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
86474,Alex,VIC - 3844,VIC,3844,True,2021-02-05,05 February 2021,5.0,,Quoting was comprehensive and installation went smoothly as installers were punctual and courteous.,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
78706,Hiteshkumar,VIC - 3029,VIC,3029,True,2020-07-06,06 July 2020,4.75,,- Sales quoting process was nice and detailed- Installation completed within two weeks of quote acceptance by highly qualified installers- Grid connection process will be taken care by Evergreen solar,5.0,5.0,5.0,4.0,6.6kW,,Jinko Solar,Goodwe,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
78220,Leeanne,VIC - 3750,VIC,3750,True,2020-06-25,25 June 2020,4.75,,Evergreen Solar Power gave me a competitive price and further discount on a great quality system. They ensured I understood the process from start to finish. I did not feel pressured and Rimi was quick to answer my questions. The installation was booked promptly and all the paperwork handled and followed up and well communicated. I hope the post sales support will be as good.,5.0,5.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Qcells,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
71361,John,VIC - 3802,VIC,3802,True,2019-12-11,11 December 2019,1.75,,My inverter failed under warranty on 22-10-2019 while still under warranty on 24-10-2019 a person from evergreen came without notice and took photos of inverter said would need replacement not until 4-12-2019 did I get call from person called Harry stating they were waiting for inverter since then I have made calls to evergreen to find out when to expect replacement and left messages but no return calls i would not call this good business practise nearly 8weeks since first rang and no further advanced,3.0,2.0,1.0,1.0,5kW,"$4,000 to $6,000",,J v c (Other),,,2.0,False,[],0,0
57417,Anon,VIC - 3028,VIC,3028,True,2018-12-19,19 December 2018,2.75,,Management are rude not helpful at all. Sold something that was not suitable.,3.0,3.0,4.0,1.0,3kW,Under $3000,,,,,,False,[],0,0
56776,Danuka,VIC - 3059,VIC,3059,True,2018-12-06,06 December 2018,5.0,,,5.0,5.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
56363,Anon,VIC - 3977,VIC,3977,True,2018-11-28,28 November 2018,4.33,,,4.0,5.0,0,4.0,6kW,Under $3000,,,,,,False,[],0,0
