review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136560,Cate,VIC - 3235,VIC,3235,True,2025-08-29,29 August 2025,5.0,,"Josh is a strong communicator and very professional in his quoting. He worked with me to figure out what was the best set up for a custom off grid dwelling, and offered much more input and expertise than other outfits. His pricing is very competitive so naturally I engaged Everyday Energy to install. The installation process was extremely well done and very tidy. I would highly recommend Josh to anyone looking for a solar and battery setup.",5.0,5.0,5.0,5.0,more than 30kW,,Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
133175,Andrea,VIC - 3215,VIC,3215,True,2025-05-07,07 May 2025,4.75,,"Very happy with the quoting process: the response to my request for a quote was quick and comprehensive. All follow up questions were responded to promptly.Problem free installation. Everyday Energy worked well with the builders of my house so that it could be done in a timely manner.Excellent customer service both during and post installation. Josh kept me updated on progress throughout the installation. Any time I had/ have a question I feel comfortable contacting Josh who responds, and takes action when required, in good time and is able to explain things to me in layperson's terms.",5.0,4.0,5.0,5.0,10kW,"$12,500 to $15,000",,Enphase,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
121967,Peter,VIC - 3216,VIC,3216,True,2024-05-08,08 May 2024,5.0,,"How was the sales/quoting process? easilyHow did the installation go? Polite? Tidy? Punctual? yes to all, especially punctual, (I hate waiting hours for tradies, which didn't happen here at all).How was the customer service? e.g. did they help organise the grid connection after the install? all good so far.",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112096,Anthony,VIC - 3220,VIC,3220,True,2024-05-02,02 May 2024,5.0,,"Josh was prompt on arriving at agreed meeting times and took the time to visit our home to survey the job. Although a difficult difficult job, Josh came up with a plan which was executed to perfection.I am very happy with the system, installation and the quality service provided.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
118773,Marcus,VIC - 3228,VIC,3228,True,2024-01-29,29 January 2024,5.0,,From sales to installation - the process with Everyday Energy was very smooth.Josh provided several options upfront catering for different price points and was happy to tailor these to meet our needs. Being able to talk to the installer directly during the pre-sales process (rather than a sales team) made us comfortable with our choice.Josh and his team provided a quality installation and clearly take pride their work.,5.0,5.0,5.0,5.0,9kW,"$12,500 to $15,000",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
118692,Grant,VIC - 3228,VIC,3228,True,2024-01-26,26 January 2024,5.0,,Excellent communication and quality installation overall. Extensive knowledge to help you work through all the options.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
118187,Greg,VIC - 3222,VIC,3222,True,2024-01-09,09 January 2024,5.0,,"Getting installed in February, but Josh supplied 4 options of various systems which was great, communications have been terrific and he is easy to deal with",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Trina,Fronius,I don't know,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
116979,Brenda,VIC - 3222,VIC,3222,True,2023-11-29,29 November 2023,4.5,,"The whole process from initial quote to the completion of the install was excellent. Josh is punctual, easy to deal with, answered all our questions, does quality work & cleans up any mess. I would not hesitate to recommend Josh & his team.",4.0,4.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
116667,Jonathan,VIC - 3217,VIC,3217,True,2023-11-16,16 November 2023,5.0,,"Quote process went well, installer was very patient and managed to quote for solar and an EV charger.Very happy with the install, most wiring in the wall and a large system for charging.Currently in the process of grid connection, being handled by installer.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1af58216f54233ade60f72884823337b1.jpg']",0,0
116650,John,VIC - 3226,VIC,3226,True,2023-11-16,16 November 2023,4.75,,"Top installer. Pleasant ,helpful and punctual. Very happy. We were given good advice on options.",5.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Trina,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
