review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140376,Barry,VIC - 3215,VIC,3215,True,2025-11-24,24 November 2025,5.0,,"Had previously installed solar panels & on this occasion the install was a solar battery. Very happy with install process. Quick & smooth, now just waiting for first power bill to check out the savings. Happy to recommend.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,BYD,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png'],0,0
128442,Anthony,VIC - 3216,VIC,3216,True,2025-09-24,24 September 2025,5.0,,"Evo Solar quoted for 2 systems, we went for the dearest system 34 solar panels & the Tesla powerwall 3 to go with the 20 panels we had already installed. Cameron explained the difference between the 2 systems. Cameron came & inspected the house on the 4th of October & the installation was two weeks later on the 18th of October. The installation took two days. Was going to be a thursday & friday, but because of bad weather thursday was cancelled & they came back on the sunday to finish off the installation. Inspector checked & ok'd the installation the next friday. Grid connection is not approved yet as communication between tesla & powercor regarding ""Emergency Backstop process"" is still ongoing. When they receive confirmation from tesla & powercor they will complete the grid registration. Customer service great I have been kept up to date with the whole process by email & use of charger is easy with the Tesla  App.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",SunPower,Tesla powerwall 3 (Other),Tesla Powerwall 3,5.0,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
135954,Kathleen,VIC - 3030,VIC,3030,True,2025-08-08,08 August 2025,5.0,,The sales process was quick and easy. Cam explained everything really well and provided all options.The install was really good. Communication was amazing and the guys on site were polite and left my garage clean and tidy.The grid connection was done in the same week and was straightforward.After the battery was turned on any questions were answered .Overall 5 stars,5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sungrow,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/794741206def8c355147586c5a9e4f0e0.jpeg']",0,0
135469,John,VIC - 3228,VIC,3228,True,2025-07-21,21 July 2025,5.0,,"Travis and his co-worker arrived a little earlier than scheduled and got to work straight away. Five hours later my Tesla Powerwall-3 and Gateway were installed and working. The installation is neat and tidy and the area thoroughly cleaned up. I had a few concerns about the location of the Powerwall  These were quickly dispelled by Travis who adapted the location to my satisfaction. In all I am extremely satisfied with the service proved by EVO including the site visit by Cam, quotation and the work completed by his crew. Now we look forward to our system working as planned.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 3,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
131472,Kevin,VIC - 3223,VIC,3223,True,2025-03-11,11 March 2025,5.0,,"Evo solar team did a great job they came and removed my old system and installed the new system .All done and dusted in the day ,they organised the grid connection and were great people to deal with. The sales team were great to communicate with, all good all round.",5.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",SunPower,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
131218,Wendy,VIC - 3222,VIC,3222,True,2025-03-03,03 March 2025,5.0,,Thank you EVO SOLAR for adding a second Storage Battery within 2 weeks of phoning you.The team arrived early at the time they quoted. They are always courteous and clean up after finishing the job.My dog was excited to see them again which they reciprocated with lots of pats.Well done Cam and Team.,5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Enphase Energy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_enphase-energy.png'],0,0
131100,John,VIC - 3030,VIC,3030,True,2025-02-26,26 February 2025,5.0,,"Fabulous service, everything done professionally and is working great, I didn't lift a finger they even cleaned up, spotless.             A company with all 5 star reviews including mine.  Highly recommend!.",5.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/663050dc8403eb15def8027e9045df8f0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a44c40879e1b4a7bec03024c60cf35041.jpg']",0,0
129473,Andy,VIC - 3225,VIC,3225,True,2025-01-03,03 January 2025,5.0,,"Evo Solar was a great company to deal with. Following a site visit, the quote was detailed, there were no hidden charges and the installation went well. Though Evo Solar wasn't the cheapest quote, meeting with Cam at the site visit and in subsequent discussions gave us a lot of confidence in his knowledge and advice. Three weeks after installation, we are really happy with our solar system (panels and Powerwall battery). We have not drawn power from the grid once since then.",5.0,5.0,5.0,5.0,6.6kW,"More than $20,000",Aiko Solar,Tesla Powerwall 3 (Other),Tesla Powerwall 3,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
127967,Robert,VIC - 3223,VIC,3223,True,2024-11-15,15 November 2024,5.0,,Professional and friendly advice from the beginning to the end. Quoting process was easy and there was no pressure to commit.Installers were very capable and kept me informed throughout the installation. They were punctual and careful of the property throughout the installation.After installation they assisted to setup the app on my smartphone and explained how to use the app.All done it was a great experience due to the professionalism of the workers. Support from office staff was first rate.,5.0,5.0,5.0,5.0,13kW,"More than $20,000",Trina,Fronius,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2db2b64a13667f35a89cf960bfbad37f0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/07b43d35be7a8715f15c87e8da098fde1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9da28faa1c82c63a28ba501b00eaf4192.jpg']",0,0
127460,Mark,VIC - 3350,VIC,3350,True,2024-10-30,30 October 2024,5.0,,"The installation in Ballarat yesterday went absolutely according to plan.  Team arrived at 7am, assessed work site and commenced shortly afterwards.  All staff knew their tasks and work effectively to complete the job by mid afternoon.  Currently awaiting inspection, but have been shown the on-line portal for monitoring the system.Job site left clean and tidy.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
