review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
137551,Glen,QLD - 4575,QLD,4575,True,2025-09-22,22 September 2025,5.0,,I would like to rate Flux Electrical systems 5 stars for the service they provided recently. I have just had a 20kw Sungrow battery installed to my existing solar panels and couldn't be happier with the service and experience. Chad in sales was extremely knowledgeable and patient to explain my particular energy needs.The installation team (Dylan and Seth) were both punctual and professional during the fit out of the entire system. They were happy to answer any questions and explain in detail the workings of the battery and app to monitor the system.If you're on the sunshine coast I would highly recommend Flux Electrical Systems for a battery install. Well done Matt and to your professional team!!,5.0,5.0,5.0,5.0,20kW,"$10,000 to $12,500",,Sungrow,Sungrow,,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
136089,Chris,QLD - 4558,QLD,4558,True,2025-08-14,14 August 2025,5.0,,"We highly recommend this local Sunshine Coast electrical company for solar system installation. They explained every process thoroughly and were honest with their assessment of our current & future needs in their system recommendation.  There was no “sales pressure” and all our questions were answered promptly whilst we considered the quote. They kept us informed on the turnaround timing once we placed our order which ended up quicker than expected.  They handled the application to the grid supplier which was seamless.  The installation team were friendly, reliable, professional and we cannot fault their workmanship on-site.  They provided both of us with a complete handover of the system and have been helpful with questions post-installation.  We are so happy with the team at Flux Electrical we will be recommending them to family & friends for any solar or domestic electrical projects.",5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
135099,Chris,QLD - 4551,QLD,4551,True,2025-07-08,08 July 2025,4.5,,"Flux was an I credible company to deal with. Friendly, honest and reliable. They communicated every step of the process and turned up when they said they would.We are delighted with their service and cannot recommend them enough.",4.0,4.0,5.0,5.0,10kW,"$12,500 to $15,000",,,,,,False,[],0,0
37523,Ron Blackshaw or Mary Hayden,QLD - 4566,QLD,4566,True,2018-04-28,28 April 2018,4.5,,"Flux is a small solar business operated by an impressive young specialist electrician 'Matt'.  We were particularly happy to deal directly with the person responsible for all aspects of the contract; quality of hardware, standard of installation, determination of requirements, price, and after installation service.  Flux is an honest small business operator, extremely helpful, pleasant to deal with, recommends quality hardware, provides personalised customer service.  Highly recommended if you have a reasonable budget to support a quality good value job - for those on the cheap, try someone else.",4.0,5.0,4.0,5.0,6kW,"$6,000 to $10,000",Qcells,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
36701,Keith,QLD - 4563,QLD,4563,True,2018-03-13,13 March 2018,5.0,,,5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",Qcells,Fronius,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
38612,Angus,QLD - 4559,QLD,4559,True,2017-09-25,25 September 2017,4.75,,"After many quotes from solar specialist, we decided upon Matt as he spoke 'to' us rather than 'at' us. He used simple language and did not rush us. He sat and explained various options to us before tailoring a solar system to the needs of our property. We had a house with some awkward wiring issues and a fuse box that was dated. Matt provided us with advise and sensible suggestions and certainly made things safer and bought a lot of electrical issues up to date. Matt does not sub contract and is involved with all the work which is a refreshing rarity these days. Thank you Matt.",4.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
36589,Michael,QLD - 4565,QLD,4565,True,2017-07-06,06 July 2017,4.5,,"Flux Electrical were great at explaining our options giving us the choice of 2 systems in their quote. They were also prepared to configure the system so that we didn't generate more power than we required , but should using a battery for storage become a viable option for us at a latter date the system they installed can be  easily updated.",4.0,4.0,5.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
35992,Bryan,QLD - 4559,QLD,4559,True,2017-06-04,04 June 2017,4.25,,Knowledgeable salesperson. Installer phoned to answer any questions the salesman could not answer. Installer turned up on time and completed installation within given time frame. Help provided setting up monitoring system on computer. Friendly and easy to deal with.  Highly recommend.,4.0,5.0,4.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
35710,Damien,QLD - 4519,QLD,4519,True,2017-05-20,20 May 2017,4.5,,"Background information probided was generally useful, were prepared to consider our needs both now and for the future, and took the time to fully address the various questions we had before reaching a final decision.Sales and installation experiences were both very positive, and post-installation support was helpful.",4.0,4.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
35454,Noel,QLD - 4519,QLD,4519,True,2017-05-08,08 May 2017,4.25,,,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
35120,George,QLD - 4556,QLD,4556,True,2017-04-22,22 April 2017,4.0,,,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
35096,Robyn,QLD - 4565,QLD,4565,True,2017-04-21,21 April 2017,4.25,,Well designed system for use of the sun for our house.,3.0,5.0,4.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
34493,Cam & Wendy,QLD - 4566,QLD,4566,True,2017-03-24,24 March 2017,5.0,,"Matt from Flux was very knowledgeable and informative re the solar and best inverter etc to suit us, He and  his offsider turned up on  the installation date right on time at 8am  and did not leave til the job ( 24 panels in all) was complete at 6.30pm that night.  They kept us informed re cabling and all other aspects and came back next day to hook the inverter in  into our wifi and show us how to use it. We are generating the expected KWH and couldn't be happier with Matt and his excellent service. He even did a few extra things for free ie cleanout our rats nest infested meter box!! Highly recommend him to anyone on the Sunshine Coast contemplating solar.  thanks  Matt!Cam & Wendy",5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
