review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139730,Nora,SA - 5095,SA,5095,True,2025-11-11,11 November 2025,4.75,,"it was good, The company were nice to deal with. took off solar off roof and installed new. it took a little longer than expected as they were busy and I followed them up once, but nothing major at all.",5.0,5.0,4.0,5.0,6.6kW,"$2,000 to $4,000",LONGi Solar,SolaX Power,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
137004,Hoang,SA - 5095,SA,5095,True,2025-09-09,09 September 2025,5.0,,Sales and quote was really easy to understand. All questions answered and I feel confident knowing I can call or text to get a reply to anything I'm not sure of.,5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",LONGi Solar,Fox ESS,FOX ESS (Other),,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fox-ess.png']",0,0
123624,Sonia,SA - 5127,SA,5127,True,2024-07-04,04 July 2024,5.0,,"Unfortunately there is so much misinformation and Clickbait Marketing out there that it's so hard to make a decision on who to even talk too, let alone get to Install.We had three quotes when I put my details down and all the same very pushy, talking so much about why their own products were the best, and unfortunately only one of the sales reps asked if I had any thoughts on what I would like installed on the house.The team at freedom Solar we're not pushy, they explain that their new Solar and Battery plan use specific products but once I googled them I had no issues at all about putting them on my roof and on the wall.Their plan is absolutely fantastic and it's nice not to be forced to try and pay cash or long-term finance. I think the hardest battle for them was trying to explain to me how it's not ""too good to be true""The system is fully installed now and the monitoring is fantastic, it's so nice having Battery storage, but it's even better keeping all my money in my pocket that others were pushing hard for me to spend, especially towards the end of financial year.",5.0,5.0,5.0,5.0,6kW,,LONGi Solar,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
105592,Kevin,SA - 5554,SA,5554,True,2022-11-21,21 November 2022,5.0,,"I was recommended Freedom Solar by a friend and I am glad she did.No fluff, no sales man pitch, just what I needed to save me money. Travis worked me through everything, explained so I could understand it, and it made sense. After 1 month its looking like my bill will be about 10 percent of the same time last year, and the sunny days havent come yet. Looking forward to that.Would recommend to anyone thinking about solar power do it",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
105287,Lee,SA - 5558,SA,5558,True,2022-11-11,11 November 2022,5.0,,"Very smooth process, I did not feel rushed to make my decision, I asked lots of questions and nothing seemd too much of the salesperson. I had a different experience with other solar companies, I felt as if the rush was more for them than for me.Install went well, I have a roof that is not easily accessible but the guys werent fazed I guess they see all sorts. Left everything cleaner then when they started.Communication has been exactly as promised, a slight delay with my new meter but I was informed of why and it was no ones fault, joys of country living really.Cant fault anything, I have even referred a friend and a neighbour already and they seem to have received the same level of service. Well rewarded there aswell! 10/10 at every stage.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
105238,Stephanie,SA - 5609,SA,5609,True,2022-11-09,09 November 2022,5.0,,The team at Freedom solar were super prompt and helpful through the whole process. Excellent customer service from quote to install.Over all very happy with my experience.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/36e3709bb351e14779e2b94ce0e29d170.jpg']",0,0
105193,Ian,SA - 5371,SA,5371,True,2022-11-08,08 November 2022,5.0,,From an initial email to complete installation took less than 3 weeks.The professionalism and speed in which our system was taken from concept to completion was outstanding.We could not praise the company more.The installers were professional and complete and the after sales service has been great.We would well and truly recommend Freedom Solar Solutions to anyone who is thinking of installing solar.Thank you to all the team,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Renesola,Solis,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_renesola.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
105186,Grant,SA - 5501,SA,5501,True,2022-11-08,08 November 2022,5.0,,"Sales quoting service was very goodThe installer arrived as per appointment, he was polite and answered any questions I had .  They didn't leave any mess.We were lucky enough to have 3 phase power so connection was easy and done on the day.  We are already receiving the benefits.Seriously, I'm very pleased and even prior to the installation I referred them to a friend.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,Solis,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
105179,Jamie,SA - 5081,SA,5081,True,2022-11-08,08 November 2022,5.0,,Quoting process was very informative and helpful.  The consultant was happy to slow things down and take their time with me. They have continued to be quick to respond to any of my quires even 3months after installation.Lovely company to work with and their installers were fantastic!,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",HT-SAAE,Solis,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_shanghai-aerospace-automobile-electromechanical.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
105175,Christine,SA - 5251,SA,5251,True,2022-11-08,08 November 2022,5.0,,"Damien was the only solar installer that actually visited me to provide a quote. The installation was seamless and professional.I've had some issues with my energy retailer that are outside of Freedom Solar Solutions control, however they have been very supportive in getting to a resolution for me.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
