review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140179,Wisaq,WA - 6064,WA,6064,True,2025-11-19,19 November 2025,5.0,,"I had some concerns regarding ownership, and I was pleasantly surprised by the exceptional customer service I received. I got a call from Abhy, who addressed my concerns promptly and professionally. He took the time to understand my issue and provided clear and reassuring solutions.This level of care and responsiveness truly reflects how much your team values its customers. It’s rare to experience such genuine support these days, and I can confidently say you’ve set the bar very high for customer service.You guys are true customer service legends — thank you for going above and beyond to make sure I felt heard and supported.",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",Fritts Solar (Other),Huawei,Huawei,,,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_huawei.png']",0,0
139525,Greg,WA - 6167,WA,6167,True,2025-11-06,06 November 2025,5.0,,Used twice. 1st solar 2nd battery.  Painless install and always great communication.,5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
139021,Andrew,WA - 6014,WA,6014,True,2025-10-27,27 October 2025,5.0,,"Having had a great experience with Fritts installing panels and an inverter earlier this year, we didn't hesitate in using them again with a battery installation. Their explanations were helpful in deciding on the system and whether to pursue the WA state rebate, the price was competitive, and the installation very neat. We'd definitely use them again.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,BYD,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png'],0,0
138975,Sandor,WA - 6028,WA,6028,True,2025-10-25,25 October 2025,5.0,,"We have recently added a 13.8kW BYD Battery arrangement to our new solar panel system which was installed in February 2025. The entire process for both panels and battery was coordinated through Fritts Solar, from scoping the system, helping with the State and Federal rebates, and final installations. Nothing was too difficult for Fritts and the entire process went smoothly. The tradespeople who undertook the installation were punctual, professional, and left the place neat and tidy, and the system appears to be operating the way it should. We sourced Fritts via ""Solar Quotes"" and highly recommend the team from Fritts Solar.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",LONGi Solar,Fronius,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fa5601480cb6e7fa10a55db54b48bb0b0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3479b1812df489b75c79281e532095db1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/70857c52825332b3b32cc00e8b57a0272.jpg']",0,0
138670,Steve,WA - 6172,WA,6172,True,2025-10-18,18 October 2025,5.0,,"I highly recommend Fritts Solar. Of the three companies put forward by https://www.solarquotes.com.au/ Fritts Solar was the only company that visited my house to discuss my needs, offer advice and survey the site. They advised of the projected waiting period, which was accurate. When installation day arrived, their Team arrived en masse, removed my inadequate system and installed the upgraded panels and a battery. The Team Lead then spent time explaining the system and the corresponding app. The site was left clean with all rubbish removed.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",LONGi Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ecdcac0f662e3e6dc13627a4010a35020.jpg']",0,0
138127,Vik,WA - 6059,WA,6059,True,2025-10-03,03 October 2025,5.0,,"Fritts Solar was recommended to me by SolarQuotes, and I’m very glad I chose them. From the beginning, Abhi, Darwin, and now Chad gave me prompt and thorough support. From a Zoom call explaining the solar system, to home visits, email follow-ups, and phone chats whenever I needed.The installation was completed ahead of schedule, everything was done perfectly, and when the system was turned on, it worked flawlessly. The after-sales support has also been excellent. I feel very well supported by Fritts Solar throughout this entire journey and would highly recommend them.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",LONGi Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
137130,Ian,WA - 6056,WA,6056,True,2025-09-11,11 September 2025,5.0,,Great job and they supplied what we asked for and we changed the plan three times - very understanding.,5.0,5.0,5.0,5.0,6.6kW,"More than $20,000",REC,Tesla (Other),Tesla Powerwall 3,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
136821,Les,WA - 6051,WA,6051,True,2025-09-05,05 September 2025,5.0,,"We approached several companies for quotes and Fritts Solar was the only one that came out to see us. The other companies rang to provide verbal quotes without seeing or asking about the property, household or usage, despite making appointments to meet with us. When the solar rebates kicked in, it was just too hard for the other companies.Not only did Abhinu go through with the meeting that was set up, but he also took the time to sit down with us, understand our needs and provide valuable advice on how to proceed. He was knowledgeable and well-informed, and his advice was candid. We got a strong sense that he wasn't just trying to sell us a product.We highly recommend Abhinu and his team at Fritts Solar to people considering installing a solar system and/or battery without hesitation.",5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",,,,,,,False,[],0,0
127544,Michael,WA - 6025,WA,6025,True,2025-08-29,29 August 2025,5.0,,Everything from the site visit for the quote to the installation was smooth and understandable.The installers were on time and tidy.All my queries were addressed and the installation of the inverter and panels looks neat with no messy conduits on the wall in my garage.So far I am very happy with the whole process and would recommend Frits Solar.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
135944,Kurukulasuriya,WA - 6107,WA,6107,True,2025-08-07,07 August 2025,5.0,,"I got to know about Fritts Solar from my friend who had been installed the solar and when I contacted him,  he highly recommended Fritts. I started my process calling Abhinu and he did the rest for me. He was so quick,  polite and kind person who guided me to the end.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,Fronius,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
