review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
30582,Miles,QLD - 4551,QLD,4551,True,2016-05-30,30 May 2016,3.75,,I believe these people have closed down and warranty claims are to be directed to ABB Solar,4.0,4.0,4.0,3.0,3kW,Under $3000,,,,,,False,[],0,0
8470,Bede,QLD - 4300,QLD,4300,True,2016-03-16,16 March 2016,5.0,,"After reading your excellent guide to solar installation I felt more confident and able to ask the many relevent questions and equally understood what I was being told. I was thus able to determine for myself, pretty easily, which was sales talk and which was clearly the better system in both price and quality.",5.0,5.0,5.0,5.0,5kW,"$15,000 to $20,000",Hyundai Solar,Fimer,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
11914,Doug,QLD - 4272,QLD,4272,True,2014-05-21,21 May 2014,4.0,,"Only one of the three solar companies asked to quote responded. However, your website listing all the suppliers and their ranking, was very useful. The adage ""you get what you pay for"" is relevant. It pays to spend some time to fully understand a solar system set up. Talking to three suppliers was very helpful to learn all the ""ins and outs"" and also in making the final decision. And it is important to be present when the installation takes place.",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",LG,Fimer,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
19647,Matthew,QLD - 4157,QLD,4157,True,2013-08-13,13 August 2013,3.25,,"Originally we sat down with one of their consultants and went over our power useage from past power bills and were advised that a 3.2kW system would be ideal and would eliminate our power bills.After having the 3.2kW system running, it was obvious (even earlier of course) that it did not eliminate our power bill totall at all.I contacted them and was told that the largest we could now go with a system is a 5kW inverter, this was now limited by QLD regulations. So I had them install further 9 panels and upgrade our inverter (a Xantrex 2.8) to an Aurora 5kW inverter.The part that narks me is that our original system cost us $10000 and to upgrade to the 5kW system from the original 3.2kW system cost us another $10000.So our 5kW system cost us $20000, very expensive for such a system, the only slight consulation was when I finally sold our previus Xantrex 2.8kW inverter privately for $10000, still a very expensive system, so it owes us 'big time'.",1.0,4.0,4.0,4.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
4271,Anon,QLD - 4213,QLD,4213,True,2012-09-05,05 September 2012,5.0,,"As you know, there have been delays due to supply shortages and unusual weather conditions.  However, at no time has it been of concern to us because management and staff, especially our salesman, have kept us informed constantly and explained all delays.  We cannot know how the system will perform or whether it is a good quality system or even if it was value for money but we can say that the service we received, including installation, was the best ever.",0,,5.0,5.0,3kW,"$6,000 to $10,000",Hyundai Solar,Fimer,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/p176a8nqci1hkp1i5u1sbsn4g8ed1.jpg']",0,0
15232,Toni,QLD - 4034,QLD,4034,True,2012-08-12,12 August 2012,4.0,,"We found these guys information a lot more clear than anyone else, best value for money, panels have a distributor in Australia and are covered even if this company goes broke.  I felt they represented better value for money than anyone else and they had good feedback on the internet with no poor comments.Appreciated your feedback and input on the internet, it was a great help.  Thank you",4.0,4.0,0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
14184,Michael,QLD - 4211,QLD,4211,True,2012-06-24,24 June 2012,5.0,,"I am very happy with the experience so far. However, still waiting on the electricity company to connect the system to the grid! Also, the above ratings are only applicable to the quote process and installation. Fingers crossed for the next 20-25yrs!",5.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
6100,Lachlan,QLD - 4306,QLD,4306,True,2011-04-08,08 April 2011,4.33,,"I have signed a contract with Future Sustainability. The product they offer is of a high quality and the price was very good Aurora One Inverter and Hyundai Positive only panels. I paid my deposit 4 and half weeks ago and I got a phone call yesterday for install in just 7 days. Less than 6 weeks from Deposit to install is pretty good. I have had to make a couple of phone calls to ensure the Form 1003 was submitted to energex but no real hassle.1x of the things I wasn't sure about was trying to select which company to use as I was torn between 3.  One of the things I saw on a website was that if you become stuck deciding between company A B C (as every company tells you that they have the best product but hardly any company sells the same brand product) then look at the cost per watt : ie if a 2.5kw system is $8000 then $8000 divided by 2500 watts means 1 watt = $3.20 and you can then compare the price.Auzion was recommended by your company and was one of the companies that provided a quote. Their prices were reasonable and I think that their product was of a high quality. They are associated with the Sunshine Coast University and have programs to help 3rd world countries on each sale.   After they attended and did a site assesment I emailed a number of times requesting further information and the emails were repeatedly ignored. I called head office and got a phone call back from the consultant who stated that he would email the details I had requested but again failed to reply. I emailed 1 x last time and haven't heard back and that was over 1 x month ago, they obviously don't need the money. They were going to get my sale but the lack of response meant they were not getting any of my money. Service is everything.",5.0,4.0,0,4.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
697,Terry,NSW - 2486,NSW,2486,True,2010-06-03,03 June 2010,4.5,,,4.0,5.0,5.0,4.0,5kW,"More than $20,000",,,,,,False,[],0,0
125,H,QLD - 4221,QLD,4221,True,2010-05-26,26 May 2010,4.75,,Actually took 2.5 expandable to 3.23 kw.,5.0,4.0,5.0,5.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
