review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
116567,Nick,VIC - 3064,VIC,3064,True,2023-11-14,14 November 2023,5.0,,"My recent experience with G-Store Malvern East, specifically with Matt, was exceptional. Right from the start, they provided a fantastic price for the Powerwall installation. Matt's communication was not only quick but also thorough, ensuring a smooth process from beginning to end.The installation itself was effortless, and the team left the area tidy and secure, even taking the extra step to lock the garage door after completing the job. G-Store Malvern East's commitment to great service, competitive pricing, and attention to detail makes them my top recommendation for anyone considering a Powerwall installation. Kudos to Matt and the entire team for their outstanding work!",5.0,5.0,5.0,5.0,6kW,,,,Tesla Powerwall 2,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
114190,Chris,VIC - 3104,VIC,3104,True,2023-09-07,07 September 2023,5.0,,"The team from G-Store were super helpful in helping me with my requirements. I had just upgraded to 3 phase power and needed my existing Tesla Powerwall (installed by them) upgraded. I also wanted some more solar. The guys were able to help spec out an extension to my existing Enphase install and reuse my existing Enphase Envoy.They faced some issues with my roof though! 100 year old concrete tiles which would break as soon as you'd look at them. We ended up having to replace just over 100 tiles, but they guys were cheerful and matter of fact about the issues. Huge respect for their professionalism.Job was done in one day, 18 new panels installed, Powerwall wired and configure for 3 phase.Inspector showed up the very next day. Said because it was a G-Store install, he knew he wasn't going to have any issues so he.was happy to swing by and do the inspection on the way from another job. There's value in choosing G-Store right there!",5.0,5.0,5.0,5.0,8kW,"$15,000 to $20,000",SunPower,Enphase,Tesla Powerwall 2,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
112577,Matthew,VIC - 3072,VIC,3072,True,2023-07-22,22 July 2023,4.75,,"G-store were super helpful along every step of the way. Once i had signed on the dotted line and paid the deposit, they were great. Every step carefully and thoroughly explained, and the installers were efficient, thorough, neat, punctual, everything i could have asked.",4.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",SunPower,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
111928,Bernie,VIC - 3058,VIC,3058,True,2023-06-29,29 June 2023,4.75,,"The process from beginning to end has been smooth and clear, with good turnaround time for quoting various configurations as we adjusted what system we wanted. Euan was clear and concise with answering all our detailed questions. The site visit was very helpful.The installation team was great and worked efficiently. Explained what they were doing and took only two days to complete the install. Electrician was on site for whole installation. Cleaned up very well.From signing the quote to the system being inspected and turned on took just over two weeks.Very happy customers so far.",4.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",SunPower,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
111128,Denis,VIC - 3825,VIC,3825,True,2023-06-01,01 June 2023,5.0,,When adding more panels to our roof we had no qualms about contacting G-Store who did our original install. As before they quoted promptly and the installation followed soon there after. Their installation team always communicate well and turn up at the agreed times with excellent quality job.,5.0,5.0,5.0,5.0,4kW,"$6,000 to $8,000",SunPower,Enphase,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
111109,Terry,VIC - 3106,VIC,3106,True,2023-05-31,31 May 2023,5.0,,"G-Store delivered a flawless installation of our 33kW SunPower Enphase Solar System and three Teslas. The team, led by Matt, was professional, informative, and alway",5.0,5.0,5.0,5.0,more than 30kW,"More than $20,000",,,,,,,False,[],0,0
110901,Graham,VIC - 3141,VIC,3141,True,2023-05-24,24 May 2023,5.0,,"Used G-Store after a favourable mention from a friend. We settled on the best configuration after two designs to maximise the number of panels. The quoting process lead by Ray Bout was constructive and polite and we were assured that the design we accepted was the best possible for our roof. The CEC Installer, Leigh Spackman was excellent. He worked closely with us to ensure the positioning of the panels, cabling and electrical box were as unobtrusive as possible. The team did a thorough clean up and coordinated the subsequent inspection and commissioning.",5.0,5.0,5.0,5.0,9kW,"$15,000 to $20,000",SunPower,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
110578,Peter,VIC - 3146,VIC,3146,True,2023-05-16,16 May 2023,5.0,,"Very happy with the hassle-free installation of the system, from quote to go.G-Store was one of two providers that actually had someone come to review the site before quoting (the rest only quoted from Google Map views, with one placing panels on my neighbour's roof, not realizing that it's a duplex property). Ray, the sales person, was very helpful in explaining the many options available, as well as how to apply for the government rebates.Installation was very smooth. The team was on time and professional, and completed the installation in one day. They also cleaned up the site nicely. Luke, the installer, was especially helpful with the setting up of the Fronius app to monitor the system.I was most impressed that two days after installation, G-Store had the auditing inspector come out to certify the system, and it became fully operational.With so many solar providers out there, G-Store comes across as professional, reliable and competent.",5.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",SunPower,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
110269,Damian,VIC - 3847,VIC,3847,True,2023-05-07,07 May 2023,4.75,,"I recently purchased solar panels from G-Store Pty Ltd and I am extremely satisfied with my experience. From start to finish, the team at the company was professional, knowledgeable, and helpful.Steve was patient and took the time to answer all of my questions about the solar panels, their installation process, and the potential savings I could expect. They were transparent about pricing and made sure that I understood the full scope of the project before making any commitments.The installation team arrived promptly and were incredibly efficient. They worked diligently to install the panels on my roof while minimizing any disruption to my daily routine. They even took the time to clean up after themselves which was nice of them.Since the installation, I have seen a significant reduction in my energy bills and I feel good knowing that I am doing my part to reduce my carbon footprint. The solar panels are also sleek and unobtrusive, seamlessly blending in with my roof.Overall, I would highly recommend G-Store Pty Ltd to anyone considering making the switch to solar. They truly exceeded my expectations and I am grateful for the opportunity to work with such a knowledgeable and professional team.",4.0,5.0,5.0,5.0,8kW,"$15,000 to $20,000",SunPower,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
110263,Daniel,VIC - 3161,VIC,3161,True,2023-05-07,07 May 2023,5.0,,"The sales/quoting process with G-Store was exceptional. Their representatives were knowledgeable, friendly, and took the time to understand my specific needs. They provided a detailed and transparent quote which ultimately allowed me to make an informed decision.The installation conducted by G-Store was outstanding. The team was not only punctual but also displayed a high level of professionalism throughout the process. They were polite, tidy, and ensured minimal disruption to my daily activities.I was highly impressed with G-Store's customer service. They went above and beyond to assist me in organizing the grid connection after the installation. Their team was responsive, proactive, and provided clear guidance, making the entire process seamless and stress-free.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",LG,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
