review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136981,Mark,TAS - 7310,TAS,7310,True,2025-09-09,09 September 2025,5.0,,"GenR8 provided the best quote both in value and satisfying our requirement for reliable 3 phase power. With 24 kWH battery support and Sigenergy Gateway that provides UPS level power. Their installation was completed in a timely fashion, especially when allowing for the Tassie weather and out intermittent rainy days. We are especially happy with the neat installation and the savings in our power bills assured. We are also glad we used Solar Quotes to locate the best service in our region.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4ed6fa0d3e094cccc4f08399204dce4f0.jpeg']",0,0
134865,Timothy,TAS - 7304,TAS,7304,True,2025-07-02,02 July 2025,4.75,,"Advice, quotation, capacity to adjust quote to accommodate a bigger system, smooth installation and explanation of the system and monitoring app were all done very well. Inspection by relevant safety authority passed. System functioning well, with the projected and actual power generation being close for June.",5.0,5.0,4.0,5.0,13kW,,Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
129011,Kegan,TAS - 7249,TAS,7249,True,2024-12-13,13 December 2024,5.0,,"Sales was great. The owner Nathan came out and discussed all options, he really knew his stuff being an electrician in the industry for years, not just a doorknocking salesman. He wasn't pushy at all, spent extra time to answer my questions.He had already visited my home before the other who companies even contacted me from solarquotes enquiry,He even gave me free advise about other electrical things in our new home before i had signed a thing.I ended up doing a lot research and going with Goodwe and Aiko combo, It was cheaper, has the same warranty, The Aiko panels are newer tech for a cheaper price.While i will consider a battery in the future the thought of paying fronius an extra $1000 to unlock a function in an already expensive (and by then 5 year old) inverter turned me off, I'd rather put that $1000 towards a new powerwall with built in inverter in 5 years time.With this in mind I choose the Goodwe, it has the same 10 year warranty, is half the price and performs the same or better than the fronius. All reports I read online suggest thousands installed with no issue.Install was great, 5 guys working hard all day to get it done and online by 4PM on the same day, The price also included the Catch solar relay which was all set up and working within minutes and comes with a great App to track your systems production and usage.The only downside to Genr8? The 8-10 week lead time due to how popular they are!2 days after the install (Today) was the first sunny day and the system produced 79KWH today.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Aiko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d55d2a922ff58412ca3b6bb44f49bd700.JPG']",0,0
128290,Zane,TAS - 7325,TAS,7325,True,2024-11-24,24 November 2024,5.0,,"Very pain free and clear communication in the process, if we increase the size of our system or add batteries well use them to do it.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",I don't know,Fronius,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
127059,Phil,TAS - 7316,TAS,7316,True,2024-10-18,18 October 2024,5.0,,"The whole process from quoting, installing, commissioning and office support was second to none.The communication and workmanship on site could not be faulted.The whole Gener8 team were marvellous.I’ll certainly be recommending them to friends and family.",5.0,5.0,5.0,5.0,7kW,,,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
126821,Rod,TAS - 7325,TAS,7325,True,2024-10-11,11 October 2024,4.75,,"From getting our quote until the install was complete, every person we dealt with was vey helpful. It made our experience a very good one and helped us with the unknown of going with solar.",4.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Winaico,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
126766,Jessica,TAS - 7310,TAS,7310,True,2024-10-10,10 October 2024,5.0,,"I got a few quotes and by far genr8 was the best accross the board. Price was reasonable and every interaction we had with the company from first contact to the last good bye has been professional and the extra mile. Making sure we understood, and stayed informed the whole time. Even a lovely quick call a couple of days later just to double check everything was working.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,,,,,,False,[],0,0
125784,Mark,TAS - 7322,TAS,7322,True,2024-09-07,07 September 2024,5.0,,Everyone we dealt with were fantastic. From the first contact right through to the installation team all staff were very helpful and professional. everything was explained in plain English and any queries answered promptly.  we would be more than happy to recommend to anyone.,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
125769,Richard,TAS - 7307,TAS,7307,True,2024-09-07,07 September 2024,5.0,,The hole process was easy and hassle free from initial quote to installation,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Winaico,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
125050,Jamie,TAS - 7310,TAS,7310,True,2024-08-15,15 August 2024,4.5,,"Very professional & grey communication from start to finish, would recommend Gener8 to allInserted a photo of power going to the grid whist it’s bucketing down with rain",4.0,5.0,4.0,5.0,6kW,"$6,000 to $8,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
