review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
133897,Marty,WA - 6530,WA,6530,True,2025-05-28,28 May 2025,5.0,,"Second time using theses guys, and can’t fault them again , from start to finish 5 Stars , prompt , professional, and great value for money, and being local is even better, wouldn’t hesitate using them again",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,,,,,False,[],0,0
109246,Ian,WA - 6516,WA,6516,True,2024-01-23,23 January 2024,5.0,,The salesman was very honest and friendly. The installers were excellent and did a wonderful job considering it was a very windy day. They were very friendly and polite. The installers also walked us through how to read the inverter which was neatly installed on our outside wall.I would be happy to recommend Solar Force to anyone seeking a good SolarCompany .  Regards Rhonda and Ian,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Suntech,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
105444,Ted,WA - 6525,WA,6525,True,2022-11-16,16 November 2022,5.0,,"All aspects of dealing with solar force has been excellent. From quote to installation, every person we dealt with has been professional.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,Goodwe,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
104794,Brad,WA - 6525,WA,6525,True,2022-10-26,26 October 2022,4.0,,"Very happy with the pprice and benefits i now get from the system installed, which is of high quality. 24 panels and had no issues with the system since installation.",4.0,4.0,4.0,4.0,6.6kW,"$4,000 to $6,000",I don't know,Goodwe,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
104258,Gary,WA - 6532,WA,6532,True,2022-10-11,11 October 2022,4.5,,Polite sales correct quote. Installation was on time. the quote was correct. they help organise the grid connection after the installation.,3.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Suntech,,,4.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
95288,Shannon,WA - 6532,WA,6532,True,2021-11-15,15 November 2021,5.0,,"Fair pricing for system and very quick installation, installers were easy and cruisey to get along with will definitely refer people to geraldton solar force",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Suntech,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/358f8e1969e7a79d6d739300f3cd9d5f0.jpg']",0,0
91027,Cheryl,WA - 6530,WA,6530,True,2021-06-27,27 June 2021,5.0,,The Salesman was very prompt. Replied to my messages and phone calls. The installers were very clean and quicker than the time allowed. They left the area clean. Were very friendly. Explained how to connect to my wifi and how the app worked.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Suntech,I don't know,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
90317,Bernie,WA - 6532,WA,6532,True,2021-06-01,01 June 2021,5.0,,"Quoting process: efficient, delivered with complete informationVery polite, immaculately dressed, very punctual and a delightful individual.Tradespeople - very polite, informative,punctual and knowledgeableInstallation - tradies cleaned up, information about the installation concise and understandable.Highly recommend - very professional",5.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",,,,,,False,[],0,0
88991,Wendy,WA - 6532,WA,6532,True,2021-04-20,20 April 2021,4.25,,"Solar Force recently fitted our Solar Panels, from the initial contact to final installation the team was professional and reliable, keeping us informed of where we were at with the whole process. They arrived promptly  and quickly and efficiently installed the panels with no mess or fuss and contacted us soon after installation to ensure we were happy. Thanks Solar Force.",3.0,4.0,5.0,5.0,3.3kW,"$2,000 to $4,000",Suntech,Goodwe,,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
88830,Ross,WA - 6525,WA,6525,True,2021-04-15,15 April 2021,4.5,,"The installation team were very friendly and did the job very quickly The system is working beyond my expectations.If I could be critical, the installers did not put something against the gutter, and there ladder scratched it.",4.0,5.0,4.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,False,[],0,0
88557,Dean,WA - 6532,WA,6532,True,2021-04-07,07 April 2021,4.5,,The sales rep and installers were very good i would recommend them to anyone.,5.0,4.0,5.0,4.0,5kW,"$4,000 to $6,000",,Goodwe,,,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
79818,Anthony,WA - 6536,WA,6536,True,2021-03-31,31 March 2021,4.5,,"Lots of contact prior to selection the best system that suited my needs. Informed me of installation date and time. Discussed proposed location/s of panels on roof, ie E & N, N & W etc. Installers arrived on time and were into operation very quickly. They were on the roof before I knew that they had arrived.Installation was very efficient and were completed within half a day. I was informed throughout the process. I was briefed on the inverted operation and figures associated with it. The APP was not available at the time, but it was sorted the next day via email, and is now installed and working well. Lots of information contained. I was called as follow up, which I was very surprised and happy to receive.All in all, very happy with product and price.",5.0,4.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Suntech,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
77416,Joan,WA - 6530,WA,6530,True,2020-06-05,05 June 2020,5.0,,Yes all went well .. my system is producing very well cannot use it fast enough. Customer service was good. Definitely reccomend this company,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Suntech,Goodwe,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3379e60fec5a8751fcfa939ec439252b0.jpg']",0,0
68613,Carli,WA - 6525,WA,6525,True,2019-09-21,21 September 2019,4.5,,"Excellent sales, not pushy - very helpful and accommodating. Job processing great, system updated with power company all handled before install as we had a smaller system previously.System generation data access could be better, we donâ€™t have wifi and are disappointed we can only see day and total history of what weâ€™ve generated. Also disappointed that we purchased the system under the premise it was â€œbattery readyâ€, however when discussing this with the electrician on install he informed that we will need another inverter connected to install a battery.",5.0,3.0,5.0,5.0,5kW,"$4,000 to $6,000",EGing,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_eging.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
66769,Candy,WA - 6530,WA,6530,True,2019-07-30,30 July 2019,5.0,,Professional from start to finish from a professionsl organisation taking pride in their product and workmsnship,5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",EGing,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_eging.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
64920,Lesley,WA - 6530,WA,6530,True,2019-06-07,07 June 2019,5.0,,"Installation was swift, professional and thr installers were very nice and well presented.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,False,[],0,0
64199,Peter,WA - 6531,WA,6531,True,2019-05-20,20 May 2019,5.0,,The process was done in a professional way and we are happy.,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,False,[],0,0
64130,Matt,WA - 6530,WA,6530,True,2019-05-17,17 May 2019,4.5,,Phil was good to deal with installation boys done a good job. Time will only tell on how good the system works and what we save,5.0,3.0,5.0,5.0,2kW,"$4,000 to $6,000",,,,,,False,[],0,0
