review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139291,Mark,SA - 5162,SA,5162,True,2025-11-02,02 November 2025,3.25,,"Sales process was OK. The salesman was polite and prompt to respond to all my questions. After the order was placed, I did have to provide the same information on multiple occasions which was frustrating because I was expecting the process was moving forward in the background when it wasnt.The original installer cancelled an hour before they were expected to be on site, giving no reason and providing no alternative installation date.The installation was carried out 2 days later by another company, who was courteous and efficient, but they were not given the installation location or particulars around what was agreed upon with the retailer. The Installer had to come back a second time after I realised the install had not been completed in accordance with the terms of the contract agreed upon with the solar retailer.Install was completed 5 days ago but have not received any correspondence from the retailer to say the install is completed (assume they are waiting for the COC, which is fine) but have not been given instructions on where to download or set up the app to monitor the system.",4.0,3.0,3.0,3.0,20kW,,,Fox ESS,Fox ESS,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fox-ess.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_fox-ess.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5adade092873e83233347b3606ba50110.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0860399a79ddffacfb6da595c2d2c9311.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/eea4b36dd537ec031991c69222c3400c2.jpg']",0,0
133890,Veluppillai,NSW - 2136,NSW,2136,True,2025-05-28,28 May 2025,4.75,,"Grand Solar installed a 15 kW system featuring 67 x 295W Trina solar panels (19.765 kW) and a Fronius 15 kW three-phase inverter on December 4, 2019.This was our second rooftop solar system, installed for my son by Ken, a Grand Solar technician. Ken is not only highly skilled and knowledgeable but also an incredibly kind and professional individual.The Grand Solar team delivered exceptional service, ensuring the installation was carried out punctually, politely, and with great attention to cleanliness. I was impressed by how smoothly the process unfolded, and they made sure to leave the site neat and orderly.Their client support is outstanding—Ken is always just a phone call away whenever I need his advice or assistance with my solar system.I strongly endorse Grand Solar for anyone looking to install a rooftop solar system. Their expertise, professionalism, and customer service make them a standout choice.Panel rating: 5/5Inverter rating: 5/5",4.0,5.0,5.0,5.0,20kW,"$12,500 to $15,000",Trina,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
133889,Veluppillai,NSW - 2136,NSW,2136,True,2025-05-28,28 May 2025,5.0,,"Grand solar installed a 10 kW system featuring 37 x 295 W (10.915 kW) Trina solar panels and a Fronius 10 kw three-phase inverter on November 9, 2019.I was introduced to Ken, a Grand Solar technician, through a friend, and I couldn’t have asked for a better recommendation. Ken is not only highly skilled and knowledgeable in his field but also an incredibly kind and professional individual.The grand solar team provided exceptional service, taking great care to minimise the risk of roof tile damage during installation. They went above and beyond by replacing any broken tiles at no cost.Their client support is outstanding—Ken is always just a phone call away whenever I need his advice or assistance with my solar system.I wholeheartedly recommend grand solar for anyone considering a rooftop solar installationPanel rating: 5/5Inverter rating: 5/5",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Trina,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
126768,Sol,NSW - 2003,NSW,2003,True,2024-10-10,10 October 2024,5.0,,Kenan was very professional at all times. Some minor pain damage  occurred at the time of his work which I didn't think much of but he rectified which I was very impressed with.,5.0,5.0,5.0,5.0,30kW,"$15,000 to $20,000",,,,,,,False,[],0,0
124849,Benjamin,NSW - 2147,NSW,2147,True,2024-08-09,09 August 2024,5.0,,"I had a solar system installed at my home by Grand Solar back in 2017, and I couldn't be happier with the experience.Sales/Quoting Process: The sales and quoting process was incredibly easy and straightforward. They provided clear and detailed information, making it simple to choose the right system for my needs.Installation: The installation took place on 27/12/2017. The team, led by Kenan, installed a 10.075 kW system, consisting of 31 x 325W GCL solar panels and an 8.2 kW Fronius Inverter (three-phase). They were punctual, polite, and very tidy. Everything was done by the book, and the quality of their work was evident. I was impressed with how smoothly the installation went, and they left the site clean and orderly.Customer Service: The customer service was exceptional. Grand Solar, under Kenan’s leadership, handled all the paperwork, including organizing the grid connection after the install. This made the whole process stress-free for me.Performance: Initially, I had some doubts about the GCL panels, but after 7 years of operation, I’m extremely impressed with the returns they’ve provided. The system has performed beyond my expectations, delivering consistent and reliable energy savings.Overall, I highly recommend Grand Solar for anyone considering solar installation. Their professionalism and attention to detail, guided by Kenan, made the experience a breeze from start to finish.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",GCL-Poly Suzhou Energy Limited,Fronius,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
124556,Stephen,NSW - 2565,NSW,2565,True,2024-08-01,01 August 2024,5.0,,*sales and quotes were very detailed with imagery layout*staff involved with installation were polite and informative*the installation by tradespeople was neat tidy and reflective of the savings on our power bills*staff involved with the installation assisted with the application of apps to monitor performance of the generation of the system and how to monitor any trouble shooting or servicing needed,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,Huawei,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png'],0,0
124243,Siva,NSW - 2136,NSW,2136,True,2024-07-24,24 July 2024,5.0,,I contacted Grand Solar to obtain quote for solar panel installation. Their quotation was not the lowest. but after weighing up all possibilities I decided to go with Grand Solar. The technician Ken was Excellent. He explained everything that was in the quote and consulted with me on every step of the installation. Took extreme care not breaking a single tile during the installation. After service is equally impressive. Have no hesitation in recommending Grand Solar to anyone who wants a quality solar system,5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",QS Solar,Huawei,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png'],0,0
124169,Shayne,NSW - 2565,NSW,2565,True,2024-07-22,22 July 2024,5.0,,"I received my quote from Kenan from Grand Solar within hours of my phone call.They supplied a new system to replace an existing system that was old and taking up too much roof space with little output.I had the following installed Installed on 20/03/20177.83 kW - 27 x 290W Trina Solar panels8 kW Power-One inverter.Grand Solar showed up on the day promised and removed the old system so i could get the roof refurbished, they then returned 1 week later as promised and installed the new system.All work was done as per the regulations required all cables in conduit and all signage where required.When the installation was complete they removed all rubbish and ran me through how the system worked and all warranty paperwork was handed to myself.Grand Solar helped organise the required electrician for the meter connection.Any time i have needed any help Kenan has always taken my calls and sorted things out so a great customer service.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Trina,,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png'],0,0
124118,Anthony,ACT - 2604,ACT,2604,True,2024-07-20,20 July 2024,5.0,,"Our new solar system is the best thing we’ve done to improve our home yet! We’re saving power, saving on bills.. saving lots!The installation process was streamline and the gentlemen who installed them were great! Answered our questions and were very efficient and professional!Highly recommend!",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,,,,,,False,[],0,0
123977,Akin,NSW - 2165,NSW,2165,True,2024-07-16,16 July 2024,5.0,,"Grand solar is a awesome professional company, very satisfied with the quality and installation of work.My calls and question were allways answered, communication was spot on, mr kenan also gave me multiple solar options to pick from.I've chosen a hybrid inverter just to make it future proof if I wanted to add solar batteries in the future.Speaking from experience,  I'm one happy customer,  great people, great warranty, I have no worries with recommending grand solar.Thank you guys again, regards Akin ?",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,Huawei,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png'],0,0
123956,Nabz,NSW - 2760,NSW,2760,True,2024-07-16,16 July 2024,5.0,,"The Team at Grand Solar were fast, professional and very easy to deal with. The installation was quick and convenient and I've had no problems in the past couple of years.Highly recommended.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",,Huawei,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png'],0,0
123947,Michelle,NSW - 2179,NSW,2179,True,2024-07-15,15 July 2024,5.0,,Ken had great communication through out the process. Readily available to answer any of my questions. He was professional and polite in all our dealings. Would definitely recommend,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,,,,,,False,[],0,0
123937,Leyla,NSW - 2163,NSW,2163,True,2024-07-15,15 July 2024,5.0,,"The whole process was so fast. Ken provided several quotes for various systems and his recommendations. The install process was quick and easy. The team was punctual, polite and respectful. They installed my system and explained everything.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",ZNShine,Huawei,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_znshine.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png']",0,0
123935,Asaeli,NSW - 2580,NSW,2580,True,2024-07-15,15 July 2024,5.0,,"Process was efficient. The time I got the quote and agreed to the installation was a streamlined process.Ken spoke to me about the best price and his recommendation what would work best at my property.The team was there early, walked me through the whole process. The install was tidy and clean, everything was hidden.They cleaned as they went and left the area spotless when they finished.Would definitely recommend.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",EGing,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_eging.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
