review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139908,Tony,NSW - 2454,NSW,2454,True,2025-11-13,13 November 2025,5.0,,"A great company with excellent customer service. On time and on budget. Great liaison between office staff, installers and ourselves. Installation done over two days despite the heat. The installers were friendly, polite, professional and left the place spotless. Led from the front by the Director Alex, who unlike other companies, visited the property before quoting. Highly recommended.",5.0,5.0,5.0,5.0,13kW,,Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
138351,Michael,NSW - 2447,NSW,2447,True,2025-10-09,09 October 2025,5.0,,Was great dealing with Alix and the team at Great white Solar very professional team and installed a top quality Aussie made system for a great priceWould highly recommend to anyoneMick,5.0,5.0,5.0,5.0,10kW,"More than $20,000",,,,,,,False,[],0,0
138299,James,NSW - 2448,NSW,2448,True,2025-10-08,08 October 2025,5.0,,Very happy with the whole process of getting a battery for our solar system. No heavy handed sales tactics just facts and options. They gave us realistic expectations of the timeline for installation and stuck to it. The price was very competitive and we got our 24kw sigenergy battery. We had one minor issue that was fixed in one working day no questions asked. Very happy to recommend this family company,5.0,5.0,5.0,5.0,,"$15,000 to $20,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
137175,Josh,NSW - 2447,NSW,2447,True,2025-09-13,13 September 2025,5.0,,"Alex, Mel and the team were superb for us throughout. They were the only company who came out to site to quote, which worked well for us as we had a few unique constraints. Pricing was competitive and they took the time to talk through our situation to ensure we were getting what was right for us. They worked with us on alternate location for the solar panels, were flexible with an install date to suit us, installation was fine with a friendly and communicative crew and followed up after install to ensure all was well. Very appreciative of their work.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
136930,Cher,NSW - 2447,NSW,2447,True,2025-09-08,08 September 2025,5.0,,"Alex spent time with us to understand what we were trying to achieve with the extension to our solar power. Despite the change in suppliers they managed the process of procurement, came back with a different approach that in the end gave us a better answer for about the same money.  We already had an adequate array and this gave us panels that give us another couple of hours and enough battery to charge our electric car even on a cloudy day. They were responsive to questions and issues and flexible when it came to the timing of the install so that our busy schedules were not interupted.  Please note that we have just upgrateded a system that is 4 years old and the review of Great White is primarily about the upgrade but they have been looking after the system for us for a couple of years.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",I don't know,Fronius,PowerPlus Energy,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_powerplus-energy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_zappi.png']",0,0
136463,Gary Murphy,NSW - 2448,NSW,2448,True,2025-08-26,26 August 2025,5.0,,"Quote and installation went according to schedule, kept informed of progress and promptly rectified small problem that occurred during setup. Customer service was exceptional. Overall the whole process was smooth and followed up with support information. Excellent installation including liaison with knowledgeable office staff.Highly recommended doesn't seem to give Alex and the crew enough praise.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,,,,,,False,[],0,0
136408,Peter,NSW - 2431,NSW,2431,True,2025-08-25,25 August 2025,5.0,,"Sales & quoting process very detailed & educational. Installation was exceptional, extremely neat, guys turned up on time, very helpful & friendly. Customer service great, showed us how to set up the app on mobile, we already had a smart meter and organised with our supplier. Overall experience AMAZING",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Suntech,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136380,Jo,NSW - 2446,NSW,2446,True,2025-08-23,23 August 2025,5.0,,"Nothing but praise for Great White Solar and have highly recommended them to friends.They were prompt courteous and considerate, answered all questions and gave us a system that fits our needs and place. The installation was efficient and tidy and they took the time to run rhrough it all with us and the excellent App. Very happy with the outcome",5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",I don't know,Sigenergy,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/387e672b0f73a6f8ef7b74b8647f17820.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e0a3b4de83232332a6d95cc3b20c9bb71.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5605508c52d9c2fd7d97973ed5f9b5e92.jpg']",0,0
136379,Michael,NSW - 2454,NSW,2454,True,2025-08-23,23 August 2025,5.0,,"Great White Solar are on the ball. They provided me a number of options for my battery, gave me sound advice and came on site before finalising the quote. Everyone I dealt with was pleasant and quick to respond. The installation ran into a bit of trouble with my soft walls and the installer picked it up, changed plans, fetched some extra materials and completed the job by the end of the day. I got the feeling they really knew what they were doing and they wanted me to be totally satisfied with my system. A week later I get a follow up call, checking in on how the system was working. But no problems at all, the system is doing exactly what they said it would. Very Happy with GWS.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",SolarEdge,SolarEdge,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
135559,Hettie,NSW - 2454,NSW,2454,True,2025-07-23,23 July 2025,5.0,,"Through SolarQuotes we were put in touch with Great White Solar in Macksville, NSW.Alex, the operations manager, came to visit at our property for an assessment after an initial quote based on a telephone conversation. Alex was personable and took his time to fully assess the house, setting and consider the sun's tracking across the roof over the course of a year. He tweaked the initial quote to increase the number of panels and decrease the size of the battery. We selected a suitable undercover space for the battery.At the day of installation 4 friendly & polite guys arrived: Matt, Luke, Simon and Jamo were a great team. The atmosphere between them felt good, an important one, as it makes you feel confident that there is a team that flows together and are confident with the job at hand. Since it was a sizeable job (14.48 kW in Aiko panels with a 24.18 kWh Sigengery battery) it took them 2 full days to set the system up. They gave good instructions at the end and left everything spotless. Thank you everyone at Great White Solar!",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/365b3632bc5f5c79f4425420746b97920.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/263e1dbe051ec33466815c1697e8ab441.jpg']",0,0
134012,Vicki,NSW - 2440,NSW,2440,True,2025-06-02,02 June 2025,5.0,,"What an awesome team !!!!!From the first contact to the completed job they were tops, friendly professional and informative. Even under the pump from flood issues they still delivered & it was always service with a smile. Luvin your work and I would recommend you without hesitation. Thanks guys",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Suntech,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
