review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
16901,Alison,QLD - 4551,QLD,4551,True,2012-12-22,22 December 2012,4.75,,"Took a while to get installed as it was during the end-of-subsidies rush, but they were quite good about keeping me informed.I wanted to change to a 3KW inverter and get the other panels later (i.e at the moment I have 8 panels = 1.5KW so can add another 8 panels when I want) and this was no problem.The installer was very pleasant, conscientious and efficient. I have waited to give my review until I got my first bill after installation: 60% down on previously, so very pleased!",5.0,5.0,5.0,4.0,3kW,Under $3000,,,,,,False,[],0,0
9073,Anon,QLD - 4556,QLD,4556,True,2012-09-11,11 September 2012,4.0,,,4.0,4.0,4.0,4.0,1.5kW,Under $3000,not sure (Other),Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
15473,John,QLD - 4516,QLD,4516,True,2012-08-24,24 August 2012,4.0,,,0,,0,4.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
15123,Alexander,QLD - 4565,QLD,4565,True,2012-08-05,05 August 2012,4.0,,"Reason for my decision, my neighbour had Green Home install his system and was very satisfied. Also he can assist me if I need advise.Thank you for your interest.",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
14004,Rob,QLD - 4507,QLD,4507,True,2012-06-18,18 June 2012,4.0,,,4.0,4.0,4.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
12156,Chris,QLD - 4509,QLD,4509,True,2012-04-02,02 April 2012,4.75,,,5.0,4.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
9767,D,QLD - 4517,QLD,4517,True,2011-08-09,09 August 2011,4.75,,The company offered a standby remote system with package but they couldn't supply it upon installation because the Qld government Smart Home Service is using the same supplier and even the government don't have any and there is a long waiting list to obtain them (or so I was told by Qld Gov't. and EcoMasters who were contracted by Green Home Energy).,5.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
9473,Janette,QLD - 4573,QLD,4573,True,2011-07-21,21 July 2011,4.25,,Even though I have rated the system etc as good I really have no expertise in this field. Three other homes in my street were fitted with solar panels by the same company and this influenced my decision. I was  impressed with the company's efficiency and the installation was effortless and they were very accommadating. The company was very informative and made sure I completed paperwork to enable Energex to finalize process.,4.0,4.0,5.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
9232,Anon,QLD - 4509,QLD,4509,True,2011-07-11,11 July 2011,4.0,,,4.0,4.0,4.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
8978,Anon,QLD - 4210,QLD,4210,True,2011-07-02,02 July 2011,3.25,,,4.0,3.0,3.0,3.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
8340,Anon,QLD - 4564,QLD,4564,True,2011-06-10,10 June 2011,4.33,,The company gave weekly updates regarding the progress of the installation.Panels were  promptly installed.,5.0,,4.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
8293,Leigh,QLD - 4580,QLD,4580,True,2011-06-08,08 June 2011,4.33,,Im sure that when the rush is over the retailers who couldnt be bothered will be knocking on doors for business. Hopefully the system we chose will be good value. Will wait and see,4.0,4.0,0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
7792,ELLY,QLD - 4556,QLD,4556,True,2011-05-27,27 May 2011,5.0,,"It was a long process going through 5 different companies but a real eye opener into the solar industry. The research into products - makes, models, warranties etc. but all worth the outcome. I was very lucky to have been able to chose a company that has provided me with exceptional service. I am yet to benefit from the system at present (awaiting meter box change from energex) but am certain it will be a great asset.",5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
6384,Phillip,NSW - 2036,NSW,2036,True,2011-04-20,20 April 2011,3.33,,"this is an extremely fragmented industry wiith many suppliers giving different versions of how the installation process proceeds , from clearly not having a clue as to what they are talking about to telling me complete rubbish as to my requirements ,particularly in the area of how the system connects into the power board ,the meters required, and the compulsion that I would Have no option but to be placed on time of use metering .I found no consistancy between any of the suppliers,everyone had a different story to tell and I'm still waiting for my system to be installed .I wonder what little gems during the installion process I will hear",4.0,4.0,0,2.0,1.5kW,Under $3000,,,,,,False,[],0,0
3051,Ross,QLD - 4560,QLD,4560,True,2010-10-11,11 October 2010,3.33,,,3.0,3.0,0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
162,Craig,QLD - 4508,QLD,4508,True,2010-05-26,26 May 2010,4.0,,,3.0,4.0,4.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
