review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
29323,Lynda,QLD - 4552,QLD,4552,True,2016-02-03,03 February 2016,3.0,,The first inverter installed had problems and they replaced it a month later with a Solar Max. Today nearly 1 year later the inverter stopped. Now the problems really began. Can't contact Green Initiatives. Received an email response saying Green Initiatives aren't operating anymore. Also found out that Solar Max had gone bankrupt.So we are left with a 1 year old inverter that doesn't work....a supplier and installer who has gone out of business. Where does that leave us? We have a 5 KW system sitting on a roof doing nothing.,4.0,3.0,4.0,1.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
26805,Allan,QLD - 4013,QLD,4013,True,2015-07-16,16 July 2015,1.75,,We have had this system for 2 years and it has only worked for about 3 months  nothing but trouble,1.0,1.0,4.0,1.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
25921,Marian,QLD - 4209,QLD,4209,True,2015-04-19,19 April 2015,1.0,,"I would recommend no one buy anything from this company. Customer service is absolutely disgusting, they sell you an expensive system and then want nothing to do with customers after they have been paid. Totally disgusted with them",1.0,1.0,1.0,1.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
24602,Patricia,QLD - 4751,QLD,4751,True,2014-12-09,09 December 2014,1.75,,This Company has had no follow-up with me and has lied.,1.0,1.0,4.0,1.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
10838,Maurie,QLD - 4570,QLD,4570,True,2014-05-08,08 May 2014,3.5,,,4.0,4.0,4.0,2.0,2kW,"$6,000 to $10,000",,Wuxi SLD Power Technology,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_wuxi-sld-power-technology.png'],0,0
10729,Michael,QLD - 4573,QLD,4573,True,2014-05-07,07 May 2014,3.75,,"Installation neat and tidy. Very good after sales services. Once the system was installed and the new Energex meter operating, the company came and explained everything A to Z on the whole system.",3.0,5.0,5.0,2.0,3kW,"$10,000 to $15,000",German Solar,Sunna Tech,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sunna-tech.png'],0,0
21426,Robert,QLD - 4825,QLD,4825,True,2014-01-16,16 January 2014,2.75,,Got our system installed back in Nov 2013 - now Jan 14 and system is still not hooked up and working. Very disapointed with this company that promised a lot but has delivered nothing.,3.0,4.0,2.0,2.0,4kW,"$10,000 to $15,000",,,,,,False,[],0,0
21105,Rick,NSW - 2460,NSW,2460,True,2013-12-14,14 December 2013,3.5,,,4.0,4.0,5.0,1.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
18357,Paula,QLD - 4817,QLD,4817,True,2013-04-22,22 April 2013,4.0,,,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
4081,Dave,NSW - 2480,NSW,2480,True,2010-12-02,02 December 2010,5.0,,"We have not had system installed as yet.  Next week or so, so cannot give answer for above two points.Green Initiative had a salesperson door knocking and had a good deal and price.  Very happy thus far.",5.0,,0,5.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
