review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139912,Luc,VIC - 3163,VIC,3163,True,2025-11-13,13 November 2025,5.0,,Extremely happy with the honest advice on a system we needed to install. Also they where very informative and installation was first class by the team.,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
139184,Simon,VIC - 3160,VIC,3160,True,2025-10-30,30 October 2025,5.0,,"I requested six proposals for my solar upgrade and received six different solutions.  Several were clearly cookie cutter one size fits all proposals that got binned immediately, one didn't even listen to the brief,  then there are the installers who hear the basics then jump in before hearing the detail - Note to installers, if you can't be bothered even listening to what the customer is trying to achieve, what is the likelihood of them getting the solution they want?  This is where Greenline Solar stood out and secured my business.  During the development stage, Toby listened to what I wanted to achieve beyond basics of capacity, came up with a solution, put it to me to scrutinise, I got to ask questions that sometime required research on his part and eventually a shortlist of three proposals for me to choose from.  It was this level of collaboration, patience and commitment that got my signature.  Every part of the system could be qualified and justified.  Initially I thought I'd get a few quotes and boom job done, but the research phase took a lot longer than anticipated and I wouldn't change that because the result is fit for purpose.  After the groundwork  is done, the install is easy and the result is all but guaranteed.Jake and his install team turned up as planned, on time and worked like champs on what was in places a challenging install.  They asked questions rather than making assumptions, ran to schedule and cleaned up after themselves.  What more could you ask?If you take away one thing from this review it's this.  Any installer can install whatever panels, inverter, battery etc you spec based on your research or their opinion, then walk away - tick the boxes and away they go.  For some this is ok.  What you will get from Greenline Solar is that extra effort, time, commitment and integrity.  I'd use them again in a heartbeat and recommend them without reservation.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
139038,Matt,VIC - 3172,VIC,3172,True,2025-10-27,27 October 2025,5.0,,"The Green Line Solar team was excellent throughout the whole process, from quoting on-site to delivery and providing me with a manual after commissioning. I have worked with many trades, and the Green Line team is very neat, clean, and clearly takes pride in the work they do. I felt confident during installation, as the communication was clear and concise. Any adjustments were advised and sought my permission before continuing.I was very happy with the backup and EV charging testing before handover. The filing of the necessary paperwork was quite seamless and well prepared, making admin a breeze. A big thank you to the Green Line Solar team!",5.0,5.0,5.0,5.0,30kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/967e91b0e6532cd901212f660e85c5ca0.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5ee878b7df4507026a53e35cae3472f61.JPG']",0,0
138622,Jenny,VIC - 3196,VIC,3196,True,2025-10-17,17 October 2025,5.0,,"I highly recommend Green Line Solar — a true 5-star experience from start to finish! Toby and Jake were an absolute pleasure to work with. Unlike some other companies, they never used high-pressure sales tactics. Toby took the time to patiently answer all of my questions, making sure I felt informed and confident every step of the way. On installation day, Jake and his team were efficient, professional, and made the whole process completely stress-free.If you’re considering going solar, Green Line Solar is the team to go with.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
138456,Rob,VIC - 3199,VIC,3199,True,2025-10-13,13 October 2025,5.0,,"From the first phone call, Toby was very helpful, knowledgeable and responsive to our needs and queries. Explaining systems and requirements to us in a clear and patient manner that made our decision making process much easier. Also helped us organise a mains upgrade for optimal performance. On installation, Jake and the team were very professional and thorough, with great attention to detail and a quality result. From start to finish, the team were polite, punctual and available to answer questions. We are very happy with our system, and the process and journey from start to finish. We have seen a massive reduction in power bills and have already been consistently over 95% off grid due to the system’s efficiency. We highly recommend Green Line Solar for your solar and battery installation. Rob",5.0,5.0,5.0,5.0,9kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136590,Greg,VIC - 3175,VIC,3175,True,2025-08-29,29 August 2025,5.0,,"I recently had my solar system installed and activated by Green Line Solar, and I’m very impressed with the whole process. Toby and Jake were professional, efficient, and explained everything clearly. From the installation to the final activation and handover, everything was smooth and well organised.The team handled the federal rebate requirements without stress on my end, and communication was excellent throughout. The workmanship is neat, and the system was up and running exactly as promised.I would highly recommend Green Line Solar to anyone looking for reliable and professional solar installation.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
135620,Mark,VIC - 3115,VIC,3115,True,2025-07-26,26 July 2025,5.0,,"After a lot of investigation online we chose Green Line Solar to install our rooftop PV and battery systems.  Throughout the process Toby and Jake from Green Line Solar provided clear advice and a very competitive quotation. Their subsequent attention to completing the installation in good time and of an excellent standard, was exemplary. We have no hesitation recommending Green Line Solar, and have done so to our family and friends.",5.0,5.0,5.0,5.0,7kW,"$12,500 to $15,000",Aiko Solar,Fronius,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
135301,Paul,VIC - 3198,VIC,3198,True,2025-07-14,14 July 2025,5.0,,"I had Toby & Jake install my solar system almost 2 years ago. I was so impressed by the service (Toby took a lot of time to answer my many questions) that I went directly to Green Line Solar when the time came to add a battery. Toby again explained everything in plain language and got me a great deal on my new Sungrow battery.  Jake and his team just finished the install today (about 5 hours work). As always his team were polite, efficient and did a great job. I highly recommend Green Line Solar as they are easy to deal with, take the time to explain how solar works, and do a great job and are not pushy sales people. Thanks again guys",5.0,5.0,5.0,5.0,8kW,,Jinko Solar,Sungrow,Sungrow,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
134936,Matt,VIC - 3204,VIC,3204,True,2025-07-03,03 July 2025,5.0,,Toby and Jake answered all of my questions and presented me with a range of options bespoke to my property and my energy needs.They conducted a site inspection to verify their design and quickly followed up on any issues I had.They kept me in the loop at all times during the process.Would highly recommend Toby and Jake at Green Line Solar.,5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Aiko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
133818,Trevor,VIC - 3153,VIC,3153,True,2025-05-27,27 May 2025,5.0,,"The service provided by the installer (Toby and Jake +) was excellent. They certainly knew their business. All quotes were well laid out and made the process easier. Work was done 3 weeks early due to a cancellation which suited us greatly.Personnel service was excellent - on site inspection done before installation was very informative, workers arrived on time and got on with the work promptly (they were here for 7-8 hours), very clean around the site.Information back to us re the components was great.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0fda7f650a64e4458e307abeb5b7b6fc0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8da7b4a90f565a6cee8107a2b5480ad01.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4457f378108d6fb1f62d61f23d07becd2.jpg']",0,0
