review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
29816,Wayne,NSW - 2265,NSW,2265,True,2016-03-19,19 March 2016,1.0,,Do your self a favour and run before you get a quote slill not conected to the grid after 3 years,1.0,1.0,1.0,1.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
26198,Norm,NSW - 2262,NSW,2262,True,2015-05-18,18 May 2015,1.0,,"Green Living King Pty Ltd are the worst company of any description I have ever had the misfortune to deal with, they promise the world and deliver nothing, as soon as they have your money they dissapear, NO OFFICE, NO WEBSITE, NO FIXED LAND LINE (phone), NO EMAIL, NO SERVICE, DON'T RETURN CALLS, they blame everyone else except themselves, unfortunately spent $9000 on a 5 kw system which worked for 2 months, Green Living King Pty Ltd will not do anything about warranty and blame everyone else, in the process of lodging a greivence against Green Living King Pty Ltd with Fair Trading Australia, truly do not trust this company at all",1.0,1.0,1.0,1.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
25492,Gordon,NSW - 2259,NSW,2259,True,2015-03-09,09 March 2015,1.0,,"I would never again use or recommend Green Living King. They will not answer their phone nor honour their warranty. They sold me a Solar Hot Water System that keeps breaking down, but now they are not interested in helping  me. They have taken my money and are now telling me to go elsewhere.",1.0,1.0,1.0,1.0,1kW,"$3,000 to $6,000",,,,,,False,[],0,0
24458,Neil,NSW - 2259,NSW,2259,True,2014-11-23,23 November 2014,1.5,,Why have their phones been disconnected,3.0,1.0,1.0,1.0,1kW,"$3,000 to $6,000",,,,,,False,[],0,0
22719,Jonathan,NSW - 2264,NSW,2264,True,2014-05-12,12 May 2014,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
19721,K,NSW - 2259,NSW,2259,True,2013-08-19,19 August 2013,4.25,,"Excellent customer service and no problem with installation. A very professional job.We also installed solar hot water, in conjunction with the solar panels. Everything is working very well and I am very pleased with the service and would use this company again if I needed more solar panels.",5.0,4.0,4.0,4.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
19252,Anon,NSW - 2250,NSW,2250,True,2013-07-06,06 July 2013,4.0,,No,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
18087,Smith,NSW - 2285,NSW,2285,True,2013-03-27,27 March 2013,2.5,,"These people caused $5000 damage to my property and left us with hardly enough money to pay the Bills over Christmas.They refuse to take any responsibility For the damages caused, won't even negotiate on splitting the cost which I should not even have neededto offer. The accounts people didn't even know I paid in December.After asking for a invoice about 3 times a week for 3 weeks. Sent an invoice 3 months later a called asking for proof of payment.Have been saving for a holiday for 3 years and now struggling to pay the bills. Thanks green living king toukley",4.0,4.0,1.0,1.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
16348,Angela,NSW - 2261,NSW,2261,True,2012-11-01,01 November 2012,1.0,,I would strongly suggest you look elsewhere! Drought King Water Tanks t/a Green Living King have provided appalling service since installation of our solar hot water system and solar panels in 2011.  We have had nothing but issues and a recent independent audit has revealed serious issues with the installation including a hot water service that is running solely on power not solar. I'd be looking elsewhere.The independent inspection found:* Insufficient/incorrect equipotential bondings of panels and mounting rails* DC cabling on rood unsupported and exposed to mechanical and solar damage* unsatisfactory waterproofing on roof penetration* solar supply main switch label in wrong location* Warning labels not permanently marked with required information* Solar hot water system not operational,1.0,1.0,1.0,1.0,2kW,"$15,000 to $20,000",,,,,,False,[],0,0
9485,Ron,NSW - 2259,NSW,2259,True,2012-09-12,12 September 2012,3.0,,,2.0,3.0,4.0,3.0,1.5kW,"$3,000 to $6,000",Trina,Clenergy,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_clenergy.png']",0,0
15215,Frank,NSW - 2259,NSW,2259,True,2012-08-11,11 August 2012,4.0,,Dealings with the supplier up to and including installation were excellent. Connecting to the grit to make installation operational - a nightmare. We are waiting now for six weeks and get all sorts of excuses why the connection takes that amount of time.,4.0,4.0,4.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
14412,Christine,NSW - 2325,NSW,2325,True,2012-07-01,01 July 2012,3.25,,Wasn't fully explained that the panels would be installed and could wait up to three weeks for meter connection.  Wasn't explained on how the meter reads!  Very poor sales service once the deposit was PAID.,3.0,4.0,4.0,2.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
