review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
129388,Peter,VIC - 3976,VIC,3976,True,2025-11-19,19 November 2025,5.0,,"Excellent installation, all done in a day, system set up and grid connection were all taken care of. The installers( Leigh & the boys) were efficient and polite and most definitely knew what they were doing  Communication with Green Vision Solar was all done by Email (not very personal) As I'm a pensioner I found it difficult. But we got there in the end.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/54ac6554f96e7d7d37b04984c4a80d050.jpg']",0,0
139413,Chris,VIC - 3101,VIC,3101,True,2025-11-05,05 November 2025,4.75,,Very smooth process and great customer service. Highly recommend Green Vision Solar and their Installer.,4.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
138366,Nathan,VIC - 3192,VIC,3192,True,2025-10-09,09 October 2025,5.0,,"From the start to completion, the crew at Green Vision Solar were great to deal with.Great product with amazing service and communication.Highly recommended.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
138250,Jules,VIC - 3104,VIC,3104,True,2025-10-07,07 October 2025,5.0,,We recently had a large and complicated battery system installed by Green Vision Solar and they did a brilliant job. It was far from easy but they worked through every issue without ever compromising on quality. Really appreciate them getting such a difficult job done and getting it done so well. Would definitely recommend them to others.,5.0,5.0,5.0,5.0,,"More than $20,000",,,,,,,False,[],0,0
138180,Justin,VIC - 3199,VIC,3199,True,2025-10-05,05 October 2025,5.0,,Very happy with the service they were very punctual and the installers did a fantastic job. Will definitely recommend.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
138176,Shae,VIC - 3875,VIC,3875,True,2025-10-05,05 October 2025,5.0,,Oliver helped me from start and beyond with information and support to achieve the system I wanted. A1 customer service!! Since installation the system has been amazing. Very happy,5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
138155,Jamil,VIC - 3806,VIC,3806,True,2025-10-04,04 October 2025,2.75,,"Few months after installation I realised that the installed Fronius inverter didn't have the correct front cover. The model in the quote was GEN24 8.0 Primo, but the cover was labelled Symo (3-phase variant of the GEN24 8.0), The sticker on the side of the device was all about GEN24 Primo. I could not get an explanation for the mix-up from the installer, electrician, or Fronius Australia and suggested that Fronius would provide a replacement front cover saying ""Primo"" and Green vision would install it.  Fronius made the delivery to my home September 23, 2025 and I am still waiting for Green Vision to send somebody to install. The response to my repeated queries about installation date is ""we will call you once we have the date available""",4.0,4.0,2.0,1.0,10kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ad6c188ad534fc1f4d9ce13b4178d60f0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/54a8d8b3cf76c122ce7943bc9ffe64d61.jpg']",0,0
137506,David,VIC - 3150,VIC,3150,True,2025-09-20,20 September 2025,4.75,,"Quote was good. Was kept informed about the installation even though it was delayed slightly. Very efficient installers, was inspected and operational within 2 days of installation Everything was done when they said it would be.",4.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",JA Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
137241,James,VIC - 3820,VIC,3820,True,2025-09-15,15 September 2025,4.75,,Communicated with Oliver over a year before getting solar and battery installed. Always helpful and accommodating of my queries. All issues sorted with great communication and fairness in mind.,5.0,4.0,5.0,5.0,6kW,"$15,000 to $20,000",Canadian Solar Inc,I don't know,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136892,James,VIC - 3178,VIC,3178,True,2025-09-07,07 September 2025,4.75,,"Process was fairly smooth, able to answer my questions promptly, and explain rationale.Installer was punctual and tidy.Customer service was smooth, but would have liked a bit more information about the steps of the whole process.",5.0,5.0,5.0,4.0,,"$15,000 to $20,000",,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
