review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137754,Andrew,WA - 6065,WA,6065,True,2025-09-25,25 September 2025,5.0,,"Straight talking, minus the b's. Removal of older 3kw system.All the info needed for upgrading and again solid advice when talking 'needs verses hype' about battery installation. Punctual, polite by all the team. No negatives....Highly recommended. Well done team.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Solis,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
127983,Wenji,WA - 6064,WA,6064,True,2025-09-15,15 September 2025,4.25,,"The price is reasonable and the installation is good , happy choice.",4.0,4.0,5.0,4.0,6.6kW,"$2,000 to $4,000",Canadian Solar Inc,Goodwe,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
133687,Tony,WA - 6107,WA,6107,True,2025-05-22,22 May 2025,4.0,,Stev was on time and always  communicated  with me. Managed to get the installation done before install date .installation  was neat and installers were well versed in their job. Would recommend to anyone  looking for solar,4.0,4.0,4.0,4.0,6.6kW,"$4,000 to $6,000",Jinko Solar,iStore,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
132948,Mark,WA - 6026,WA,6026,True,2025-04-30,30 April 2025,5.0,,Sales process was great - all my queries were addressed and options discussed,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
132320,Andy,WA - 6025,WA,6025,True,2025-04-08,08 April 2025,5.0,,No dramas from initial site visit to quote to final install. Very happy with the non pushy approach and ease around the process even when we decided to change the inverter prior to install. The guys that did the install were neat and tidy and all works completed with no mess or damage in half a day. Would recommend to others in the future.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,iStore,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
131507,Katie,WA - 6107,WA,6107,True,2025-03-12,12 March 2025,5.0,,"I called Green Wiring based on a recommendation from a friend who had also referred many of her other friends because she was so happy with their service and install.  Steve came to my house that same afternoon for a quote and explained the products and process clearly.  We booked in for about a month later, but there was a cancellation so got a booking within 2 weeks of our quote.  They explained the requirements by Western Power to change over the meter and the costs and process with that also.Green Wiring's team had great communication throughout the whole process and what to expect with the installation, which went off without a hitch. The install team were friendly and efficient and explained how to use the system and how to connect the inverter to the app to see how the system worked.The after-care service was great also. I highly recommend using Green Wiring, we got a great deal on our 15 panels and 5k inverter, and were very impressed with their service and value.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,iStore,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
130679,Jenny,WA - 6111,WA,6111,True,2025-02-12,12 February 2025,5.0,,"2nd property I have used this company for solar. Very friendly, good communication and customer service",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
128895,Monika,WA - 6025,WA,6025,True,2024-12-11,11 December 2024,5.0,,Very smooth and honest that’s what I value the most.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Solis,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
128832,Annie,WA - 6061,WA,6061,True,2024-12-09,09 December 2024,4.5,,"Straight forward job, all people involved seemed genuine and happy (on Day 1) with installation and it's working.",4.0,4.0,5.0,5.0,5kW,"$2,000 to $4,000",I don't know,Solis,,,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
128312,Chris,WA - 6023,WA,6023,True,2024-11-25,25 November 2024,4.0,,"The process was smooth from start to finish, so far the system is running well.",4.0,4.0,4.0,4.0,6.6kW,"$2,000 to $4,000",EGing,Solis,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_eging.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
