review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140410,Adam,NSW - 2753,NSW,2753,True,2025-11-24,24 November 2025,5.0,,"Excellent customer service, installer was amazing left the place clean and tidy. I highly recommend. Even after the installation was completed the customer service has been great, getting back to me quickly answering all my questions. I highly recommend green.com.au",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Alpha-ESS,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
140090,Steve,NSW - 2164,NSW,2164,True,2025-11-18,18 November 2025,5.0,,The quote and sales person was good - enough to pay more than other quotes.The installation team were polite and tidy.Customer service were polite and helpful.,5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",LG,Fronius,Alpha-ESS,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
139991,Mohammed,NSW - 2213,NSW,2213,True,2025-11-16,16 November 2025,5.0,,The Sales people were very professional and answered all my questions and quarrels patiently.The installers were professional and tidy.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Fronius,Alpha-ESS,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
139941,Gary,NSW - 2650,NSW,2650,True,2025-11-14,14 November 2025,5.0,,"Everything from the sales / quoting process to the installation was a breeze. The installers were punctual, tidy, polite and answered several questions. We received help with app installation on site and a tutorial for app settings etc during a follow up phone call with Green.com.au",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Alpha-ESS,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f7d62ad3ae4973faa1181795543a6b920.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0b4396d29d26ebf4ff06339eaec7b7c41.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/641c41ce1c65d0925d91bbe572409d732.jpg']",0,0
139574,Emma,NSW - 2335,NSW,2335,True,2025-11-07,07 November 2025,4.5,,"I was initially worried as my first install date was cancelled on the day and I didn’t receive a new date for a couple of months. Every time I reached out there was a reply email the next day. The second install date was 2 mths after the first, this time they arrived on time and left the worksite clean and tidy. I was set up with my app and 24hrs later noticed the batteries stopped charging at 69%. Another email overnight and I received 2 phone calls and an email to help fix the problem. I had a query about the instructions and rang Green. Immediate customer service, very helpful,   easy fix, no need to get installers back. Happily watching my batteries fill from my solar to use when the sun goes down.",5.0,5.0,4.0,4.0,,"$8,000 to $10,000",,,Alpha-ESS,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
139521,Barry,NSW - 2178,NSW,2178,True,2025-11-06,06 November 2025,5.0,,"The guys (and gals) at Green are top notch. After being referred onto them by the one and only John Cadogan, the guys at Green took over the design & installation of the solar system & battery, as well as taking care of the carbon credits and associated paperwork. They provide top quality REC panels from Norway and Tesla Powerwall for storage. They were so good and easy to deal with, that I had a second Powerwall battery added by them recently. So, these guys are not your dodgy cows boys installers, but legit people delivering the goods without any hassle involved.",5.0,5.0,5.0,5.0,9kW,,REC,Tesla (Other),Tesla Powerwall 3,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
139519,Vicki,NSW - 2582,NSW,2582,True,2025-11-06,06 November 2025,5.0,,My husband and I are so pleased to have  chosen Green for our battery purchases.The whole order and installation was handled by Green  without any unnecessary input from us. The sales team are courteous and professional and their installers were the same. We were guided through the app installation and the rubbish removed . All happened in a good time frame.We really couldn't have expected  better.Thankyou Green.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,,Alpha-ESS,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
139515,John,VIC - 3130,VIC,3130,True,2025-11-06,06 November 2025,5.0,,"The battery install was so smooth. From the first contact, to the quote, to acceptance the process was perfect.We were always kept informed, advised along the way without us chasing any details.The installer was incredible, totally professional and set us up on final installation.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,Alpha Technologies,,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_fronius.png']",0,0
139311,Bryan,NSW - 2502,NSW,2502,True,2025-11-02,02 November 2025,5.0,,"Easy to deal with slight delay in getting batteries due to stock levels, but as soon as they gave me a date it was locked in and easy.",5.0,5.0,5.0,5.0,20kW,"$6,000 to $8,000",,,Alpha-ESS,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
139113,James,NSW - 2024,NSW,2024,True,2025-10-29,29 October 2025,2.0,,"Iinstallation and communication problems, including  discrepancies between what sales promised (location of the batteries, I checked three times that it was ok) signed ($19,000!!) proposal, paid deposit and customer service said NO to sales confirmed location.Delays and miscommunication confirmation on revised location, following many calls and emails. Still outstanding.Now 7 weeks post signed proposal and no battery location confirmation or install date in sight.They’re now not answering calls.",3.0,,0,1.0,,"$15,000 to $20,000",,,Tesla Powerwall 3,,,1.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
