review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
128817,Murphy,SA - 5092,SA,5092,True,2025-10-05,05 October 2025,5.0,,"I use the AGL sungrow bundle as upper limit (6.6kw PV + 9.6kwh battery for 16500 based in SA) to compare with the quotes I received. Using the same sungrow components, most of the quotes are similar to AGL. I have only a few quotes came back with ""reasonable"" price. I checked the reviews from SolarQuotes + Google, and decided to go with Greenaus.Through the first phone call to the end of the installation. I can say I have no regret. I have my system installed on 09/12/2024, and it is currently running (only for 3 hours :-)).If you are in SA, it is definitely worthwhile to get a quote from Greenaus to help you making a informed decision.",5.0,5.0,5.0,5.0,8kW,"$15,000 to $20,000",Risen,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
133422,Vincent,SA - 5043,SA,5043,True,2025-05-14,14 May 2025,2.75,,"The process was okay, installation was quick easy and straightforward. The prices they charge are ridiculous, and the interest they charge with payment plans is even more ridiculous. After putting down a deposit, I owed 5,400, and then needed to pay that back over a year. 18.52% interest rate with only a year of repayments. Absolutely shocked, but I had no choice as they had already done the install.If I could go back, I would have gone with another installer that gives much better value, and does the same job for a better price, or maybe no so high interest rates.Originally I was quoted 6,200 for a 9.6kw system with them saying confidently they could fit that many panels. After installation, they called saying they could only fit 8.8kw worth of solar panels. The discount for not fitting as many? $175. It cost 6,025 for the 8.8kw panels. However, they charged me $7,000 all up AFTER REBATES GO TO THEM for this 8.8kw system paid over just a year. Speechless.I was going to recommend this company to friends and family, as the installation was smooth actual solar panels and inverter all worked well, however, this pricing and interest rate is a robbery.",1.0,4.0,5.0,1.0,8kW,"$8,000 to $10,000",Canadian Solar Inc,Sungrow,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
120741,Rohan,SA - 5108,SA,5108,True,2024-03-28,28 March 2024,1.25,,"Greenaus Solar's service was an absolute nightmare. Not only did the installation of my solar battery drag on endlessly and fail to work, but the final result looked like a messy afterthought.To make matters worse, they left behind a trail of trash and debris, demonstrating a complete lack of respect for my property. They've made three attempts to fix the issue, each time with little regard for my time or schedule. One instance even involved them showing up unannounced, and another where they didn't bother showing up at all.Their incompetence, disregard for cleanliness, and lack of professionalism are staggering. Avoid Greenaus Solar at all costs unless you enjoy wasting your time and money on a company that not only fails to deliver a functioning product but also leaves your property looking like a chaotic construction zone.",1.0,1.0,1.0,2.0,5kW,"$8,000 to $10,000",,Goodwe,Dyness,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_dyness.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ab304b9bd812332e19094a7b12b57c970.jpg']",0,0
112106,Michael,SA - 5112,SA,5112,True,2023-07-06,06 July 2023,3.0,,"sales quoting for solar system fine.apart from sub board upgrade, prices seem to vary every time we spoke, sorted it out in the end.Installation guys very good, polite very tidythey organised the grid connection after install.could of spent more time hooking up the app and explaining how to use it, so we could see daily usage etc.",3.0,3.0,3.0,3.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
95283,Cherrie,SA - 5000,SA,5000,True,2021-11-15,15 November 2021,4.75,,"Greenaus Solar was easy to deal with, did good quality work, did the work on time. Loved that we finally able to get solar and that the programs were in place to assist.",4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
81029,Andrew,SA - 5073,SA,5073,True,2020-09-01,01 September 2020,5.0,,"From start to finish Greenaus Solar have shown the highest level of professionalismand service.The sales experience was straight forward and costs explained clearly.Installer was communicative,tidy and attention to detail was spot on.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,INVT (Other),,,,,False,[],0,0
78381,Shuaizhong,SA - 5085,SA,5085,True,2020-06-29,29 June 2020,5.0,,Iâ€™m happy with their friendly and professional service. Really worth the money and time. Thanks Greenaus Solar.,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Suntech,,,5.0,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
78015,Johanna,SA - 5000,SA,5000,True,2020-06-21,21 June 2020,5.0,,I had a great experience. Very professional and knowledgeable. Kept me informed during the entire process. I couldnâ€™t recommend more.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fimer,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
77475,Lingling,SA - 5087,SA,5087,True,2020-06-07,07 June 2020,5.0,,"I had solar panel installed for my other house in December last year and they have provided great service in every way, thatâ€™s why I trusted my second job to Geenaus solar again, didnâ€™t disappoint me at all, fast and neat installation! Owner contact me for following up, great service!!!",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
77473,Liwei,SA - 5081,SA,5081,True,2020-06-07,07 June 2020,5.0,,"Their staff responded fast to my request of a quote and gave a really great price. Installation team was on time and kept the site clean and organised, great service! Will definitely recommend to all my friends.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
