review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
105214,Amanda,SA - 5167,SA,5167,True,2022-11-09,09 November 2022,5.0,,"The whole process was smooth and simple with our solar install. Communication was superb, and everything was explained to us in a way that was clear and easy to understand.The after service has also been exceptional. Its not just a done deal once they get their money, nothing is too much bother.I would definitely recommend Greener house solutions for solar install to anyone i know.Thankyou to Thea and the team",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",,,,,,False,[],0,0
76536,Shane,SA - 5161,SA,5161,True,2020-05-09,09 May 2020,5.0,,"Wonderful Customer Experience.  Every step through the whole process was easy & nothing was to much trouble (even answering all the stupid questions we asked along the way trying to work out what was what, so we could make the right decisions).  The end result is a quality system perfect for our home that has been well installed using quality products.  Highly Recommend!!!",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",ET Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_et-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
73668,Jeff,SA - 5092,SA,5092,True,2020-02-20,20 February 2020,5.0,,Sales done with professionalism and no hard sell for particular brand. We altered panel brand number of times and Darren was always accommodating.Install was prompt and professional. Panel guys even offered to replace cracked tiles on part of roof that was not near solar panel positions. Electrician Steve installed inverter neatly and took time after to explain clearly operation.Manager Thea took time over 1hr on phone with me to setup web monitoring after system connected. Very thorough.Would highly recommend this company as they believe in good old fashioned customer service so lacking in today's business world.,5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",REC,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
64309,Bill,SA - 5461,SA,5461,True,2019-05-22,22 May 2019,4.75,,"We are building a new house with solar. The builder was late getting onto the solar company. However, from there it has been a dream.Thea has been a tremendous help. not only in her friendly helpful manner on the phone but in the things she did for us.She sorted out all our connection and meter issues, she even called our electricity provider and gave them a rocket about their treatment of us!The tradie who came out to install the system was excellent. Efficient, informed and friendly.If you a bit uncertain about venturing into the world of solar: these are your guys! Tremendously helpful!",4.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,,,,,False,[],0,0
63487,Anon,SA - 5045,SA,5045,True,2019-04-30,30 April 2019,3.5,,"The biggest issue i have had with this company is the customer service. They make a big point of saying they will do lifetime monitoring or your system. They told me at least 10 times about how wonderful the lifetime monitoring would be. Then when I could not connect to the system (and i am tech savvy and even got someone in who knows more than me to help), they more or less said bad luck and washed their hands of it. THey didn't try to do anything to help other than tell me to read their manual. They also messed up something else quite serious by way of administration  (that is a story for another forum), and again have left me completely on my own with no solution to that problem. As a person who has installed 4 systems now and am making lots of savings for myself, my children and my tennants, i have lots of people ask me for recommendations. Sadly this company does not get mine. They are probably great if everything goes fine, but you are on your own if you have a problem. I do not doubt the quality of their work - just their customer service and their poor people skills!",3.0,5.0,5.0,1.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
45773,Johannes,SA - 5048,SA,5048,True,2018-11-26,26 November 2018,4.75,,"Besides their very pleasant and informative Sales manner. No pushing us into it. Ongoing service and follow up over the life of the Inverter. They can monitor our use, feedback tariff, etc. by being connected to our wifi. (We have had the system installed about 6 weeks and are still waiting for our provider to swap our meter so we can then be connected. Should be in next 2 weeks which they told us in writing)All your companies you recommended, were good too but were more expensive or lacked positive sales manner.Thanks Finn for your suggestions though. They were all mostly helpful.",4.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",Jinko Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
43191,Anon,SA - 5251,SA,5251,True,2018-01-19,19 January 2018,4.0,,,4.0,4.0,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
42863,Craig,SA - 5109,SA,5109,True,2018-01-12,12 January 2018,4.5,,,4.0,4.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
40316,Sophie,SA - 5045,SA,5045,True,2017-11-10,10 November 2017,4.75,,I would highly recommend Greener Housing Solutions to anyone. A big thank you to all the staff especially Darren and Thea,4.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
32466,Diane,SA - 5045,SA,5045,True,2016-11-24,24 November 2016,5.0,,"I really did my research and not just on the products but also on the companies that quoted me. Greener Housing Solutions had wonderful reviews unlike a lot of solar companies out there. Darren who is the owner of Greener Housing Solutions and also a designer of solar went through everything and explained it all step by step in a language that I understood. Thea in the office, well her customer service is the best I have seen. Both Darren and Thea (I think they are husband and wife) make an amazing team. My system has been going for a year now and I have not paid a bill sense the system and meter was installed. I have recommended 4 other friends of mine to them and I would highly recommend anyone who is wanting solar power to give them a call. Fifty stars from Me and Thank You Thank You Greener Housing Solutions",5.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
