review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
118167,Tanya,NSW - 2641,NSW,2641,True,2024-01-08,08 January 2024,5.0,,"The whole process was friendly, clear, efficient and professional.Would highly reccomend",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",HT-SAAE,Sungrow,,,3.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_shanghai-aerospace-automobile-electromechanical.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
117945,Keith,VIC - 3698,VIC,3698,True,2023-12-27,27 December 2023,4.5,,"I wanted a good price for upgrading our solar from 6.7kW to 9.9kW. I had many discussions with the supplier and eventually the price was acceptable as he was able to quote some superseded panels he had in stock.The installers were punctual, polite and worked longer than I expected to install 3.1kW of panels, I think they had a problem with the Enphase software!My only concern was that the installer did a roof penetration on our house to connect, when, as the panels were being installed on a separate carport, I assumed that the connection would be directly into the external wiring.However, I did not discuss this with the installer upfront and my assumption was obviously wrong!!",5.0,4.0,4.0,5.0,3kW,"$4,000 to $6,000",Hyundai Solar,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
117785,Marie,NSW - 2644,NSW,2644,True,2023-12-20,20 December 2023,5.0,,Since my  initial phone conversation with Danny I know I was in good hands.  Danny went over and above to provide a excellent system at a fantastic price.  Installation was super quick at a time that was convenient for us and our builder.,5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
116600,Adrian,NSW - 2640,NSW,2640,True,2023-11-15,15 November 2023,5.0,,All interactions were positive and my initial questions were answered without any problems.,5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
116529,Robert,NSW - 2640,NSW,2640,True,2023-11-13,13 November 2023,4.5,,Salesman came around and described new installation in jargon understood by the customer. Pointed out deficiency in current system. Once quote was accepted was only a short time before date for installation. Finished in one day. Tidy finish. One problem sorted promptly.,4.0,4.0,5.0,5.0,3.3kW,,Jinko Solar,Enphase,Tesla Powerwall 2,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
116206,Gavin,NSW - 2642,NSW,2642,True,2023-11-03,03 November 2023,4.0,,"Quoting process was goodThe installation was a big day, clean up after, all the staff were polite and friendlyOrganise the grid connection and with a grid over power issue",4.0,4.0,4.0,4.0,15kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
115930,John,NSW - 2644,NSW,2644,True,2023-10-26,26 October 2023,5.0,,The service was excellent. Every person involved was very professional and very helpful with any questions we had.,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112431,Carm,NSW - 2646,NSW,2646,True,2023-07-18,18 July 2023,5.0,,"Bree was excellent, clear, and direct, and she followed up efficiently. She answered questions patiently and honestly. The boys who did the installation were perfect. I'm really happy with the end result and with using it. I was really happy using Finn's solar quoting service and the recommended installers, it made the decisions easy.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112368,Kai,NSW - 2640,NSW,2640,True,2023-07-15,15 July 2023,5.0,,Every thing from start to finish has been at the highest quality we are very happy.,5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
110335,DIANNE,VIC - 3690,VIC,3690,True,2023-05-09,09 May 2023,5.0,,"Sale & quote process we could not be happier with as Bree is so happy to do as much as she can.  Wonderful person.Installation went extremely well & we found the workers to be really polite, tidy & turned up early for the installation.Customer service with the organisation of this has been exellent.Overall we are extremely happy and we are more than happy to recommend Greenhouse Solar to anyone.  A very good experience",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
