review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
31568,Brenda,SA - 5109,SA,5109,True,2016-08-31,31 August 2016,4.25,,,4.0,4.0,4.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
30689,Leigh,SA - 5032,SA,5032,True,2016-06-07,07 June 2016,4.0,,2 slight hiccups with SA Pwr which delayed operation be 2 weeks approx but all good now,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
30679,Nathan,SA - 5073,SA,5073,True,2016-06-07,07 June 2016,4.33,,"Unfortunately only 1 of the 3 quotes came within a month, with one other making contact making contact but not following up & the last making contact much later.  Ultimately i still used the site rankings to contact solarlife who were great.  the service from solarquotes in the system & answering my queries directly was outstanding",4.0,4.0,0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
27720,Frank,SA - 5070,SA,5070,True,2016-05-29,29 May 2016,4.0,,"Prompt, attentive service, readily available to discuss options and changes. Good advice about battery systems - we decided to wait based on their advice, but have installed 4kw system instead of 3kw (which would have met our current needs) so that we will have plenty of capacity to charge batteries when we install them down the track. Installer handled all the installation activities and liaison with power suppliers for meter replacement.",4.0,4.0,4.0,4.0,4kW,"$3,000 to $6,000",REC,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
27576,Janet,SA - 5086,SA,5086,True,2016-05-20,20 May 2016,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",REC,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
29591,Jenny,SA - 5050,SA,5050,True,2016-02-29,29 February 2016,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
29057,Teresa,SA - 5045,SA,5045,True,2016-01-14,14 January 2016,5.0,,Very friendly and efficient team of installers,5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
27897,Suan,SA - 5023,SA,5023,True,2015-10-09,09 October 2015,4.25,,The company was prompt and efficient. A joy to work with.,4.0,4.0,4.0,5.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
25749,Keith,SA - 5158,SA,5158,True,2015-04-02,02 April 2015,5.0,,very efficeient clean and tidy very happy customers,5.0,5.0,5.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
25457,Kevin,SA - 5049,SA,5049,True,2015-03-07,07 March 2015,5.0,,This system has been operational for just over 3 months. The install was great no worries and the system has been running without any problems. The average daily output is about 20% over the expected from the figures Matthew provided. Greenlife and Matthew Devitt are great options for your solar feed in system.,5.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
