review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
126431,Dewi,QLD - 4556,QLD,4556,True,2025-07-27,27 July 2025,4.75,,Greensure made the process effortless. Installation team did a great job with the set up. Very pleased.,5.0,4.0,5.0,5.0,20kW,"$15,000 to $20,000",Jinko Solar,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
128888,Steven,QLD - 4157,QLD,4157,True,2024-12-11,11 December 2024,5.0,,Sales person was very knowledgable and went through everything. Installation went flawlessly and on time.,5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
117765,David,QLD - 4305,QLD,4305,True,2023-12-20,20 December 2023,4.25,,"Greensure were great they got back to me in a timely manner, and were always fast to answer any questions I had. The installer also did a great job everything looks and works great.",4.0,4.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
115422,Peter,QLD - 4507,QLD,4507,True,2023-10-11,11 October 2023,4.0,,All aspects of quote and installation were good.  Would recommend Greensure for their price and professional installation.,4.0,4.0,4.0,4.0,8kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
114641,Ian,QLD - 4300,QLD,4300,True,2023-09-19,19 September 2023,3.0,,The quotation process was quite efficient and the sales person very helpful but once we accepted the quote all went quiet for a while.We were eventually given an install date but this was rescheduled twice at short notice.The installation itself is neat and tidy but as yet incomplete as the installer did not have the monitoring smart meter with him.My only complaint would be that they failed to clean up on the roof after the installation.,3.0,4.0,3.0,2.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
113234,Sally,QLD - 4306,QLD,4306,True,2023-08-09,09 August 2023,5.0,,We found the process easy and efficient as everything was explained and the schedule was on time.Installation guys were punctual and polite. Explained everything perfectly.Customer service is amazing as he's very friendly and helpful.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,I don't know,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
112609,Simon,QLD - 4510,QLD,4510,True,2023-07-24,24 July 2023,5.0,,"Look No Further, my wife and I spoke with and had meetings with over half a dozen solar installers and found Greensure to be the best value, customer experience and honest. It's not always the big guys you can trust as their costs for the same products was double and they were very pushy. Ash was fantastic, honest and explained everything so we could easily understand.Thank you Team we couldn't be any happier.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,SUNGROW (Other),,5.0,5.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
112488,Gaele,QLD - 4306,QLD,4306,True,2023-07-19,19 July 2023,5.0,,"We could not be happier with Greensure,they were very professional from the start of the quote to installation, they also follow up to make sure everything is going well.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",,,,,,False,[],0,0
112467,Alex,QLD - 4300,QLD,4300,True,2023-07-19,19 July 2023,4.75,,"Jeet was great during the sales process, answering any questions I had and creating a quote based on my specific needs. The installation was incredibly easy, I barely noticed it was happening until it was done. Would definitely recommend Greensure for anyone thinking of going solar",5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Huawei,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png']",0,0
112440,Peter,QLD - 4306,QLD,4306,True,2023-07-18,18 July 2023,4.75,,Generally a very positive experience throughout after a previous poor experience with another provider. Jeet was extremely helpful and professional throughout. The installation proceeded seamlessly. Very happy to recommend them to other prospective buyers.,4.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
105560,Tony,QLD - 4503,QLD,4503,True,2022-11-21,21 November 2022,1.0,,"I accepted a quote from Greensure Solar, then without any advise a sub contractor arrived at my house to do some work in preparation for the three phase change over, at this time they also removed the Tariff system for my hot water.  They then removed my current solar panels from the roof.  It has been 6 months since I accepted the quote and 4 months since they removed my previous system, I am still waiting for the 3 phase upgrade to be completed and the solar system to be installed.  Currently they are not answer phone or responding to email messages when I try to ascertain what is going on.  During this wait time, I did receive an email from Greensure requesting me to provide a date for the solar installation.  I advised I would like to provide one, however the 3 phase upgrade has still not been completed.  This appeared to be a surprise to Greensure as they did not know this.  They seem to sub contract out all jobs and it appears that they do not follow up on this.  They have offered currently a total of $500 compensation due to the extensive delays and issues during this process, however, I do not think that I will ever see this compensation or any completed work ie 3 phase upgrade or solar panels from this company.",1.0,,0,1.0,10kW,"$10,000 to $12,500",,Fronius,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
91778,Jim,QLD - 4507,QLD,4507,True,2022-03-22,22 March 2022,5.0,,"The solar company met all our requirements.They came when they said for appointments, and installation, and all individuals were pleasant and happy, and worked efficiently.They listened to our needs and expectations.It all happened within the time frames given.They attended to all the necessary paperwork with our energy supplier and other entities.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Huawei,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png']",0,0
98219,Pranav,QLD - 4110,QLD,4110,True,2022-03-02,02 March 2022,5.0,,"Excellent experience from the initial quote through to installation. Greensure solar answered all my questions which made my decision to choose Greensure solar easy. Communication through the whole process is good as well as post installation follow up. The system has been operational for over three months and its permanent has exceed my expectation.Highly recommend Greensure Solar for the excellent service. And also to shout out for the installers who made a great effort hiding cables, work under terribly hot conditions and did an amazing job throughout! Thanks Greensure Solar team.",5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",LONGi Solar,Solis,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
88595,Ngatere,QLD - 4506,QLD,4506,True,2021-04-08,08 April 2021,5.0,,Greensure customer service goes above and beyond. Ash came to our house and answered all our questions and concerns. Got a better price with someone else which they quickly matched. Currently awaiting installation due to rain but can't wait to start our greener future.,5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
86621,Jason,QLD - 4305,QLD,4305,True,2021-02-09,09 February 2021,5.0,,"From initial quote to final installation all questions I could of asked were answered promptly, installation was on time and very quick.Ash and the team at Greensure exceeded my expectations and were a pleasure to deal with.",5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",Trina,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
