review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139778,Alexander,NSW - 2112,NSW,2112,True,2025-11-12,12 November 2025,4.0,,So far I have only paid a 10% deposit. The design engineer made every effort to improve the number and distribution of solar panels on my difficult roof style to achieve an adequate daily power output even in winter. I wanted solar panels mainly to charge my ev and heat my water. The system does not include a battery.,4.0,4.0,4.0,4.0,7kW,,REC,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_fronius.png']",0,0
128090,Mal,NSW - 2117,NSW,2117,True,2025-10-10,10 October 2025,5.0,,"We had a 15Kw system featuring Aiko panels and Enphase inverters installed by Paul and the team at Guwing Green.Paul gave us detailed and thorough responses to all the questions we had when deciding on what components to useand he was happy to update the detailed proposal on each iteration of our plan.The installation process was pain free as Scott, Josh, and the team made the work look easy and the whole thingwas completed well within the day.I'm delighted with the system and my favourite pastime now is watching the system perform via the Enphase app.",5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",Aiko Solar,Enphase,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
132566,John,NSW - 2045,NSW,2045,True,2025-04-14,14 April 2025,4.75,,"Good meeting with Paul who then generated his quote.Powerwall installed then a couple of weeks later three strings of solar panels installed. Installers worked from early in the morning until after dark.Installers showed us how to connect Powerwall to its app. When panels were added, links to app automatically were included in app.",4.0,5.0,5.0,5.0,10kW,"More than $20,000",REC,,Tesla Powerwall 3,5.0,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
131412,Jacqueline,NSW - 2046,NSW,2046,True,2025-03-10,10 March 2025,5.0,,The sale quoting process by Paul was extremely helpful in choosing the right product and extremely professional.  The panels were delivered by a very helpful person on time and who could not have been more accommodating in where the panels were placed on my propertyThe installation was a very smooth process by the team and they were all very polite and knowledgeable in their tradeThe area was left very clean and Paul organised the grid connection with me and showed me how to use the app.I would highly recommend Guwing Green to any prospective future cluent,5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",,,,,,,False,[],0,0
130268,Greg,NSW - 2121,NSW,2121,True,2025-01-29,29 January 2025,4.5,,"Quoting - well explained & promptInstallation - 2 days due to weather, punctuation & tidyCustomer Service- very polite, stepped through monitoring app",4.0,5.0,4.0,5.0,8kW,"$10,000 to $12,500",Aiko Solar,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
126621,Kevin,NSW - 2110,NSW,2110,True,2024-10-05,05 October 2024,5.0,,"Paul was engaging and knowledgeable.  He made suggestions and recommendations, then sized a system to meet our initial budget that could be expanded in future.  On installation date the team was prompt, tidy and took pride in their work - for example they ran the power cables inside the brick cavity wall to avoid exposed conduits on the outside wall.  Every cable was neatly tied off, and the site was left perfectly clean.  They connected the system, showed us how to use the wifi app to monitor performance, and emailed an operations manual and certification.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Jinko Solar,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
125001,Nina,NSW - 2045,NSW,2045,True,2024-08-14,14 August 2024,5.0,,"Paul was responsive to my needs and questions throughout, provided a competitive quote with no surprise add on costs, understood our local conservation area solar placement restrictions, offered a timely installation and delivered with a smile.I highly recommend Guwing Green for solar installation.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,,,,,,False,[],0,0
113700,Paul,NSW - 2136,NSW,2136,True,2024-07-01,01 July 2024,5.0,,Paul from Guwing Green was very helpful during quoting process.He is very professional and great to deal with.Install was excellent and on time advised.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
117767,Ian,NSW - 2046,NSW,2046,True,2023-12-20,20 December 2023,5.0,,"Paul did the design, attended the installation and explained the operation/monitoring of the system. Paul was very professional and friendly as well as being very helpful and patient with any questions from the initial contact to the conclusion of the project. The installers were polite, punctual and worked very hard. Admin was also excellent with an Owner's manual being provided within two hours of completion of the installation. Very happy with Guwing Green.",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
114873,Isaac,NSW - 2070,NSW,2070,True,2023-09-26,26 September 2023,5.0,,"When looking for Solar Installers Guwing Green stood out because of their deep understanding of the solar ecosystem. The process was vertically integrated, with the same person designing, quoting, and installing the system.While I was collecting quotes, I appreciated not being up-sold at every opportunity; Guwing Green provided sound technical advice, tailored to my specific needs, instead of pushing unnecessary products. Talking to an engineer rather than a salesperson was very refreshing! I found Guwing Green put more thought into the solar setup than other companies I was speaking to, suggesting tilt-frames for the flat section of roof to improve panel efficiency & self-cleaning.During the site inspection and installation, Guwing Green was punctual and professional. The solar installation looks good, and the operation and monitoring of the system were explained well. They were quick to respond to any questions I had throughout the process. They managed a tricky install around existing skylights without issue.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Hanwha Q CELLS,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d6db7f811947882a8b6ef39897a629040.jpg']",0,0
