review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
125444,Denise,NSW - 2232,NSW,2232,True,2024-08-28,28 August 2024,1.0,,"Harvey Norman installed our solar hot water system quite a few years ago when the government were giving rebates. It wasn't that cheap even with the rebate as the prices were inflated because of that rebate. Once it wasn't being offered the prices dropped dramatically but we weren't to know that at the time. We also weren't to know that it was never properly installed.We did notice there was no difference in our electricity bills but for years just accepted that until recently we really started querying why our bill was always so much higher than other friends we spoke to. We mentioned about having solar hot water and were told to check the solar control near our meter box. What control?? We didn't have this thing, just a circuit breaker makes solar off peak. Really strange as we don't have off peak. We have an electrician coming around to inspect this installation but it appears Harvey Norman never correctly installed our system and one of the reasons we have such high power bills is the booster constantly heating the water, not the solar. Complaint to HN has been met with silence after filling in the form they asked us to.",1.0,1.0,1.0,1.0,1.5kW,"$2,000 to $4,000",,,,,,False,[],0,0
107698,Udara,ACT - 2611,ACT,2611,True,2023-01-30,30 January 2023,2.0,,"Advised we are moving in to the new house and solar system can be installed in August 2022 and paid the balance amount required. Now we are in late January 2023, no confirmed installation date yet.",3.0,,0,1.0,5kW,"$4,000 to $6,000",,,,,,False,[],0,0
50104,Michael,NSW - 2539,NSW,2539,True,2018-07-17,17 July 2018,3.75,,"Took months to get the system installed, surprised to have inverter problems.",4.0,4.0,4.0,3.0,2kW,"$3,000 to $6,000",,Oelmaier Industrieelektronik GmbH,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_oelmaier-industrieelektronik-gmbh.png'],0,0
17320,Peter,ACT - 2913,ACT,2913,True,2013-01-21,21 January 2013,4.5,,Service second to none. High quality detailed quotes with alternatives. Willing to negotiate better deal. Good quality latest inverter and panels. Installers willing to stop and answer questions. Did not leave until I was familiar with system and turning it off in emergency. Always answered phone. Familiar with my job. Completely on the ball. Complete manual of system delivered after install with all certificates and approvals from engineers and electrician. Installing electrician totally familiar with different rules and regs in Canberra.,4.0,4.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
16835,Rachel,ACT - 2902,ACT,2902,True,2012-12-17,17 December 2012,4.25,,"Overall, I found the companies that you offered were all good except one company would not come out and physically give a quotation and we knew that a board upgrade was required even though they thought otherwise.I would still definitely use your company to get quotations but because of the high price of the solar system the 3 year interest free terms was more beneficial to us.",3.0,4.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
16411,Robert,ACT - 2614,ACT,2614,True,2012-11-07,07 November 2012,4.0,,"Harvey Norman Commercial run a very efficient operation so they were able to do the installation well before the end of the 2010-11 financial year, which was an important factor as I wanted to get it done before the government decided to reduce the rebate again. Also, none of the suppliers nominated by SolarQuotes provided quotes. (Andrew Towndrow of HTS did contact me promptly but advised he would not be competitive with Harvey Norman, being into high-end next-generation technology. EcoKinetics did not quote, but it turned out they were subcontracted by Harvey Norman Commercial to do the wiring diagram for the grid connection application to ActewAGL.)My only quibble with Harvey Norman is that they didn't provide a lot in the way of warranty information until six months after the installation!",4.0,4.0,4.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
8424,Geoff.,NSW - 2753,NSW,2753,True,2012-09-23,23 September 2012,3.75,,There are several things that I found were important.The main thing was the price paid for the RECs.Another is the quality of the inverter.The last was the customer service.,3.0,4.0,4.0,4.0,1.5kW,Under $3000,Tianwei New Energy (Chengdu) PV Module,Oelmaier Industrieelektronik GmbH,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_oelmaier-industrieelektronik-gmbh.png'],0,0
7397,Benny,NSW - 2126,NSW,2126,True,2012-09-12,12 September 2012,4.0,,"I did initially select Mark Group from your recommendation of suppliers. However, after putting up with Mark Groups pathetic service I gave up. I emailed them twice with no response. I called, and a guy called me back, arranged a meeting at my place and then did a no show. I called again, got transferred to another guy who promised to get back to me and then he didn't. This would have to be the most incompetent comapny I have had to deal with in the past few years. God help me if I had actually got as far as the installation as that would have also no doubt been a bigger disaster. Harvey Norman on the other hand responded immediately, gave me a great price of $1899 and have been in contact ever since.",4.0,4.0,4.0,4.0,1.5kW,Under $3000,Tianwei New Energy Holdings (Other),Oelmaier Industrieelektronik GmbH,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_oelmaier-industrieelektronik-gmbh.png'],0,0
7308,Dennis,NSW - 2445,NSW,2445,True,2012-09-11,11 September 2012,4.5,,,4.0,4.0,5.0,5.0,1.5kW,Under $3000,Tianwei New Energy (Chengdu) PV Module,Oelmaier Industrieelektronik GmbH,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_oelmaier-industrieelektronik-gmbh.png'],0,0
2666,Dianne,NSW - 2539,NSW,2539,True,2012-09-11,11 September 2012,4.33,,I am very  happy with the service  I have received regarding initial selection of tpye of solar I needsalesman very polite and helpful  As I have not yet received and installed the panels I can't commenton the installation.  I was given 2 years interest free for payment.  As I am a pensioner this was very agreeable to me in making it more appealing.Integral are behind in installation because of the volume of purchases.,4.0,4.0,0,5.0,2kW,"$6,000 to $10,000",ecokes (Other),Oelmaier Industrieelektronik GmbH,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_oelmaier-industrieelektronik-gmbh.png'],0,0
