review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
96022,Claudia,NSW - 2481,NSW,2481,True,2021-12-08,08 December 2021,5.0,,"You pay a bit more, but have no hassles later. Very responsive, know their stuff, know the weaknesses of cheap systems and offer top quality. The right company if you want your product to last and be reliable.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,,,,,False,[],0,0
95664,Paul,NSW - 2480,NSW,2480,True,2021-11-28,28 November 2021,4.75,,The  sales and quoting process was very efficient. .The installation work was very neat and in a professional manner. The customer service was good . They helped install the wifi connection on my phone and informed me that I had to let my  electicity provider know that I had solar on.,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,Fimer,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
94223,Trish,NSW - 2477,NSW,2477,True,2021-10-10,10 October 2021,4.5,,The entire process was simple. The installers were polite and helpful.,4.0,4.0,5.0,5.0,7kW,"$6,000 to $8,000",Hyundai Solar,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png'],0,0
93829,Heinz,NSW - 2481,NSW,2481,True,2021-09-27,27 September 2021,5.0,,This review is for Solaredge inverters.,5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",,SolarEdge,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
82285,Denis,NSW - 2477,NSW,2477,True,2020-10-07,07 October 2020,4.75,,Heinz Solar from Byron Bay NSW provided me with everything I asked for in the most efficient manner,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Seraphim,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
80117,Zane,NSW - 2482,NSW,2482,True,2020-08-07,07 August 2020,5.0,,"The quoting was done promptly and a number of options were provided. These options were modified as we discussed the system design.The installation was completed in a very short time frame and the workmanship was of a high standard.Unfortunately I wasn't around at the time of the install, so I couldn't ask some of the system specific questions related to my particular site and these details have been a bit difficult to follow up with afterwards.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Seraphim,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
78972,Henry,NSW - 2483,NSW,2483,True,2020-07-13,13 July 2020,5.0,,"Heinz solar has proven to be well run, efficient, up to date with the world's best equipment and quality staff that made for an enjoyable experience the whole way through start to finish!Regards, Henry.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Risun Technology,Fimer,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
69043,Jim,NSW - 2480,NSW,2480,True,2020-06-07,07 June 2020,5.0,,"Heinz had an efficient, pleasant installation crew.They supplied a high quality, well installed system.",5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",LG,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
75534,Jeremy,NSW - 2482,NSW,2482,True,2020-04-14,14 April 2020,5.0,,"I am very happy with Heinz Solar.  They came out and quoted quickly, they were competitive with their pricing and the installation was carried out in a very professional manner. The guys were all really nice people (all from the Byron area) and they didn't use any sub-contractors aside from the legend who dug the trench for our cable run.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",SunPower,Solaredge,LG Chem,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png']",0,0
74502,Michael,NSW - 2481,NSW,2481,True,2020-03-16,16 March 2020,5.0,,"I am very happy with my solar installation through all steps of the process to quotation, installation and follow up.The sales rep, Liam, was such a nice fellow and extremely knowledgeable and professional. The installation team were also a bunch of nice guys and follow up has been great.I can only say youâ€™d be hard pressed to find a fairer company to deal with. Great product advice and service.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",SunPower,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
72485,Steven,NSW - 2478,NSW,2478,True,2020-01-16,16 January 2020,5.0,,"Great company to deal with. Heinz and his boys were very friendly, polit and professional. It was a pleasure to have the do my install.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
72413,Sinead,NSW - 2480,NSW,2480,True,2020-01-14,14 January 2020,4.75,,"Felt confident with choosing Heinz. After getting another cheaper quote they were able to drop their price a bit. What they installed was slightly different to what we were quoted due the panels being ceased in production. Havenâ€™t actually used the system yet as waiting for the smart metre but it looks good in the roof, excellent installation team, very professional",5.0,5.0,4.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
69836,Kate,NSW - 2480,NSW,2480,True,2019-10-31,31 October 2019,5.0,,Liam was great to deal with. The installation process easy and straightforward. Highly recommend Heinz Solar,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fimer,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
69808,Peter,NSW - 2478,NSW,2478,True,2019-10-30,30 October 2019,5.0,,"From the start to finish, Heinz Solar did a great job. The explanation from Heinz of the system, what we were getting, quality and price were all very good. The installation was carried out professionally, on time and all has been working as expected now for over 4 months. The whole system was ready to go from day one. All I had to do was change our electricity provider to take advantage of a good deal on the feed in tariff. I can fully recommend Heinz Solar to any future customers",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Suntech,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
68636,Giulia,NSW - 2481,NSW,2481,True,2019-09-23,23 September 2019,5.0,,"My wife and I were excited yet hesitant to when it came to buying solar, luckily we were visited by a friendly, local and professional sales manager from Heinz Solar. Within the week we had signed the contract for our new 6.6kW system and three weeks later our system was installed by the Heinz crew - who were very respectful and proficient.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Suntech,Fimer,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
68598,Toby,NSW - 2481,NSW,2481,True,2019-09-20,20 September 2019,5.0,,Easy to deal with during system specification and quoting. Clear and very knowledgeable. Great installation team who really took the time to get the job done right. Helpful in every aspect. I didnâ€™t have to lift a finger everything got connected and running really smoothly.,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Qcells,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
67758,Gail,NSW - 2479,NSW,2479,True,2019-08-25,25 August 2019,5.0,,"I was thrilled with the whole process and  have already completed this survey, Gail",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,False,[],0,0
67248,Luen,NSW - 2481,NSW,2481,True,2019-08-12,12 August 2019,5.0,,Gave us prompt service. Staff was efficient and courteous and knowledgeable. Came for first clean and did an excellent job.,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Risen,Autarco pty ltd,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_autarco-pty-ltd.png']",0,0
63560,Mick,NSW - 2480,NSW,2480,True,2019-05-02,02 May 2019,4.5,,Very helpful regards information.,5.0,4.0,5.0,4.0,1kW,"$3,000 to $6,000",,,,,,False,[],0,0
63129,Tony,NSW - 2463,NSW,2463,True,2019-04-23,23 April 2019,5.0,,"Heinz solor were very professional, quick to install, very neat and tidy, and a great company to deal with, highly recommend.",5.0,,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
59276,Peter,NSW - 2463,NSW,2463,True,2019-01-30,30 January 2019,4.0,,"Very happy with the sales, service and installation from Hienz Solar, very pleasant company to deal with.Diappointed with the serivice from Origin Energy, promised tarif meter within 30 days, now 40 days and still waiting.",4.0,4.0,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
