review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
123446,Pieter,VIC - 3909,VIC,3909,True,2024-06-28,28 June 2024,2.5,,"Recommend Hello Solar?Taylor Swift would put it this way.  “Never, ever, ever, like ever!”I will never purchase from them again and I will never recommended them.So here is the summary,• Cancelled install, no advice 1st attempt.  Cost me time and money and heaps of frustration.• Panels supplied were not the panels quoted and not much option but to proceed with a lesser known product.• Install contractor advised replacement of backing board in meter box had to be done at my cost otherwise it would not be approved.  Cost me an extra $1900.00• Forgot to install the PV point.• Supplied and installed obsolete model of a Solar Analytics metering unit.• I had to organise an electrician to fit the PV point and then come back to Hello Solar to get inverter support to activate the feature.  My cost for the supply and fitment of the PV.• Breached contract time frame by a large margin, no apology, nada.The situation.I was living in Melbourne and the tenants were moving out of our rental in Lakes Entrance so we wanted to install the solar system at the Lakes property and take up residence.I had contacted Hello Solar and what I really liked was the sales woman was really super.  She asked questions about my choices of hardware and offered options that might make it lower in cost without performance loss.  To my way of thinking that’s a duty of customer care to make sure I was happy with the selections.Hello Solar stole the order saving me a lot.  Top marks for the sales lady.  She was superb.It was from this point on that it fell apart.So install day comes and I have to be on-site for them to start work.  That meant, a day off work, a round trip of 700 kms and 9 hours driving.  I arrived early and waited, and waited, and had to ring them to ask what was going on.  Only to be told “Oh sorry, we could not get the Fronius Gen 24 inverter you wanted, so we have to reschedule.”  No call, no advise in advance, no apology.   Oh my!  Not a happy camper.As the 2nd install is about to happen,  “Sorry we cant supply the 21 Jinko panels we quoted you.  Would you accept a different panel?  Seriously … what options does one have?2nd Install day ... and the contractor advised me, he can’t put some of the panels on the garage roof as quoted because the roof joists are too widely spaced.  Asked if I wanted to downsize the system or reschedule?  No way was I going to sacrifice panels so re-schedule it was and I got a builder to put extra roof joists in place to support the 3rd install attempt.  That is not really a Hello Solar issue, just the inherent danger of quotes with no site inspection in the first instance.  I was also advised it would not be approved with the meter box backing board and needed to get a new Bakelite meter board installed.  That was an extra $1,200 for the electrician and requires a “truck visit’ by Ausnet at a cost of $700 billed via the electricity retailer I was with.  All of this was at my cost.3rd install actually happened.  They struggled to setup the Gen24 inverter and they failed to fit the PV point.  I helped them set up the inverter by using my phone as a hotspot and they were able to complete it.They also installed a Solar Analytics (3G)  unit in the meter box.  I found out later that it was obsolete by a couple of years at the time of install.  I was notified by Solar Analytics that I had to change it to a 4G unit when Telstra shut down 3G services.When it came to certificates and approvals I was advised that the installer was wrong and I could have had it approved without the meter box backing board replacement.  I spent $1,900 on false info by their contractor.After I got the sparky to supply and install a PV point I then had to go back to Hello Solar tech support to walk me through the activation of the PV point.  It was a bit of a painful to and fro but, credit where credit is due, the technician  was fantastic.  He was helpful, time and time again.  I have great praise for just 2 employees, being the initial sales lady and the young man who helped wrap it all up.Hello Solar accounts department made me feel like I was in breach of contract 30 seconds after signing a contract sending me bills saying I was now overdue.The completed install was way overdue and Hello Solar were in breach of contract.  No apology, just running away as fast as they could with exception of the tech support person.My best advise … use anyone but Hello Solar.",4.0,4.0,1.0,1.0,8kW,"$4,000 to $6,000",Astronergy,Fronius,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_astronergy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
114696,John,VIC - 3875,VIC,3875,True,2023-09-20,20 September 2023,1.25,,The sales quoting was lacking in detail especially when there was items that we could have done prior to the install at a quarter of the price. $500 for a bollard fitted yet we got one including bolts for $60.The installation was very poor especially with no regards to OH&S. Battery nearly fell off the wall and failed the electrical inspection. On returning still the battery is falling and left several wires in the meter box loose and we still don’t have a certificate for the installation.The electrician was rude and swearing a lot and would never recommend him.This was for a Battery only not panel.,1.0,2.0,1.0,1.0,5kW,"$4,000 to $6,000",,,SolaX Power,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png'],0,0
103437,Russell,VIC - 3750,VIC,3750,True,2023-07-05,05 July 2023,4.25,,"Process was good and communication wassecond to none ,overall a good experience and I would recommend them",4.0,4.0,4.0,5.0,10kW,"$4,000 to $6,000",Jinko Solar,I don't know,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
109555,Rob,QLD - 4121,QLD,4121,True,2023-04-10,10 April 2023,4.0,,Quoting process was clear and fast. Install was goodDidn’t feel great about change of product on day on install.,5.0,3.0,4.0,4.0,13kW,"$8,000 to $10,000",LONGi Solar,Solplanet,,,2.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solplanet.png']",0,0
106924,Murtaza,VIC - 3047,VIC,3047,True,2022-12-31,31 December 2022,4.0,,"Quoting process was good, but no samples or actual information, and, now, after installation, my 6.6Kw shows less than 5Kw. Would have installed a larger system if I knew this beforehand. Very disappointed.",4.0,3.0,5.0,4.0,6.6kW,"$2,000 to $4,000",Leapton,SAJ,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_leapton.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png']",0,0
105168,Subir Kumar,VIC - 3338,VIC,3338,True,2022-11-08,08 November 2022,1.0,,"This company will give you quote whatever material you select with competitive price but this is trap. After your application is approved by Solar Vic, they will try to change all materials with an excuse that materials are not in stock. Even they will try to get 1000$ extra with a fake argument that price has been increased a lot by the time your application has been approved. I am suffering a lot for their unprofessional dealing because Solar Vic is taking long time to process if first application is withdrawn.",1.0,1.0,1.0,1.0,6.6kW,,,,,,,,False,[],0,0
103621,Beris,VIC - 3984,VIC,3984,True,2022-09-14,14 September 2022,5.0,,Very easy and punctual install. Great customer service. Answered any questions and kept me up to date on install and follow up. Good price too.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,I don't know,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
103530,Victor,VIC - 3104,VIC,3104,True,2022-09-12,12 September 2022,4.0,,Quote was ok. Installation on time. Customer services is ok. Grid connection done 2 days after installation,4.0,4.0,4.0,4.0,6kW,"$4,000 to $6,000",JA Solar,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
102822,Jeff,VIC - 3550,VIC,3550,True,2022-08-21,21 August 2022,5.0,,"I have now installed three systems with them. 6kw, 8kw, and 10kw systems were all installed without problems. The company is always professional, flexible with good communication. You can speak directly with them or do most correspondence through email. Payments were no problems. Sales guys were great - just try to get the right system for you. All three systems were connected to the grid without problems and are happily eating all those sun rays!!!!",5.0,5.0,5.0,5.0,10kW,"$2,000 to $4,000",LONGi Solar,SAJ,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png']",0,0
102334,Lisa,VIC - 3340,VIC,3340,True,2022-08-09,09 August 2022,4.0,,Quote and installation excellentRefuses to accept evidence of payment and harasses and demands daily for payment. Won’t further connection processHave referred to ombudsman,5.0,5.0,5.0,1.0,6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
98008,Chris,VIC - 3644,VIC,3644,True,2022-02-21,21 February 2022,5.0,,This was Vic rebate system,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,XIAMEN KEHUA HENGSHENG CO LTD,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_xiamen-kehua-hengsheng-co-ltd.png'],0,0
94947,Robert,NSW - 2113,NSW,2113,True,2021-11-05,05 November 2021,2.0,,"We had a good experience with the installation. However, being new to solar, and not doing any technical research, I relied on the advice of Hello Solar to install a 1 phase inverter on my 3 phase system.About 3 months after the installation, the inverter regularly switches off from the power board. I have tried to contact Hello Solar, as the system is still under warranty, but am not getting a reply.If there is no reply soon, I will have no other option but to make a formal complaint through the ombudsman, and pay an electrician at my own expense to investigate the fault. If the issue is the installation of a 1 phase inverter on a 3 phase system, I will be really upset with Hello Solar.But at the moment, I am leaving a low scoring review because of their really poor (non existent) after sales service.Avoid.",2.0,1.0,4.0,1.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sofar (Other),,4.0,1.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
94745,Ali,QLD - 4312,QLD,4312,True,2021-10-29,29 October 2021,1.0,,"0/10…DO NOT USE THIS COMPANY. WORST EXPERIENCE OF MY LIFE. These fools voided their contract with me when they sent their installer, who put the panels on the wrong roof without written consent or consulting myself or Hello Solar as stated in their contract as well as damaging my deck roof and frame and breaking my roof sprinkler system. These fools caused damaged my roof and deck costing over $5500 to repair.Hello Solar would have to be the worst in customer service management. They tell you one thing then do another and have no idea half the time what they’re doing. After a lengthy legal battle because Hello Solar refused to take responsibility for the voided contract and damage, these idiots finally paid the repairs to my home. I’ve been left with no solar for the good part of a year and it still remains to be reinstalled. Roof now repaired, but now I have to wait and see how long it takes these idiots to get the solar reconnected as they like to play games of ignoring customers. I regret ever choosing this company. Massive waste of time and money. Avoid at all cost.",1.0,1.0,1.0,1.0,6.6kW,"$2,000 to $4,000",,I don't know,,,,,True,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9ddd5d1efa7483fa72bbc620055c80943.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c779ee567fd80b24301b692a32d4afa84.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8155d47cd316a523378095f831196ed25.jpeg']",0,0
