review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140327,Shane,NSW - 2790,NSW,2790,True,2025-11-23,23 November 2025,5.0,,Rhys and his team were great. Communication was impressive and we felt like more than just a  customer.,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Trina,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
140006,Tom,NSW - 2773,NSW,2773,True,2025-11-16,16 November 2025,5.0,,Hobbs have been given competitive pricing and installed a quality system. They installed a 8kwh worth of panels and a 10kwh battery. They have been consultative and collaborative in picking the right system for me.Would recommend them for any of your electrical needs.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,,,,,,False,[],0,0
139974,Tom,NSW - 2782,NSW,2782,True,2025-11-15,15 November 2025,5.0,,"Hobbs were great, they communicated well, were very punctual. Customer service was excellent, quoting in person was appreciated and they organised the entire project from quoting, through installation and the grid connection, including Level 2 ASP (NSW).Hobbs also provided an upgrade of the meter and rewiring of the 3-phase meter and switchboard, including grid backup for blackout protection.No issues at all, I would recommend them. Also generalist electricians, which is handy and have used them before.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",Trina,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
139945,Jan,NSW - 2847,NSW,2847,True,2025-11-14,14 November 2025,5.0,,"The whole process with Hobbs Electrical was easy from start to finish. The sales team was happy to provide different options and answer questions and the installation crew were on time, fast and cleaned up every skerrick before leaving site. Highly recommended.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Trina,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
138683,Kaye,NSW - 2795,NSW,2795,True,2025-10-19,19 October 2025,4.5,,The whole job from start to finish went very smoothly and efficiently,4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
138117,B,NSW - 2773,NSW,2773,True,2025-10-03,03 October 2025,5.0,,"We had a 10kW solar panel system installed and the experience with Rhys and the Hobbs team were great.After the initial consultation we also had another one to address some changes and concerns. All our requests were accommadated and the planning discussion was professional and informative. The installation took just a day. They arrived on time and finished with a small demonstration and practical elements in late afternoon. Our installation (Enphase system) came with new switchboard, a smart meter and a mobile app to monitor the system and production in real time.So far, it's been 10 months since the install and we have seen great results and savings. Going solar was a great investment and it was good to choose a local, reputable installer like Hobbs.",5.0,5.0,5.0,5.0,9kW,"$12,500 to $15,000",Trina,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
137906,Ainsley,NSW - 2774,NSW,2774,True,2025-09-30,30 September 2025,4.75,,"The sales and quoting process with Hobbs Electrical was excellent. I received a very detailed and transparent quote that was tailored to my specific needs and goals. Rhys took the time to understand exactly what I wanted to achieve, including electrifying my home, removing gas, and installing a system that could generate revenue by exporting excess solar to the grid. He designed a system that met my day-to-day needs, gave me flexibility for the future, and included a heat pump hot water system so I could uninstall my gas water heater.The installation process was smooth and well organised. The installers were punctual, reliable, polite, and courteous throughout. They worked efficiently, kept the site tidy, and cleaned up thoroughly after the job was completed. Everything ran to schedule, and I was impressed by the level of professionalism shown across the team.The customer service has been outstanding both before and after the installation. I was fully briefed on the battery, inverter, and basic operating procedures, and they explained how any system faults would trigger an automatic alert to both their phones and mine. That gave me real peace of mind. They also handled the grid connection and paperwork for Commonwealth and NSW rebates, which made the process seamless and stress-free. Post-installation, I was reassured that if I ever have any questions or issues, I can call them directly. Hobbs are a well-known, reputable local company in the Blue Mountains, and I have confidence they will be there to support me well into the future. This post-installation support was one of the biggest determining factors for me, and it made the decision much easier.",4.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",Trina,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7a95773b1a7fb6b4af8493e2aca7ba240.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d8185f00a6007ffee727156d3c59608b1.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9dd6764448ac7461cae7b2547aa78f5e2.jpg']",0,0
137555,Mike,NSW - 2068,NSW,2068,True,2025-09-22,22 September 2025,5.0,,"Was a real pleasure dealing with the Hobbs Electrical team from start to finish. They went the extra mile to make the experience of selecting the right battery, upgrading my existing solar panels whilst providing a hassle free installation at my convenience. Their experience and detail in regards to the quality of the installation and follow up after the completion of works to explain the system and its operation was excellent. I would highly recommend them to anyone looking at a battery and/or solar installation.",5.0,5.0,5.0,5.0,30kW,"More than $20,000",Suntech,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
137370,Greg,NSW - 2790,NSW,2790,True,2025-09-17,17 September 2025,5.0,,"Hobbs electrical installed our solar panels and batteries, and the whole experience was fantastic. From the first email requesting quotes, Rhys kept in touch and arranged for Tom and his team to consult with us and complete the installation. They were efficient, professional, and courteous throughout. On the installation day, the team introduced themselves, worked smoothly, and left everything spotless. Tom even helped us set up the app, and we’re absolutely loving our new energy system. Thanks to Hobbs Electrical for such excellent service — highly recommended!",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Trina,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
137332,Elizabeth,NSW - 2795,NSW,2795,True,2025-09-16,16 September 2025,5.0,,"Everything from the beginning to the completion of installation was smooth, efficient, friendly and respectful.Hobbs Electrical take great pride in their work and leave behind an immaculate work site. This company also uses the best quality products.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sungrow,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png'],0,0
