review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139901,Stuart,TAS - 7007,TAS,7007,True,2025-11-13,13 November 2025,5.0,,"The process and communication was seamless from beginning to end.  Highly recommended.  My install was not straight forward, but the team accepted the challenge, came up with an innovative solution.  Brilliant!",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,Sigenergy,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png'],0,0
139310,Keith,TAS - 7053,TAS,7053,True,2025-11-02,02 November 2025,4.5,,"'I want energy' provided good and frank advice ... this was really appreciated. The sales/quoting process was hassle free.The installation went well noting we have a concrete tiled roof on an old house.  Polite, Tidy, and PunctualThe installer helped organise the grid connection after the install, and showed me how to use the cool 'iSolarCloud' app.",4.0,4.0,5.0,5.0,8kW,"$10,000 to $12,500",Aiko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
136881,Derek,TAS - 7109,TAS,7109,True,2025-09-06,06 September 2025,5.0,,"My install will happen in 5 weeks time.  Slower than Solar quotes expected based on the frequent requests for a review :)  The “delays” are all of my making.  But I am so excited by what is planned to be installed, and that I am working with a team who pride themselves in their integrity and knowledge.  My investment will be significantly bigger than I had first thought.  Inspired largely by the “smarts” and “future proofing” of the system that integrates with having a three phase supply to the property with a phase supplying each of the three main buildings.   Yes the design does mean adding eaves to increase the roof length of the building these panels are being installed on by 0.8 m to maximise panels without triggering special planning requirements.  But this is something easily done by me.   I’ve gone for the much bigger battery so that even if the sun is not shining sufficiently, I should never have to pay peak power costs.   And the system is grid ready for when Oz EV beaurocracy eventually “matures”.",5.0,5.0,5.0,5.0,more than 30kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136465,Ian,TAS - 7000,TAS,7000,True,2025-08-26,26 August 2025,4.75,,"Of the three quotes obtained through SolarQuotes, one was keen to install a basic system (fair enough; but we wanted a bit more), one was very good (and found the battery location we ended up using) but didn't include all the sundries in the quote, and one was a bit more expensive but seemed very thorough.The third was the one we went with: the somewhat non-euphoniously named I Want Energy.The salesman/designer (Ian) was excellent, right from the initial contact, through the initial proposal, on the site visit, through the modifications and onto the final specification.We were somewhat constrained in choice of components, as we have three phase, wanted a DC-coupled battery, wanted full blackout protection, and didn't like the vibes from Sigenergy. We have a complicated roof, so the panel layout was not simple. We could possibly have squeezed one more panel up there, but that would have meant a bigger inverter - something pointed out and advised against as uneconomic by Ian.Once things were under way, their Accounts and Admin person (Lynne) was startlingly efficient. She was submitting the paperwork for permits, work orders and loans as fast as I could deal with them. Nothing was missed. If only every company worked so well!There was then a bit of a delay, because *someone* had announced (the day after we got started!) there should be a rebate on batteries. So it took a little longer to get the installation booked in.When they did arrive, the installation crew was fantastic: very punctual and very courteous, and with clearly the correct attitude to safe working at heights (including lots of temporary roof anchors). They'd also scheduled two days, which was what it took. And they were keen to  investigate a really neat solution I thought I'd found for the cable run, even though it turned out to be not possible. The final installation was exceptionally neat. Of course we were paying for this, but the professionalism was worth it.And then there was another delay, as The Rebate Rules meant we couldn't commission the system until 1 July. But we were booked in for early that week ... until the actual more onerous commissioning rules were published and (as far as I can tell) the company found themselves overcommitted. It was during this period communication from the company was not as good as I'd hoped.Even though there were some complications around the grid connection which I needed some assurance about, I was really struggling to get any response from them. I get it: they (and by implication us) had gambled on what the Rebate Rules would be, and were then overwhelmed by how much work was actually needed. In the meantime our installation photos had appeared on their Facebook page (so at least we knew they were still trading ...).I doubt any of the other companies could have provided better times, except by chance. And I'm very happy with the components and the installation.",5.0,5.0,5.0,4.0,13kW,"More than $20,000",Aiko Solar,Fronius,BYD,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1e6fb4d7a0fe3b11438433e12ad8ecbe0.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b9e3da00b237d514181c8e32039e873a1.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/78456c0ac7c482dc4a9955d7e131a3de2.jpg']",0,0
136405,Tony,TAS - 7004,TAS,7004,True,2025-08-25,25 August 2025,5.0,,From the beginning of the process I found I Want Energy to be very informative and professional. The installation was very professional and all the workers were efficient and friendly. I would recommend this company and to enjoy the benefits of a contemporary and upgraded solar system.,5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",,,,,,,False,[],0,0
136018,Ian,TAS - 7009,TAS,7009,True,2025-08-11,11 August 2025,5.0,,"I have had two solar installations over the past few years and have recently had an EV charger installed.The quote, install and service was top notch. We did have an issue at the very beginning which was sorted and fixed asap. I highly recommend this Tasmanian team.",5.0,5.0,5.0,5.0,,"$2,000 to $4,000",,,,,,,True,['https://www.solarquotes.com.au/img/evchargermanufacturers/I_zappi.png'],0,0
135459,Kodi,TAS - 7018,TAS,7018,True,2025-07-20,20 July 2025,5.0,,"The initial quotation process was seamless and easy; The front-of-house staff is nothing short of exceptional.Although our installation experienced a few hiccups due to the Polystyrene render cladding, the team quickly identified a solution and implemented it. Any requests I had were quickly actioned.Even had a visit from the GM + Owner to ensure everything was set right and that the outcome he promised had been delivered. This is what customer service is all about.",5.0,5.0,5.0,5.0,9kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
134784,Liz,TAS - 7050,TAS,7050,True,2025-06-30,30 June 2025,5.0,,"The whole process with I Want Energy was fantastic - they were down to earth and gave me information in plain language, making it easy to make a decision. The installers were fantastic and respected our property. Overall very happy with the process.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
134172,Enzo,TAS - 7009,TAS,7009,True,2025-06-07,07 June 2025,4.25,,"Knowledgeable, trustworthy ,dependable, reliable and personable at all times. In time of need, Alex’s feedback and response (.,along with his team at ‘I Want Energy’ in Moonah)was WAY beyond my hopes and expectations-brilliant!",4.0,4.0,4.0,5.0,6.6kW,"More than $20,000",,,,,,,False,[],0,0
133574,Gwyn,TAS - 7008,TAS,7008,True,2025-05-20,20 May 2025,5.0,,The whole process went far beyond my expectations.  I will be recommending them to everyone.,5.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",REC,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
