review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
96526,Mauricio,WA - 6051,WA,6051,True,2021-12-27,27 December 2021,4.0,,"Understood the difficulty installing a solar system in my houseChoice of panels in the quote. Efficient organising registering for energy buyback and meter reprogrammingFast installation, tidy work, clean",4.0,4.0,5.0,3.0,6.6kW,"$4,000 to $6,000",Qcells,SolarEdge,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
76905,Paul,QLD - 4738,QLD,4738,True,2020-05-19,19 May 2020,3.0,,,3.0,3.0,5.0,1.0,more than 30kW,more than $20000,,Selectronic,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_selectronic.png'],0,0
29228,Mal,QLD - 4405,QLD,4405,True,2016-09-27,27 September 2016,2.5,,"System has been ordered and approved, installation should take place in February",4.0,4.0,1.0,1.0,3kW,"$3,000 to $6,000",Unsure (Other),Unsure (Other),,0.0,1.0,False,[],0,0
28857,Judd,QLD - 4814,QLD,4814,True,2016-08-22,22 August 2016,2.67,,Paid the deposit and heard very little.......have to pay extra $1000 for an invertor to regulate......Supplier requirements .......very slow in the installation due to lack of required product,3.0,3.0,0,2.0,6kW,"$6,000 to $10,000",Sungold Solar,Fronius,,4.0,2.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
24854,Terry,QLD - 4701,QLD,4701,True,2016-04-14,14 April 2016,4.0,,,4.0,4.0,4.0,0,4kW,"$6,000 to $10,000",Qcells,SMA,,3.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
26743,Norman,NT - 820,NT,820,False,2016-03-09,09 March 2016,4.0,,,4.0,4.0,4.0,4.0,6kW,"$15,000 to $20,000",Qcells,Enphase,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
25600,Adrian,QLD - 4816,QLD,4816,True,2015-11-18,18 November 2015,4.0,,,4.0,4.0,4.0,4.0,4kW,"$6,000 to $10,000",Trina,Zeversolar,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_zeversolar.png']",0,0
26464,Lindsay,QLD - 4352,QLD,4352,True,2015-06-15,15 June 2015,4.0,,"Solar Quotes were invaluable in assessing the systems quoted on by the local suppliers recommended by Solar Quotes and  those personally invited to quote.Their assessment reinforced my faith in solar, and eliminated any concerns I may have had relating to brands and performances, enabling me to be better informed to make a decision on the best system for my situation and budget.The system has not been installed at this time, but my experience with the Solar Quotes recommended installer to date has been very cooperative and informative.",4.0,4.0,0,4.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
25776,Penelope,NSW - 2481,NSW,2481,True,2015-04-06,06 April 2015,4.67,,,4.0,5.0,0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
25692,Ed,QLD - 4680,QLD,4680,True,2015-03-26,26 March 2015,4.67,,"I cannot comment about the efficiency and running of the product yet as the house, and therefore the panels are not in use.Sue, the lady I was in contact with gave me a lot of easy to read information about the different components I was about to purchase.The installers were efficient professional and left no mess. (Which is more than I can say about some other tradesmen.)I was continually informed about the process and product.Very satisfied",4.0,,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
