review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139148,Helman,NSW - 2560,NSW,2560,True,2025-10-29,29 October 2025,5.0,,"After an extensive search for the right solar installer, involving many calls and quotes (including some sourced through SolarQuotes), we actually discovered Innovate Electrical and Solar somewhat accidentally through positive online reviews. Choosing them turned out to be the best decision we could have made. We had Innovate install an 8.36kW solar array and a 40kWh Sigenergy battery, adding to our existing 7kW solar system. The entire process for this large, complex upgrade was remarkably smooth and professional from start to finish.Quoting and Sales: Leah in the office was outstanding. She was incredibly patient, answering all my (many!) technical questions with genuine expertise and making the quoting and financing process straightforward. Communication was always clear and prompt.Installation: The installation team, led by David, was exceptional. Their workmanship is top-notch – very neat, tidy, and clearly done with care. It's obvious they don't cut corners. What really stood out was David's commitment to ensuring everything was perfect. He didn't just install the system; he went the extra mile to ensure every component was communicating correctly and performing optimally. He even took the time to help fix some existing solar mesh around our older panels, which was completely unexpected and greatly appreciated. His final walkthrough and explanation of the system were also thorough and easy to understand.System Performance: The combined system is performing brilliantly. We've been amazed to see it generate significant power and charge the large battery even on overcast, rainy days – a testament to the quality components and smart design.Overall: If you're looking for a solar installer who is professional, knowledgeable, provides high-quality workmanship, and genuinely goes above and beyond for their customers, we wholeheartedly recommend Innovate Electrical and Solar. A truly 5-star experience.",5.0,5.0,5.0,5.0,8kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7cd2814d049b227de827479c7d7cbc9d0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9119cf27e3b2ed66d1b9f01a117cb1fb1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2711d0ddf86a7833780e670fb0f9fc232.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d1adba2f63a1fb872970f8062dc47d333.jpeg']",0,0
138709,Peter,NSW - 2159,NSW,2159,True,2025-10-20,20 October 2025,5.0,,We are very pleased with the service provided by Innovate Electrical and Solar. They fully and patiently explained the whole process beforehand and provided support with the monitoring app afterwards.The install itself was professional and tidyand was overall a stress free experience.,5.0,5.0,5.0,5.0,10kW,"$0 to $2,000",,Sigenergy,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png'],0,0
138558,Michael,NSW - 2077,NSW,2077,True,2025-10-15,15 October 2025,5.0,,"I recently had my solar system extended and a new battery system installed by Innovate Electrical and Solar, and I couldn’t be happier with the entire experience. The team was professional, knowledgeable, and helpful from start to finish — including the site survey, system design, quoting, installation, and user instruction.They provided excellent recommendations, communicated efficiently, and delivered high-quality systems at a very reasonable price. Innovate Electrical and Solar also installed my original solar system about four years ago, which has been running perfectly with zero issues ever since — a true testament to their workmanship and reliability.I highly recommend Innovate Electrical and Solar to anyone looking for reliable, honest, and professional solar and electrical services. They deliver great results, quality products, and outstanding customer care every step of the way!",5.0,5.0,5.0,5.0,more than 30kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
138223,Greg,NSW - 2155,NSW,2155,True,2025-10-07,07 October 2025,5.0,,"We were Extremely happy with the service, installation & performance of our new solar system & battery. 10kw Aiko panels & 19kw Sigenergy battery.Leah is very knowledgeable & answered all our queries, which were many & made the whole process straightforward.David checked our property before installation & to finalise the fee so we knew the exact cost with no surprises. Unfortunately we did need a switchboard upgrade.Installation was on a hot day but it went very well.He also was very thorough at explaining after completion of the installation how everything worked & demonstrating the App.The installation looks great with no exposed conduits. Very neat & tidy.& then also followed up after installation to check if any issues,  & it is still running excellently & we are enjoying the sunny solar days & looking forward to seeing what happens with our bills.The whole processing went very smoothly & we have no hesitation in thoroughly recommending innovate .There has been a small hiccup after installation which was to do with the gateway & David was  very prompt at attending as soon as he could & is now fixed.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/51380b8995895412d8bdd88356b6e3830.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6acfea7bdf24413a38c1ab18e2bbde731.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/51c1528631bfc75ec69f46242297a7dc2.jpeg']",0,0
137135,Lindsay,NSW - 2756,NSW,2756,True,2025-09-11,11 September 2025,5.0,,"Innovate Electrical and Solar did an amazing job with my recent solar and battery purchase and install.The whole process was easy from the beginning to the end.The technician came out originally to quote and explained everything to me in detail and ensured that it was clear before leaving.The office then took care of everything from their end.  I was kept up to date with plans and schedules.On the day of the install, then technicians arrived on time, went through the plan and completed work in a timely manner.Prior to leaving, they took me through how to use the system.Both the office staff and the field technician were great to work with.If I was unclear about anything, Innovate clarified the details with me.I'll be contacting Innovate to complete electrical work on my property in future.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136343,Nathan,NSW - 2768,NSW,2768,True,2025-08-22,22 August 2025,5.0,,Leah and David were extremely knowledgeable and very easy to work with throughout the entire process. Installation was completed on time and David even helped me replace a few previously broken roof tiles and patch a hole in my gutters. They cleaned up after the install and left everything neat and tidy.I would wholeheartedly recommended them to my family and friends.,5.0,5.0,5.0,5.0,9kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
133587,Catherine,NSW - 2158,NSW,2158,True,2025-05-20,20 May 2025,5.0,,David explained things well. After installation site was left tidy. Then the system was explained again and I was told to phone them with any problems,5.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",,,,,,,False,[],0,0
133083,Jaimol,NSW - 2763,NSW,2763,True,2025-05-05,05 May 2025,5.0,,"Innovate Electrical and Solar installed our solar panels in March this year. From the first contact until after the installation, Leah and her team were exceptionally professional and helpful. We chose Innovate Electrical and Solar due to their reviews and they were proved as an actual reflection of their quality customer service.Leah was very pleasant, patient and knowledgeable and very responsive. David and his team completed the installation efficiently, explained the system in detail and answered all my question with patience.Thank you Leah and David! I am happy to recommend Innovate Electrical and Solar to my family and friends.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Trina,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
133000,Ian,NSW - 2758,NSW,2758,True,2025-05-01,01 May 2025,5.0,,"The entire experience was outstanding. Leah's genuine and low-pressure communication style made the whole process easy and comfortable. Every aspect was handled efficiently and with a high level of professionalism.David and his team were prompt, professional, and courteous throughout the job. Their workmanship was excellent, and they left everything clean and tidy at the end of the day, which we really appreciated. We were given a thorough tutorial on how to use the system and understand the features on the app. Meter changeover was initiated by Innovate and we were kept informed every step of the way.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,,,,,,False,[],0,0
132432,Glenn,NSW - 2155,NSW,2155,True,2025-04-10,10 April 2025,5.0,,"I did my standard '3 quotes' and I was so impressed by Innovate. Their customer service is outstanding, the explanation of the system was brilliant, they turn up on time, cleaned up, I can not be more happier. Please consider this business when you need to make a decision on panels and/or battery for your home.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",I don't know,Goodwe,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
