review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
116564,Maniya,NSW - 2179,NSW,2179,True,2023-11-14,14 November 2023,4.75,,The sales and installation process went smoothly. They explained everything well. Installation happened earlier than expected and connection to the grid came a week later. The system is producing enough power for our consumption. We still have to see what their after sales support is gonna be like as we haven’t had any issues with the system yet.,5.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",REC,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
114284,Nicole,NSW - 2570,NSW,2570,True,2023-09-09,09 September 2023,4.75,,"Inspire Energy were easy to deal with, great communication from the office team, installers were on time and professional. The showroom was a great idea to be able to see what we were purchasing upfront.",5.0,5.0,4.0,5.0,6kW,"$4,000 to $6,000",REC,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
108075,Anne,NSW - 2567,NSW,2567,True,2023-02-10,10 February 2023,5.0,,"Damien & his team at Inspire Energy Narellan were very knowledgeable, courteous & able to answer all my questions. Everything was arranged by them & the installation went well & they even tidied up after themselves! Great customer service. Fully recommend them.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Risen,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
107081,Darryl,NSW - 2570,NSW,2570,True,2023-01-06,06 January 2023,1.75,,"I had an LG RESU10H battery, Sunny Boy Storage 2.5 and Sunny Tripower 20000TL-30 inverter installed by Inspire Energy in early 2018 and it has generally worked OK, but it has never worked to provide backup power in cases of a grid outage. I repeatedly chased Inspire Energy to resolve but was eventually told by them that it was incorrectly designed, and I would have to spend several thousand dollars to upgrade it to provide the functionality they promised originally.I discovered my battery was subject to recall when I saw an ACCC advertisement - I was never contacted by LG or Inspire. I have now been waiting for action on the recall process since October 2021, after reaching out to LG directly.I followed up repeatedly with LG directly, the recall team, and Inspire Energy. I was given a wide range of different stories and no timeframe for resolution, until finally in early December 2022 I was given a date for the replacement to take place.Inspire Energy stopped responding both to myself and LG and would not perform the replacement.At the end of December, another team engaged by LG, the Solar Service Guys, arrived and replaced the battery but could not get the new battery to work correctly. I have had to follow up myself several times as they will not return phone calls or send promised emails.Customer service from both Inspire Energy and LG has been nothing short of appalling. I would strongly urge you to avoid dealing with either of them in any form, I certainly won't be again.",3.0,1.0,2.0,1.0,15kW,"$15,000 to $20,000",,SMA,LG Chem,,4.0,1.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png']",0,0
82176,Kerry,NSW - 2564,NSW,2564,True,2021-06-05,05 June 2021,5.0,,"Came to my place and quoted. Listened to where I wanted panels. Much better price than the other quotes with better quality solar panels. Installation was very quick. They were on time , polite, very efficient. Cleaned up after the job. They organised my new smart metre , came back and set up app to show me my solar usage. Was very happy from start to finish.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
85814,Vicki,NSW - 2570,NSW,2570,True,2021-01-20,20 January 2021,5.0,,"Very Professional & great advice. First visit discussing our needs, then a site inspection visit - explained what would happen. The installation was quick and professional - they were punctual, friendly, polite & tidied up. A final visit explaining how to get the most from the solar panels, as well as providing the proper documentation we may need in the future and who to contact in the unlikely event if there were any problems. Highly recommended.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Trina,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
65572,Wayne,NSW - 2570,NSW,2570,True,2020-02-26,26 February 2020,4.0,,,4.0,5.0,4.0,3.0,6.6kW,"$3,000 to $6,000",Opal Solar,SMA,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_opal-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
63012,Richard,NSW - 2500,NSW,2500,True,2019-12-19,19 December 2019,3.5,,I think I got really good value. 6.5kw trinasolar 310w panels SMA 5kva inverter german made and tigo optimisers for each panel and energy meter etc. Great monitoring on energy consumption solar generation and panel performance etc. All for $6470. Solarquotes and the information it provides to learn about solar to make an informed purchase decision has been great. What i learned from Solarquotes enabled me to be involved in the system design and installation. So much so that I instructed the installers what to do on a few items. That was a bit disappointing as I expect them to have much more expertise than me. However everyone at Inspire Energy have been friendly and helpful and I would certainly recommend them to others. Just make sure you know what you want.,4.0,4.0,3.0,3.0,More than 6kW,"$6,000 to $10,000",Trina,SMA,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
62739,Daryl,NSW - 2234,NSW,2234,True,2019-12-14,14 December 2019,4.75,,Great service by the installation team..No issues and the whole process was seem less..,4.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",Trina,SMA,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
68469,John,NSW - 2570,NSW,2570,True,2019-09-17,17 September 2019,5.0,,Very happy we choose Inspire Energy for our solar needs.From sales and advice through to the installation the team were professional and courteous.Inspire Energy have a showroom and their own installation team to provide that extra peace of mind .We highly recommend them for as a quality solar provider .,5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
