review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138965,Norman,QLD - 4680,QLD,4680,True,2025-10-25,25 October 2025,5.0,,installation is not complete but I cant say enough about the company we picked. Just waiting for Ergon to complete their part.,5.0,5.0,5.0,5.0,6.6kW,,Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
132250,Angela,QLD - 4680,QLD,4680,True,2025-04-07,07 April 2025,5.0,,"JNT were very quick to respond and provided an onsite quote. The sales rep Ana was super friendly and knew her stuff. She wasn't pushy at all and had the expertise to help us make the best decision. We chose JNT because they are a local business and all their staff live locally too. The install was booked quickly too, and 3.5 weeks later we had our new solar system! The install team were friendly and professional, arrived on time, did a great job and left the area clean and tidy. One thing that impressed me was the messaging system that let me know when they were on their way and approx arrival time every time they they came over, including for the quote.JNT arranged the frid connection and meter upgrade with our energy provider as well, so it was a very smooth process.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
130310,Larry,QLD - 4680,QLD,4680,True,2025-01-30,30 January 2025,5.0,,The sales team was great at explaining the solar.The Installation guys installed the solar very professionally.When all was completed was shown how to put the app on my phone and how it worked.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
129189,David,QLD - 4680,QLD,4680,True,2024-12-19,19 December 2024,5.0,,"Dan at JNT Electrical was very helpful when explaining the various options for us, made it easy to understand the decision we were making.The installation went smoothly with them, they removed the old broken system and cleaned everything up.Grid connection was easy and they stepped me through the use of monitoring app.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",I don't know,Sungrow,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
127386,Desmond,QLD - 4680,QLD,4680,True,2024-10-29,29 October 2024,5.0,,"The quoting process was simple and straightforward, making it easy to understand the pricing and options available. The team was responsive and transparent, ensuring there were no surprises.The installer was polite and tidy, keeping the workspace clean throughout the process. They arrived on time and completed the installation efficiently, which demonstrated their professionalism and respect for the property.Dan provided excellent customer service, answering every question thoroughly. He helped organize the necessary connections after the installation and took the time to explain how to use the new equipment, making sure we felt confident with the setup.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
124029,Timothy,QLD - 4680,QLD,4680,True,2024-07-17,17 July 2024,5.0,,"This was an installation on the roof of a unit,   with much the same layout as a townhouse,  each unit has it's own roof space,  no units above or below.The sales and consultation process was excellent,  Daniel came out and inspected the property,   showed me the app and answered my questions.The ordering process was excellent and the staff processed the order and update to my account and metre with Ergon for me.The team inspect the site and plan the installation the day before,  the team of arrived the next day bright and very early.  After a long day,  the system was fully operational and before long I had the app running on my phone and computer to monitor the output.   The output exceeded my expectations,  on the 2nd day it was a clear sunny day in the middle of July (Winter) when I expected the output to be good,   but it topped out at 5Kws at lunch time which I would not have expected for mid winter,  having had solar panels on my last home for many years.The battery managed to power the unit all night without going flat,  even running an AC in heating mode all night,  since installation the unit has not used more than 1KWh of grid.",5.0,5.0,5.0,5.0,6.6kW,,Canadian Solar Inc,Sungrow,Sungrow,5.0,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/532bdeb3a7144f375f702f5a2ad4cd321.jpg']",0,0
109270,Stewart,QLD - 4680,QLD,4680,True,2024-01-24,24 January 2024,5.0,,Customer service was exceptional from quotes to install and follow up.  Install team were professional and courteous.Team also helped organise everything including the grid connection.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Hyundai Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
99862,Peter,QLD - 4216,QLD,4216,True,2023-03-10,10 March 2023,5.0,,"JNT Electrical were everything they promised to be - on time, polite and knowledgeable technicians, great and continuing communication, excellent product and I have the peace of mind to know I can always rely on them to come back and fix any problem. They even offered to replace broken tiles they did not break but found on the roof.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
107535,David,QLD - 4680,QLD,4680,True,2023-01-23,23 January 2023,4.0,,"On time,polite and knowledgeable workers. Very helpful and willing to explain things. Prompt communication.Really gr8 interactions with them.",4.0,4.0,4.0,4.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
96213,Shelley,QLD - 4207,QLD,4207,True,2022-07-24,24 July 2022,5.0,,"Laurie, who came to quote, was friendly and approachable. He was obviously knowledgeable and had no issue answering all of my questions. He ended up doing 5 quotes for me (different inverter/panel combinations - which involved different configurations of panels too) and nothing was ever a problem. The quote for the exact same system I had everyone quote on was over $600 cheaper. He took the time to explain what he saw as the pros and cons to each of the systems he quoted on also.Installation went smoothly. The team arrived on time and were finished an hour and a half earlier than they had predicted. They confirmed everything Laurie had discussed with me before beginning and on completion gave me a guided tour of everything and helped setup the monitoring from my phone. Laurie also popped in to ensure everything ran smoothly and to say thank you and Merry Christmas. He even gave me a bunch of flowers, which was a lovely touch.All correspondence with JNT was prompt and professional.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
97942,Adrian,QLD - 4210,QLD,4210,True,2022-02-18,18 February 2022,4.5,,"JNT where great from sales, administration and insulation then follow up.Easy to deal with great communication with custom, through to completion.A big thank you.",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
97207,Lynn,QLD - 4210,QLD,4210,True,2022-01-24,24 January 2022,4.25,,"Good value,quality installation, very good customer liaison  tradespersons very tidy",4.0,4.0,4.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
97016,Rudy,QLD - 4680,QLD,4680,True,2022-01-17,17 January 2022,5.0,,"It was easy dealing with Daniel (JNT in Gladstone), very quick with the quote and three sensible choices to pick from.Seamless process from picking date, install and invoicing.The solar install was for an investment property.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
87986,Orsolya,QLD - 4212,QLD,4212,True,2021-11-19,19 November 2021,5.0,,"Laurie was very professional, polite, explained the whole process during the quoting process. The installation was smooth and professional, the team was punctual, explained everything, worked efficiently and I’m very impressed with their professionalism. Highly recommend them and the solars are working beautifully ever since.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
95314,Kasey,QLD - 4213,QLD,4213,True,2021-11-16,16 November 2021,5.0,,"The consulting sales rep, Laurie, was thorough and clearly communicated their whole process so expectations were set. He then followed up from our meeting promptly with competitive pricing.The install team showed up right on time, was polite/tidy, and gave me a thorough install debrief.So far, I've had a great customer service experience.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Risen,Sungrow,I don't know,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
94520,Doreen,QLD - 4214,QLD,4214,True,2021-10-20,20 October 2021,5.0,,"Many thanks to Laurie for the time spent explaining the system and the follow up after installation.The installers were on time, extremely polite, and left the place in a very clean tidy way.Many thanks also to the team for their work installing, and also to Lochie for coming over to the house after installation to install the grid connection and app on my phone.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Sungrow,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
86779,Keith,QLD - 4216,QLD,4216,True,2021-10-18,18 October 2021,4.75,,As planned and why does the the review need to be more than 10 words,5.0,5.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
92110,Graham,QLD - 4210,QLD,4210,True,2021-08-06,06 August 2021,5.0,,"The whole process with JNT Electrical was excellent, the quoting process was easy and spent time explaining the process. The installation was on time and tidied up after themselves. Laurie turned up during the installation with flowers for my wife, a very nice touch. The system has been operating for a few weeks now and everything is working fine.",5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",LONGi Solar,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
80477,Eileen,QLD - 4216,QLD,4216,True,2021-04-20,20 April 2021,5.0,,"Very helpful sales, punctual, clean and pleasant installers.Great site Finn put us on the right road to understanding solar.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
88540,Daniel,QLD - 4209,QLD,4209,True,2021-04-06,06 April 2021,5.0,,"Very knowledgeable sales person and did not push us into buying a big system we didn't need. Met our requirements to a T. Installers were fast, knowledgeable and very polite. Would recommend to anyone.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
88157,Paul,QLD - 4680,QLD,4680,True,2021-03-25,25 March 2021,5.0,,"Sales process was simple as I knew what system I wanted and just needed to confirm pricing and availability. Very quick to arrange the system and install. Very impressed with the install process and workmanship quality.  Connection was all arranged with Energy supplier. All in all, extremely happy with the service from start to finish. Added comfort of knowing there is local support should there be any issues later.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Hyundai Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
78373,John,QLD - 4208,QLD,4208,True,2021-02-28,28 February 2021,4.5,,"From the initial sales call to completion of the install the level of customer service was excellent information provided was clear, easy to understand and followed up om when required. The install was on time, efficient and proffesionaly carried out. The administration of the install was performed without a hitch, timing of different steps were communicated and proved to be spot on ( including connection to grid).Overall a good experience.",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Sungrow,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
86808,Graeme,QLD - 4680,QLD,4680,True,2021-02-15,15 February 2021,4.0,,"The quoting process went very smoothly, even though I made a few changes.The installers arrived when they said they would, did a good job and even cleaned up after them selves.Great customer service and overall a very good experience.",4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
86786,Jenny,QLD - 4210,QLD,4210,True,2021-02-14,14 February 2021,5.0,,"From the start the company made me feel as if I matter. They were professional and courteous, and everything was done on time.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
84682,Robert,QLD - 4218,QLD,4218,True,2020-12-12,12 December 2020,4.75,,The whole process with JNT was seamless. Very clean tradesmen,4.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Risen,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
82001,Steve,QLD - 4218,QLD,4218,True,2020-09-28,28 September 2020,4.5,,The guys that carried out the install were very professional. The equipment installed was all to a very high standard and also cleaned up the mess once complete. I had a couple of minor issues with the smart meter and these were addressed promptly by Jason who turned up when he said he would. Canâ€™t fault these guys and would highly recommend them to anyone wanting a solar PV system on the Gold Coast.SteveBroadbeach Waters,4.0,4.0,5.0,5.0,7kW,"$4,000 to $6,000",Risen,Fronius,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
81852,David,QLD - 4214,QLD,4214,True,2020-09-23,23 September 2020,5.0,,Process made easy by the JNT team. Simply a good local business.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fimer,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
81569,Julie,QLD - 4215,QLD,4215,True,2020-09-16,16 September 2020,5.0,,"A great experience- knowledgeable salesperson- no pressure!!!!!! Followed up and kept me informed throughout the process.Fantastic installation team- on time - friendly, helpful and professional - great attention to detail onsite.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
81441,Mat,QLD - 4212,QLD,4212,True,2020-09-12,12 September 2020,4.25,,Great install.Did not receive any help with the App for the inverter which was not easy to connect with.But all other aspects of the install were great,5.0,4.0,4.0,4.0,5kW,"$4,000 to $6,000",Risen,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
81077,Jin,QLD - 4127,QLD,4127,True,2020-09-02,02 September 2020,5.0,,"Great professional service all the way through. A pleasure to deal with, and made the transition to solar very easy. Sales process was relaxed and unpressed.Laurie and Jason made everything very clear. Installers were slick and efficient. No broken tiles! Good communication and follow up. Happy to recommend.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Qcells,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
79512,Ian,QLD - 4680,QLD,4680,True,2020-07-24,24 July 2020,5.0,,"Went to grid today so will be waiting to see resultsSales and a genuine quote - excellent. Dan gave me all details and quote that was for install not an inflated one that covers deals with finance companies, which saved lots compared to â€œinterest freeâ€ installers, watch out for this, offer cash and price drops drastically. Appreciated the honest upfront approach from DanGreat install. Came out yesterday and scoped job (raining) turned up as scheduled today and gone by smoko leaving behind a very happy customer. Been in electrical install game for 50 years and would have these boys on my team anytime. Well done looks goodNow I can see why JNT was recommended.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,,,,,,False,[],0,0
79303,Cass,QLD - 4218,QLD,4218,True,2020-07-20,20 July 2020,5.0,,"After doing lots of research on the best inverter / solar panels and getting many quotes I finally decided upon getting JNT Electrical to do the install. For was for a number of reasons, they offered the best price, best (timely) customer service & agreed to do the job 3 months down the track (at my request) with no deposit required.  Laurie, their Sales Rep is fantastic! Laurie ended up doing 3 different quotes for me (at my request) as I kept changing my mind (re panels/inverter & the number of panels I wanted). None of this was ever a problem for Laurie. He'd get the quote back to me later the same day or following morning. JNT organised all the change over paperwork for me, I didn't have to do anything with my energy provider or Energex in connecting to the grid, JNT did it all. Lachie (their wonderful technician/installer) even got up on the roof to do a precise measure up included in their quote (not many other techs who came out did this - go the same effort or time). Jason the owner of JNT was so helpful, friendly & professional. Nothing was too much trouble for him either. Jason & his team of four (4) showed up on time on the day of install, finished in a matter of hours, their team is efficient and hard working. Laurie the Sales Rep even showed up on the day to hand deliver me a bouquet of flowers to thank me for choosing JNT. By choosing JNT I ended up saving up to $1500 compared to other solar installers on the GC (for the same premium product). JNT are the best value for money on the Gold Coast. If you're looking to get solar quotes, start with JNT Electrical. I guarantee you'll get the best price (comparing apples for apples - premium inverter/panel products), the best service & peace of mind with their professionalism & any follow up questions you might have after installation. I can't fault these guys. Very happy I chose JNT.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Qcells,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
79205,Ryan,QLD - 4221,QLD,4221,True,2020-07-17,17 July 2020,5.0,,"Sales and quoting.....no nonsense.  Told you what you needed to know and factored in a roof restoration for us with the ability to stage the installation of brackets and return to install the rest of the system when our roof was sealed.The guys were polite, punctual, tidy and good tradies.The after sales service has been fantastic with all warranty, STC and registration docs emailed through.The only thing I could fault was my choice of system components and even then, I have no issue.A pleasure to deal with.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
