review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136834,Paul,WA - 6021,WA,6021,True,2025-09-05,05 September 2025,5.0,,"I am in Balcatta Western Australia and I am extremely happy with the whole process of dealing with Kenny Solar, they were prompt to reply to all my enquiries, the price was great value. The installation is very neat and the installer was very knowledgeable and they cleaned up all their mess. I zero complaints against anything they did.Paul D.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,SolaX Power,SolaX Power,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/72afcf4dcc14a4ec7c420bbe867759e60.jpg']",0,0
129577,Aaron,NSW - 2560,NSW,2560,True,2025-01-08,08 January 2025,4.75,,"I found the installer via OzBargain and had a great experience from start to finish. Rob was extremely responsive to all my queries and was happy to make changes to the system as per my requests, without any issues. From quote to installation, everything moved along fairly quickly.The installers were punctual, friendly, and highly communicative throughout the process. They went above and beyond by replacing a large number of broken tiles on the roof (sourced by me) from a previous installer.After the installation, they were quick to return to tidy up a few things, ensuring everything was in perfect order. The system has been generating exactly as per the specs outlined in the quote, and I’m really pleased with the results.Overall, I couldn’t be happier with the service and pricing of the solar system and install! Highly recommend.",5.0,5.0,4.0,5.0,8kW,"$4,000 to $6,000",LONGi Solar,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7a8504990f06866bf32a97514b333a020.PNG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/457244ccef45b160ebb7e3838d85b2ec1.PNG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/df37189af0f11f9e9b22c1434379a79b2.JPG']",0,0
129245,Brad,WA - 6153,WA,6153,True,2024-12-22,22 December 2024,5.0,,"Luke and the WA team at Kenny Solar made the entire process effortless. After comparing several quotes, I chose Kenny Solar for their competitive pricing and, more importantly, their friendly and approachable nature. They remained easily reachable even after the installation. I have received a Solis 10kW 3-phase system, which includes 16kW of panels and a 16kW/hr LG battery system. I'm looking forward to receiving the energy savings. Ben and the team who installed the system have been second to none with their installation and would highly recommend Luke and his team to supply and install a complete Solar system.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,Solis,LG Chem,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png']",0,0
128639,Ken,NSW - 2768,NSW,2768,True,2024-12-04,04 December 2024,5.0,,"From start to finish, my experience with Kenny Solar was absolutely seamless. Robbie and his team made everything incredibly easy. Robbie was highly responsive, patiently answering all my questions and providing multiple quotes and options. Even when I requested changes a day before installation, he was accommodating and ensured that everything was tailored perfectly to my needs.The installation process was smooth and without any dramas. The team delivered high-quality workmanship and removed all the rubbish. The entire system was installed within just a few days, making the process swift and hassle-free.The end result is an amazing solar battery system that exceeds all my expectations and works flawlessly. I highly recommend reaching out to Robbie at Kenny Solar for anyone in need of a solar or battery system.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",LONGi Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
125267,Rich,NSW - 2291,NSW,2291,True,2024-08-23,23 August 2024,5.0,,"Initial consult with Rob @ Kenny Solar. He was responsive and worked with me to generate three quotes. Wasn't pushy, but was responsive to all questions. Rob's team were super efficient and professional. Grant answered all my questions and made sure everything was online and working properly. I even had a question the next day and Rob and Grant sorted it out. Grant even popped around to our house. The install looks great. I asked them to do a neat install inside the house and they did so, even though it would have been harder and taken more time. Grant helped to organise charging from the grid, and all works perfectly. Highly recommend the team at Kenny Solar.System is Goodwe three phase inverter, 7KW panels and 22KWh battery.",5.0,5.0,5.0,5.0,7kW,"$15,000 to $20,000",,Goodwe,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_goodwe-battery.png']",0,0
124885,Grant,NSW - 2260,NSW,2260,True,2024-08-11,11 August 2024,5.0,,"Great service from the opening exchange, everything was transparent and explained to us so we could understand. The install went smooth as we could ask for, the installers arrived exactly when they said they would, they consulted with us on inverter location prior to commencing. They installed the 30 KW system over two days and took every bit of rubbish with them on completion. They set up the app for us on the phone and  made sure we knew how to use it before they left. Could not recommend Robbie and Kenny solar any more!",5.0,5.0,5.0,5.0,30kW,"More than $20,000",LONGi Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
124884,Darren,ACT - 2900,ACT,2900,True,2024-08-11,11 August 2024,5.0,,"I had a tremendous experience with Kenny Solar.Their deep knowledge and responsiveness were evident from the start.They provided us with tailored solutions that perfectly fit our needs. While their pricing was competitive and fair, it was their commitment to quality and professionalism that truly stood out.The tradesmen they employed were not only skilled but also friendly and respectful.Robbie and his team are a standout choice for anyone considering solar energy. Highly recommend for their expertise and excellent service",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Tongwei (Other),Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
116030,John,NSW - 2251,NSW,2251,True,2023-10-29,29 October 2023,5.0,,"Very professional team, install was quick, on time, looks good and is performing as specified. Install team provided a good-looking system, they walked me through the system and mobile app operation and cleaned up the site prior to leaving. All in all, a pleasure to deal with this organization I highly recommend you add them to your approved suppliers.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
112116,Greg,NSW - 2045,NSW,2045,True,2023-07-06,06 July 2023,1.0,,Altogether unhappy with the system installed as it clearly does not provide enough power. Took multiple requests to have the phone app connected so the performance could be monitored. Should have got multiple other quotes but i felt pressured to go ahead with the company as they kept pushing me to accept their proposal.,1.0,1.0,1.0,1.0,6kW,"$10,000 to $12,500",,Solis,,,2.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
111647,Shawn,NSW - 2027,NSW,2027,True,2023-06-19,19 June 2023,5.0,,"Really happy with this company!They did a great job, the system is working really well!Will recommend!",5.0,5.0,5.0,5.0,7kW,"$12,500 to $15,000",,,,,,,False,[],0,0
