review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138999,Alex,QLD - 4128,QLD,4128,True,2025-10-26,26 October 2025,5.0,,"The installation was completed professionally with no issues at all. The team was polite, tidy, and punctual throughout. The system works perfectly — great quality product and excellent customer support from start to finish. Highly recommended.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8cad588ec05600ea9da63087fba372300.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ab66aa2496840a73d96f280869ab740d1.jpeg']",0,0
138824,Bob,QLD - 4306,QLD,4306,True,2025-10-22,22 October 2025,1.0,,"The installation hasn't happened, after signing the contract and paying the deposit I am eventually told (several weeks later) that the installation should happen early 2026.",1.0,,0,1.0,13kW,"More than $20,000",,Sigenergy,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png'],0,0
138712,David,QLD - 4109,QLD,4109,True,2025-10-20,20 October 2025,5.0,,"We had LMS install our solar system previously, and now our battery. Their communication, reliability and workmanship was excellent on both occasions. Highly recommend.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
137108,Dale,QLD - 4132,QLD,4132,True,2025-09-11,11 September 2025,5.0,,"I would like to thank Park, Georga, and all the boys who did the installation of my 16Kw Sigenergy Home Solar Battery system.Right from the the very start when Park came out to give me a quote, the information was clear, precise and without bias as to which system to use, but they did highly recommend the Sigenergy system as well as providing information and costing about the others.As I was after a system that would cut in immediately and automatically if we experienced a blackout, then the Sigenergy was the way to go for us.I paid my deposit, scheduled an installation date, got it installed by 3 amazing blokes who were so professional and polite, it was a great experience watching them do the work. In conjunction with the installation they explained and answered any questions I had about what they were doing so that I could understand how it all worked. Upon commissioning the System they showed me how to use the App, what all the graphs meant, how I could change the colours of the LEDs on the System etc, change times for heating the hot water , all with absolute professionalism.LMS Electrical in Slacks Creek would be my first and only call should you be considering installing a Home Solar Battery System. They have a 5 Star Rating for a reason and its easy to see why!!Would I recommend LMS Electrical, absolutely.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sigenergy,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7796c148909e0031eb3b0e55309b8c670.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7701dd525f0c0a4d131cc730d8c3e31a1.jpeg']",0,0
135827,John,QLD - 4130,QLD,4130,True,2025-08-04,04 August 2025,5.0,,"From first contact with LMS Electrical I have been most impressed with the quality of service. LMS were not the cheapest of the quotes provided however, I have complete confidence in the work. We had a previous 5kW system and now replaced with the larger array. The supporting software has been very informative showing us just how much energy is being used in the home together with a real time display of power generated by our solar.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
135280,Tim,QLD - 4055,QLD,4055,True,2025-07-14,14 July 2025,5.0,,"We recommend this installer; the experience, value for money was excellent",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,,,,,,False,[],0,0
134217,Damian,QLD - 4306,QLD,4306,True,2025-06-10,10 June 2025,5.0,,"Sales team reached out very quickly and organised a time. Went through what I wanted, and suggested a Sigenergy Stack, which I was looking at, but didn't mention. Quote was very clear on what was in and out, and on the day, team rocked up and did a stellar Job. Very happy.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",LONGi Solar,Sigenergy,Sigenergy,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
133969,Jordan,QLD - 4131,QLD,4131,True,2025-05-31,31 May 2025,5.0,,"The sales process was clear and honest. Office communication was on point.The installation team were amazing from start to finish. They arrived on time, were prepared, and motivated to work hard.Overall extremely impressed with LMS Electrical!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",LONGi Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
133882,Hans,QLD - 4306,QLD,4306,True,2025-05-28,28 May 2025,5.0,,"When contacting LMS for a quote, Ray did not just make a ""vanilla"" proposal like others, he asked me what I want to do and make suggestions for the upcoming battery rebate and the wholesale pricing model of the electricity provider AMBER, explaining the business model and differences to other VPP operators. Upon my concerns about what he suggested, he provided wholesale pricing from AEMO to validate his information. He furthermore introduced me to Sigenergy and their battery setup with all the futureproof technology built in, which competitors still try to catch up to.None of my questions and ideas put him off, no matter how strange they were, and he always came back with good or better advise.After accepting the quote I received a detailed ""what happens next"" leaflet, explaining what who needs do for a seamless installation.Grant and his Team made the installation a breeze. very knowledgeable, diligent and helpful for a stress-free process, explaining how everything works, commissioning it and setting our phones with a new APP to play with.Very happy with everything LMS Electrical provided and can 100% recommend them.",5.0,5.0,5.0,5.0,30kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
132980,Mike,QLD - 4127,QLD,4127,True,2025-05-01,01 May 2025,5.0,,"We've just had panels & a hybrid inverter installed by LMS. We had a roof restoration done at the same time. LMS advised on how best to manage that, and liaised with the roofing team to make sure it went smoothly. The team on site were prompt, friendly, tidy and professional and did not leave until they knew were happy and able to understand everything. Communications throughout the process were great and so far everything is working well.We were very happy with the process from start to finish, and are currently talking to LMS about a battery.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
