review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
129750,Shayne,ACT - 2606,ACT,2606,True,2025-01-13,13 January 2025,5.0,,"I should’ve written this review well before this, as we’ve had our solar panels for nearly 22 months now.We wanted to have solar panels fitted to the roof of a large north facing garage in the backyard, so I contacted Solar Quotes for recommendations of Solar companies in the ACT.The 3 companies recommended were impressive with the speed of their quotes. We received Lifecycle Electrical’s quote first and it was cheaper than the other 2 companies.We had also been given the names of two other companies that friends had recommended, so we thought we might as well get a quote from them also. But both those companies said they wouldn’t recommend panels on the garage roof as it would be very expensive running wiring through a trench, back to the house meter box.As I was concerned and confused, I mentioned what they had said to Matty from Lifecycle Electrical, and he said it was rubbish that wires had to run underground from the backyard garage to the house meter box. Matty said he had put panels on garages/separate dwellings before and he assured me that his proposal will work and that we’d have very little electricity expenses if any. So as Matty was very helpful and obliging with all the questions, confident with our unusual request and cheaper than the other quotes, we decided to go with Lifecycle Electrical and we are so glad and happy that we did, as Matty was right, his proposal works wonderfully and even though we regularly charge an electric car, our electricity bills are mainly in credit.I would highly recommend Lifecycle Electrical, the owner Matty is very knowledgeable and helpful, his team of installers are polite and do a very neat job.Thanks Matty, we are very happy with your service and even more happy that our solar panels are very quickly paying for themselves.Regards,Shayne",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Trina,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
112239,Kelly,QLD - 4220,QLD,4220,True,2023-07-11,11 July 2023,5.0,,I got 4 different quotes from other solar companies and Matt from Lifecycle was by far the most professional.The quote was detailed and explained everything I was wanting to know. Matt and his team were lovely to deal with both in the lead up and on installation day. The site was left clean and tidy and I have been very impressed with Matts after service follow up.I have already recommended Matt & his team to a friend and will continue to do so!,5.0,5.0,5.0,5.0,9kW,"$4,000 to $6,000",,,,,,False,[],0,0
109538,Tony,NSW - 2620,NSW,2620,True,2023-04-10,10 April 2023,5.0,,"Our solar installation with Lifecycle Electrical has been a totally seamless experience, right from the start dealing with the owner Matty who set it all up, down to the Installers who were very professional, friendly,  work was done the same day, everything tidied up, any questions on the day politely answered. It's great to deal with such a professional, honest company.I thoroughly recommend Lifecycle Electrical for your solar installation.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Trina,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
108096,Ted,QLD - 4220,QLD,4220,True,2023-02-10,10 February 2023,5.0,,"I am happy for Lifecycle Electrical to use me as a reference for the work, attitude, communication, consideration and commitment shown during the process of quoting, follow-up and installation of our replacement domestic solar electric system on 10.2.2023. Matty Salt, electrician/owner Lifecycle Electrical, was very thorough in his testing and diagnosis of our existing solar elec. system and he was excellent at explaining for us the problems/needs/process with regard to replacement of our system with a ‘like-for-Like’ unit. We will happily engage Matty to undertake any further electrical work at our home.We contacted Solar Quotes (Co.) for assistance in getting quotes from installers in our area and Lifestyle Electrical was one of the three companies that contacted us. The original system had suffered a lightning surge last October which was realised when we received our Oct-Dec bill ( ! ). It pays to frequently check the inverter readings!All necessary compliance and STC assignment was handled by Lifestyle Electrical.  Ted, Gold Coast.",5.0,5.0,5.0,5.0,1.5kW,"$2,000 to $4,000",Chint Solar Zhejiang,JiangSu Solar Power Technology,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_chint-solar-zhejiang.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_jiangsu-solar-power-technology.jpg']",0,0
107813,Denise,QLD - 4228,QLD,4228,True,2023-02-01,01 February 2023,5.0,,"Amazingly comprehensive quote. Matty was great to deal with and goes above and beyond to provide a great service. Reliable, punctual and ever so helpful. From start to finish the installation and service was excellent. I cant recommend Lifecycle Electrical highly enough!",5.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
105921,Michael,ACT - 2603,ACT,2603,True,2022-12-03,03 December 2022,4.25,,"Lifecycle is a small company, with the owner doing most of the work including leading the installation. I guess that he is very stretched to keep up with the volume of work, so often I had to chase to follow-up on certain matters both before and after signing the contract; there were issues on the length of the inverter warranty, late increases in the quote, some issues with the stability of the power output after commissioning, etc.However they put quality of installation as a top priority. The system looks very clean, all cables well tucked away. After complaining about a cable run down the front of the house, Matthew returned on the weekend to re-run it including splicing a cable extension, without any debate. A very professional manual was sent only a week after installation.Matthew pushed Enphase to ensure they identified and acted upon the problem with power generation briefly dropping out. Whilst I received proposals from four firms, Matthew introduced me to the Enphase option and together we went through five re-workings of the design to get to the right one, and I appreciate his interest in optimising it. Power output is per the offer.",3.0,5.0,5.0,4.0,10kW,"$15,000 to $20,000",LG,,,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png'],0,0
105871,Nicholas,ACT - 2611,ACT,2611,True,2022-12-01,01 December 2022,5.0,,The provider included detailed analysis and modelling of the effect of a large tree at site. All my questions were answered promptly. Installation took place within 2 weeks of contract signing.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",JA Solar,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
104058,Sarah,ACT - 2615,ACT,2615,True,2022-09-29,29 September 2022,5.0,,"Matt was fast, amicable and willing to go the extra mile when it came to explaining anything and making sure the job was done properly the first time.The price was very competitive for top of the range panels and inverter and delivery was even better with just a little under 2 week turnaround.The system is Excellent and completely integrates with my smart home giving me to the second updates on my consumption and production.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Hyundai Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
103398,Josh,NSW - 2620,NSW,2620,True,2022-09-07,07 September 2022,5.0,,Matty from Lifecycle Electrical has been a joy through this whole solar process. He helped me understand the benefits and helped me with a solar system that would suit our needs and budget. The weather had some other ideas during the installation but the team pursued and got the job done.Highly recommend.-Josh,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Trina,Solis,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/78195c6e76f883e49e2bbd314cb3fb100.JPG']",0,0
103350,Grant,ACT - 2903,ACT,2903,True,2022-09-07,07 September 2022,5.0,,Quotation process was simple and informative. Installation went well over a couple of days.Very happy and will be getting Lifecycle Electrical to provide solar on my other property.,5.0,5.0,5.0,5.0,9kW,"$12,500 to $15,000",,SolarEdge,,,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fb0a1f03134889b12c585f9d9077fa080.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fb0a1f03134889b12c585f9d9077fa080.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a144fc6055c431c57762a86061de6b131.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a144fc6055c431c57762a86061de6b131.jpg']",0,0
