review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
96444,David,SA - 5090,SA,5090,True,2022-08-24,24 August 2022,5.0,,"The sales / quoting process was efficient, the installers were polite, tidy and punctual and the whole process was easy",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Winaico,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
95845,Chandana,SA - 5065,SA,5065,True,2022-05-04,04 May 2022,5.0,,"Rob from Living Energy gave me honest advice regarding south facing panels and their quote was very reasonable. One of the big brand installer quoted 1500 higher price for just panels and inverter (I requested to add battery 1 week before installation).My roof, got very limited space, so installation team did really good job when hiding cables.",5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Hyundai Solar,SolarEdge,Tesla Powerwall 2,5.0,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
97574,Dario,SA - 5089,SA,5089,True,2022-02-06,06 February 2022,5.0,,"Choosing a local installer was important to me. The quoting process quick & efficient. The site visit was punctual & thorough. Although there was looming covid supply chain issue, they installed as discussed in the timeframe quoted.Installation staff were polite a tidy. Ben ensured I was properly setup with the app. Origin Energy were booked in the next day for smart meter install, where Living Energy were also required to tee up new isolator. Overall communication was very sound:)Thank You Solar Quotes for a brilliant web site.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
94914,Michelle,SA - 5073,SA,5073,True,2021-11-04,04 November 2021,4.5,,"Sales person was great, timely and informative once we have received the quotes. Enjoyed the process and patience from the sales person as they did not make me feel silly for asking questions. Customer service once we decided to go ahead could be improved. I felt like communications went silent after we had paid the deposit and lacking updates or check-ins towards the lead up of installation. Being not too familiar with the process I would've appreciated a few phone calls or emails here and there. The installation team was great - despite the weather, the team onsite were cheerful, friendly, and efficient. Also, very tidy. My only concern at the moment is that despite installing a 10kw, I've very rarely seen it recording 5kw  on the inverter even on the sunniest of days.",5.0,5.0,5.0,3.0,10kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
94561,John,SA - 5085,SA,5085,True,2021-10-22,22 October 2021,4.0,,Sales and install was good and quick. Grid connection will be happening soon.,4.0,4.0,4.0,4.0,10kW,"$8,000 to $10,000",Hyundai Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
94214,Suzy,SA - 5069,SA,5069,True,2021-10-10,10 October 2021,5.0,,"The sales person, Rob, was very thorough in designing the panel placement with me as there were some issues with tree shade over the different seasons that some of the other sales people discounted or offered expensive solutions for. He responded intelligently and readily to all my questions throughout the sales process. I felt he was genuine and explained technical details clearly and discussed options respectfully so I could make informed decisions. Also I referred to the SolarQuotes website to confirm information or know what questions to ask about the different options for panels and inverters. It was good to get 3 other quotes, which were all in a similar ballpark but with differing panels or inverters and I learned from each one.I didn’t want the ‘best’ system, rather value for money. I have had a system since 2008 (Solar Shop) which is still in place with an SMA inverter and had no problems (other than trees I let grow!) so I was keen to have SMA again but with more efficient up to date panels.The installation was smooth: on time, clear arrangements, polite, tidy, efficient yet friendly. All information and paperwork provided. The new system was switched on the same day as I already had everything required. Their IT guy helped me set up the app and everything seems to be working as expected ie generating the predicted kWh daily.Overall it was an efficient yet pleasant experience from start to finish. Everyone at Living Energy I dealt with was polite, focused, intelligent and responsive. Everything happened as predicted so their internal communication and business systems function well too.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
92053,Kieron,SA - 5086,SA,5086,True,2021-08-04,04 August 2021,5.0,,I would definitely recommend Living Energy Solutions to my friends as I feel Rob from the company is very knowledgeable and gives practical advice about the system I should be getting instead of just aiming to profit from selling me the system.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
82087,Stuart,SA - 5065,SA,5065,True,2021-07-25,25 July 2021,4.5,,Sales person was knowledgeable and happy to spend time discussing my priorities. Installation team were professional. Just waiting for a sunny day to check system performance !,4.0,4.0,5.0,5.0,8kW,"$6,000 to $8,000",JA Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
91342,Dave,SA - 5086,SA,5086,True,2021-07-08,08 July 2021,5.0,,"Very happy to be introduced to Living Energy thru Solar Quotes. They were easy to deal with and quick to reply and visit our house and Quote . I was happy with the options offered and their prices were very competitive. I did ask some of the Questions as suggested by Solar Quotes and was happy to get positive answers to all of them. Gave me confidence to proceed and the installation guys were on time , pleasant and the job is very tidy as expected. We now have the meter installed and and Living Energy returned to set up the wifi / cloud monitoring etc .Even in the middle of an Adelaide winter the system is performing very well. - Dave Hillcrest SA",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
83164,Susan,SA - 5095,SA,5095,True,2021-07-02,02 July 2021,5.0,,"Everything went smoothly, installed on the day they said they would. Installation was over two days due to weather conditions (pouring rain) they kept me informed of the progress. The invertor was placed where I had requested without any issues. When the job was finished, they tidied up, and removed any rubbish and had organised for Origin to replace meter.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",SolarWatt,Solaredge,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solarwatt.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
