review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
97724,John,NSW - 2204,NSW,2204,True,2022-02-10,10 February 2022,4.5,,"Quote and Sales meeting was excellentOperation of panels was clearly explainedThe installation took longer than expected but job was completed with no faults, so far .Lokic sent us the information to forward to our supplier.We would recommend Lokic.",5.0,5.0,4.0,4.0,7kW,"$10,000 to $12,500",Trina,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
97107,Ian,NSW - 2026,NSW,2026,True,2022-01-20,20 January 2022,5.0,,The Lokic Energy team clearly understand customer service.Making the effort to visit the site to clearly understand the needs of the customer (helping deal with any areas of concern/lack of understanding) and any challenges that the installation may bring for me differentiated them from other suppliers.The installation process itself was painless and the on-site team were friendly and professional to deal with.I would highly recommend Lokic Energy Solutions,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Trina,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
95146,Graham,NSW - 2019,NSW,2019,True,2021-11-10,10 November 2021,5.0,,"Nick Lokic kept me informed during a rain delay of one week, good planning all the way . The first opportunity Nick and his team were up on the roof and installation was completed in one day. I am not an electrician , but I can tell expertise experience and professionalism when I see it.One of the big differences between Nick and other Solar panel installers is that Nick OWNS the company, and has been in business for over 20 years. So you are dealing directly with the installer , there are no subcontractors used ,who can disappear overnight, having installed dubious kit. Nick ,as owner of the company takes 100% responsibilty and control  over the installation process. The 10 year installation and workmanship warranty just confirms the integrity in his setup.I am one of 50 townhouses in a medium size complex, so I thought this may all be too hard,  with stratas , connections to the grid in a communal complex, individual contracts, but It all went very very well and certainly did not "" phase"" Nick and his team.I am currently sitting here ,looking at my phone app, which is telling me how much Electricity the panels are generating,how much electricity the house is consuming, and how much electricity we are we are pulling in off the grid.All in real time. Nicks team assisted in setting this up. This is just too cool for school.I cannot recommend  Nick,his team and Lokic Energy highly enough.Graham Kyd",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,SolarEdge,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
94883,Meg,NSW - 2015,NSW,2015,True,2021-11-03,03 November 2021,5.0,,"I'm extremely happy I chose Lokic. The products they use are carefully chosen and the service is friendly and professional. There was a proper site visit and inspection undertaken and I was given clear and honest advice about my choices. Most importantly for me, I only needed to deal with one company - Lokic - for everything, and they will continue to remotely monitor the system so I can contact them if I have questions or need assistance in the future. I would absolutely recommend them.",5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",Trina,Goodwe,Dyness,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_dyness.png']",0,0
94565,Mark,NSW - 2040,NSW,2040,True,2021-10-22,22 October 2021,4.75,,"A very good experience overall with Lokic throughout the process. They came onsite to quote and explain the proposed system and installation process. They installed everything in one day and were very consultative around where to place panels and the inverter. A good friend in the business was amazed such a complex installation was done in one day - Nick and his team really delivered everything as stated and on time and didn’t leave until everything was tested, working and demonstrated. Highly recommend Lokic to anyone.",5.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,SolarEdge,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
94544,John,NSW - 2031,NSW,2031,True,2021-10-21,21 October 2021,5.0,,We received great advice on the appropriate system for us. The installation was without any problems and Lokic Energy Solutions basically worked around what suited us. Very polite and no mess at all - excellent customer service and everything required for grid connection was arranged. I would thoroughly recommend Lokic Energy Solutions.,5.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",,SolarEdge,,,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
92931,Ben,NSW - 2026,NSW,2026,True,2021-09-02,02 September 2021,5.0,,"The whole process was fantastic with the Lokic guys. They were happy to come round a couple of times (at my request) to talk through the proposed system. Installation went smoothly, and the system is humming! I would unhesitatingly recommend Nick and the boys from Lokic.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,,,,,,False,[],0,0
91677,Marion,NSW - 2037,NSW,2037,True,2021-07-22,22 July 2021,4.5,,"Lokic were really helpful. Knowing we were intending to go away (sadly thwarted by lockdown), they hurried the installation forward when they had a cancellation. They were fast, tidy and efficient. They sent a plasterer to repair a hole in the verandah ceiling and an electrician to fix a fuse ready for smart metre installation.",5.0,5.0,5.0,3.0,4kW,"$4,000 to $6,000",Trina,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
88261,Hery,NSW - 2018,NSW,2018,True,2021-03-28,28 March 2021,5.0,,"Happy For everything... i would recommended Lokic Energy Solutions to everyone.Very professional, tidy and polite. The process installations went smooth till the end.5 stars installer",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",Trina,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
88092,Vivienne,NSW - 2021,NSW,2021,True,2021-03-23,23 March 2021,5.0,,"We got three quotes and we selected Lokic Energy Solutions. I was impressed with the James who provided the original consultation - he answered all my questions and explained everything clearly. There's a steepish learning curve when you install solar, quite a lot to get your head around, but none of this seemed a problem for James.We then had three installers, plus the boss Nick Lokic, arrive promptly as promised the following week to install. Nick made the original introductions then left his installers to it. They worked extremely hard - we live in a tall, awkward terrace house with the panels to be installed on one side of the house and the inverter and power box way down below on the other side. I'm sure it was not the easiest installation. The guys were determined that we wouldn't have any ugly extra power cables and somehow managed to feed everything through a near non-existent roof cavity so that there was nothing unsightly.Somehow, the SolarEdge inverter turned out to be faulty and 'gave up' after 24 hours. Nick worked this out even before we did and phoned me to say the installers would be back the next day to swap it over. This fault was nothing to do with Lokic Energy. Finally, Nick provided me promptly with the necessary paper work to file with our energy provider so as we can get credits for what we feed into the grid.All in all, very happy customers.",5.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",Trina,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
