review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140218,Ray,QLD - 4069,QLD,4069,True,2025-11-20,20 November 2025,5.0,,"Installed by MC Electrical in Eagle Farm, Brisbane.Having had my 10kW solar panels and Tesla battery installed in July, I wanted to evaluate their performance over time before providing an honest review. With a technical background, I conducted extensive research on solar solutions before making my decision. After several months of ownership, I am extremely satisfied with the product, as I write this review from my air-conditioned room, which incurs no running costs.The entire process, from the informative sales experience with Nicole to the installation and post-installation support, has been exceptional. Nicole demonstrated extensive product knowledge and presented a variety of options, ultimately guiding me to select a 9.7 kW array with a Tesla Powerwall 3 Battery, all without any sales pressure.Communication with the company, facilitated by Joanna, was thorough and left no room for uncertainty. On installation day, Alan and the team executed the project seamlessly, reflecting their excellent training and coordination. This was a key reason for choosing this company; they employ their own tradesmen and apprentices, ensuring cohesive teamwork. The installation was meticulous, with cable runs perfectly aligned with the house's aesthetic, making them nearly invisible.In summary, my choice was based on several factors:- The company is solid and well-established, a testament to Mark Cavanagh's leadership and commitment to employee training.- The product is first-class, with all components tested firsthand at the MC Electrical site.- The staff were professional and efficient.- The pricing was competitive and justified.I highly recommend this company for their honest and reliable service. Well done!  Ray Chapel Hill",5.0,5.0,5.0,5.0,10kW,"More than $20,000",Canadian Solar Inc,,Tesla Powerwall 3,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
129425,Sam,QLD - 4105,QLD,4105,True,2025-11-01,01 November 2025,5.0,,"From the first quote through to installation, the team at MC Electrical were fantastic. The initial quote went through all of the details, pros and cons of each brand, ran through all of the options so that we were able to make an informed decision.  Between quote and installation there was a site visit by an electrician to make sure everything was accounted for and that nothing had been missed prior to installation.  Installation day went smoothly, the team arrived on time, and completed the works with no issues. After sales support has been fantastic for any questions we have had and the system has been running perfectly since installation.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5cb3574fb5378a1419e35f18ad695cb20.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6bbf68075689225d8dd1faca31e1bb791.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bf1d9c280527aee80e6b5fdff867e66b2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/630fed40d44aeea283102e688be492693.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4e4eb66e74e562857e85b0db4e8ccd184.jpg']",0,0
136312,Matt,QLD - 4017,QLD,4017,True,2025-08-21,21 August 2025,5.0,,"Seemless and professional experience from quoting through installation and post install communication.  MC have set the bar for customer service in any industry.I look at solar as an investment in not just the hardware and installation, but the ongoing relationship and support.  Given the experience to date I am very confident that MC will assist for the years to come.Exceptional work!",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Canadian Solar Inc,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
136284,Wesley,QLD - 4573,QLD,4573,True,2025-08-20,20 August 2025,5.0,,"MC electrical have been fantastic throughout the entire process, from quote to after sales service. The price quoted was equal to or better than other providers for a higher quality system. The communication throughout has been amazing, even though the install was subject to significant delays on my end due to the construction of our house being delayed. The installers were friendly, polite, knowledgeable, and helpful, and the installation is high quality. In fact, most of our new distribution board was reconfigured so that they could fit everything required in neatly (at no additional cost to us). Overall, MC Electrical have fitted in with our needs and delivered a high-quality system and service. I recommend MC Electrical to anyone seeking a solar system.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
136276,Karl,QLD - 4121,QLD,4121,True,2025-08-20,20 August 2025,5.0,,We generate way more than we need on an average sunny day and the setup is easy to use.   I now have a 1st world problem of trying to get the best price for excess energy I don't use after my battery is full.   Thanks to the team at MC Electrical for such a brilliant experience and installation.  Installation was complex but the team did it efficiently and professionally and no mess.   Quality of workmanship is also reflected in the professionalism they showed during time onsite…and they left no mess.,5.0,5.0,5.0,5.0,15kW,"More than $20,000",Canadian Solar Inc,Fronius,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c6ca7510151b07fbef7b1ee3a95149110.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1b6b43231c487c33757610cbc234b3781.jpeg']",0,0
135841,Francis,QLD - 4151,QLD,4151,True,2025-08-05,05 August 2025,5.0,,"-Had a BYD battery installed to a existing system by another company.-Quoting smooth and not pushy. Very knowledgeable.-Day of install, great communication from the electricians. Some delays in the delivery of parts but didn't cause any trouble on our part.  they stayed late to get the job done that day. overall very impressed.-They followed up afterwards to check if there were any issues and are going to send out to fix a small issue with the previously installed catch relay for free which I think is great customer service.Overall very happy with the experience. Compared to the company who did the initial solar (which were still very good) I would say they are much better and would recommend them to anyone needing Solar/batteries installed.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,BYD,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png'],0,0
135830,Jim,QLD - 4179,QLD,4179,True,2025-08-04,04 August 2025,5.0,,"MC Electrical are a great company to deal with. From the quoting,  to the installation process they were great people to work with.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
135717,Shane,QLD - 4170,QLD,4170,True,2025-07-30,30 July 2025,5.0,,"We had purchasing solar on our bucket list for the house since we purchased it about 8 years ago. The idea of purchasing solar was always a daunting one, learning about the tech, the cost and of course trusting a supplier / installer.So when the time had come to finally tick solar of the ""to do"" list we used Solar Quotes to look for reputable installers in our local area. We received three quotes, one of which was MC Electrical who we ended up going with. From the very beginning we found the process of working with MC Electrical to be excellent. The whole team just worked, Nicole, our solar consultant, was personable, direct and incredibly knowledgeable.Bek in admin was always helpful over the phone and helped guide us through the process leading up to install. Install day came and the team was incredible. From the guys on the roof to Josh and Lawrence on the ground, the install was carried out professionally, respectfully and neatly (probably the first time I have ever seen sparkies clean up). They made sure the batten screen was structurally sound prior to battery install before Alan came and worked his magic and hooked the battery up.They provided an overview of the work carried out and shut down procedures in case any issues arise.We would not hesitate to recommend MC Electrical for anyone looking at installing solar.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Canadian Solar Inc,,Tesla Powerwall 3,5.0,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
135422,Hilton,QLD - 4075,QLD,4075,True,2025-07-18,18 July 2025,5.0,,"MC Electrical were brilliant from end-to-end. They were communicative, courteous, prompt, treated my home with respect, and had a high degree of work ethic and workmanship. They are very busy installers in Brisbane, and I can see why. But they're worth the wait!In comparison to 3 other installers that I interacted with, MC Electrical stood out as being calm and quietly confident in their offering, without any upsell, misinformation, or false urgency. They treated me like an engineer and so pitched their information at the right level. I had already played around with a system layout in Pylon, and worked together with their solar designer to tweak and optimise it, which was fun. Their final price was competitive, they were able to squeeze me into their schedule early, and they were considerate of the finer details. For example, their racking system is made locally in Brisbane, and had well designed feet for my old Queenslander's roof.Huge thanks to the whole team. Now my home is nuclear powered (from a safe distance)!",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Canadian Solar Inc,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
135419,Tom,QLD - 4054,QLD,4054,True,2025-07-18,18 July 2025,5.0,,I just want to take the time to praise MC Electrical for their efforts from start to finish. From working with Jason to design the perfect solar and battery system for me all the way through to Adam and the team for the seamless installation and commissioning process. The crew was always on time and happy to answer any questions I had. The installation looks perfect with attention to detail at the highest level. Thanks again.,5.0,5.0,5.0,5.0,13kW,"More than $20,000",Canadian Solar Inc,,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
