review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140529,Nathaniel,SA - 5074,SA,5074,True,2025-11-26,26 November 2025,5.0,,"Getting solar installed by MDB Solar was seamless and smooth. Marco walked me through the whole thing with the calm confidence and professionalism with an old school touch.Bianca kept the comms sharp and stress-free, no chasing, no guessing and even followed up when we had issues that we didn’t even know about.The install team were fast, tidy and respectful of our home like a crew that’s been doing this since before solar was cool.The pricing was unbeatable considering the amount of service you get fromIf you want solar done right, with the old school touch and new school tech, MDB Solar is the move.I would highly recommend them to anyone wanting solar.",5.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",I don't know,Goodwe,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
140478,David,SA - 5011,SA,5011,True,2025-11-25,25 November 2025,5.0,,"After obtaining various quotes, we found MDB solar to be the most value for money without compromising quality. The process was very professional from our initial contact with Adrian who work out our needs and also considered our future usage, to the efficient installation from Domenic and the team and also a follow-up from Marco to ensure everything was to our expectation and satisfaction.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Aiko Solar,,,5.0,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png'],0,0
140351,Robert,SA - 5097,SA,5097,True,2025-11-23,23 November 2025,5.0,,"Great install, very neat, tidy and professional. Communication was excellent all through the process and they were punctual on the day with a text notification before they arrived. I am also very pleased with the design layout on the roof too. All in all I am very happy with the end result and would recommend them to family and friends.",5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
139592,Brian,SA - 5032,SA,5032,True,2025-11-08,08 November 2025,5.0,,"Obtaining written quote was easy and quick, good advice given on options and configuration and quote was clear.  Installation set up around our availability and team arrived when they said they would. Conditions on the day were rainy and cold but guys worked through and got the system installed and configured in one day.  Very happy with the performance of the system and the associated app which lets us monitor and control.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,Sungrow,Sungrow,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sungrow.png']",0,0
139134,Robert,SA - 5109,SA,5109,True,2025-10-29,29 October 2025,5.0,,2nd time using MDB Solar - first time was getting our solar system installed a few years ago.This time was a battery.Both times the communication before + install team have been very easy to deal with and made sure everything was setup right.Will be using them again in the future if I need to do anything else solar/battery related.,5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,,,,,False,[],0,0
138778,Trevor,SA - 5089,SA,5089,True,2025-10-21,21 October 2025,5.0,,Reliable honest company to deal with.Visited my home pre quotation to view location of installation of new battery and also electrical upgrades by company technicians.Quote was very competitive and after discussing with the Owner Marco i was very comfortable to go ahead with the installation.Quality of product and workmanship was excellent.Installers were employees of MDB Solar and not subcontractors was another selling feature,5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0911ba7d263c326d35ab5c4de413bc0f0.jpeg']",0,0
138457,Scott,SA - 5114,SA,5114,True,2025-10-13,13 October 2025,5.0,,"Marco and his team installed a 12.76 KW system with 25kw Sungrow batteries with Jinko panels to my house. We thoroughly recommend MBS solar, Marco 's communication was so good. Marco organised everything in regards to my installation. I always felt comfortable with the lead times of installation. Quality of the work was excellent, installation was done in one day. System working straight away, no issues at all. We are so happy. Thank you Marco and MBD solar  team",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/824f2986afd7fd3b93ee4de8981d54d70.png']",0,0
135627,Steve,SA - 5095,SA,5095,True,2025-07-26,26 July 2025,5.0,,"Extremely happy that we chose MDB Solar to replace our old solar system with a new solar system & battery. Marco & Bianca were friendly & helpful during the quoting process & in organising the timing of the installation after we decided to accept their quote. The installation was well organised & Domenic & the team were punctual, polite, professional & friendly. The system was neatly installed, the site tidied & a visual explanation of the various components & changes to the electrical switchboard was given. After sales service has also been excellent in following up the battery rebate & providing an extensive user manual. The new solar system has been working for about 2 months & the battery for nearly a month & are going really well. We have no hesitation in recommending MDB Solar.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Aiko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
135402,Mick,SA - 5084,SA,5084,True,2025-07-17,17 July 2025,5.0,,"I have nothing but positives to say about my experience with MDB Solar. Marco was both helpful and informative with any queries I had regarding my solar/battery selection. His no pressure attitude made dealing with him a delight. I also found the installation team that worked on my job to be friendly, polite, and professional, and most importantly, they did a great job. Thanks, Marco and team.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Trina,Goodwe,Goodwe,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_goodwe-battery.png']",0,0
133011,Kat,SA - 5049,SA,5049,True,2025-05-01,01 May 2025,5.0,,"I went with MDB Solar because they didn’t overwhelm me with a sales pitch. Their quote was not the lowest or the highest and after doing some research, I found their panels and inverter to be mid range good quality. Marco was very helpful with any questions and was happy to listen to my enquires about my meters to make them safe in an affordable way unlike others who used scare tactics to make you spend a thousand or more on top of the solar. The installation guys were great, arrived when they said and all went smoothly. Looking forward to seeing the savings. I recommend MDB Solar.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
