review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
133992,Allen,NSW - 2114,NSW,2114,True,2025-06-01,01 June 2025,4.0,,Just a solar install.Have used this company before for a small solar job and found their work met requirements.Why not give them a chance for this install?Quote was competitive received in reasonable time.Quote backed up by sufficient data and documentation.Install went smoothly with no issues. I was always advised on times installers would be working.Once system installed operation was explained and also office provided backup assistance.,3.0,3.0,5.0,5.0,7kW,"$10,000 to $12,500",Canadian Solar Inc,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
130734,Lindsay,NSW - 2114,NSW,2114,True,2025-02-14,14 February 2025,5.0,,"MPV were extremely helpful advising which solar battery to install and the best system configuration for our home. The installation of the battery was carried out professionally. Installation staff were punctual, friendly, and polite. They kept us advised ahead of every step in the installation process. Post-installation service has been excellent. MPV were extremely helpful in organising the grip connection and showing up how to monitor the performance of our new system. Highly recommended.",5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,SolarEdge,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png'],0,0
130177,James,NSW - 2024,NSW,2024,True,2025-01-26,26 January 2025,5.0,,"Having spent 2.5 years building my home and dealing with many subcontractors, i can honestly say that in all aspects the Team at MPV out performed the market in all aspects of Quality and Customer service. I got from my experience in commercial construction a subcontractor that performed a residential project on a level with that side of the industry. Very unusual in residential building. well done to the team.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,,,,,,False,[],0,0
118489,Ian,NSW - 2047,NSW,2047,True,2024-01-18,18 January 2024,5.0,,"Right from the beginning MPV were professionals. It started with Sonia arranging for a quote that was easily carried out via email, which also included the grid connection and smart meter install and the government rebate. Then came the site inspection with Matt, with the installation day less than two weeks after starting the whole process. Matt and the install team were professional, respectful and very informative. I ask a lot of questions and all were answered wonderfully. Following it all the the back-up with App explanation etc was also a pleasure.You often receive great service from someone in a company but rarely do you get it from all members, admin, electricians, installers and even the CEO. Awesome company to work with, thank you.",5.0,5.0,5.0,5.0,5kW,,Canadian Solar Inc,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
118250,Glen,NSW - 2045,NSW,2045,True,2024-01-10,10 January 2024,5.0,,"Matt was very helpful and knowledgeable about the entire sytem and my requirements. The quoting process was simple starting with a remote view of the roof and followed by an onsite inspection. The installation was unbelievable with a team of people turning up in the morning and having the system installed and operational by lunch time, very impressive. Communication was prompt throughout the process and installation was completed only weeks after a quote. A few terracotta tiles were broken in the installation process, but this was proactively flagged and we had a few spares so there were no issues. The installation is very neat and clearly done by someone that takes pride in their work.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Canadian Solar Inc,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
117522,Michael,NSW - 2111,NSW,2111,True,2023-12-13,13 December 2023,5.0,,"I have been doing alot of research about solar and battery setup and everyone in the facebook community group has suggested Matt and the MPV team.Sent them an email to enquire on the setup and Matt came on site to do a site visit and provided recommendations and the best way to setup the system.The team came to do the setup were so professional and polite, our tiles were abit old and Matt's team went to replace almost half of my tiles as his team needs to ensure the panels are safe and secure and won't cause any leak.I am so happy with the setup and the work done by the team, I truly recommend MPV to anyone looking for a solar and battery system..",5.0,5.0,5.0,5.0,7kW,"More than $20,000",,SolarEdge,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
116853,C,NSW - 2111,NSW,2111,True,2023-11-24,24 November 2023,5.0,,"MPV were awesome to work with, the took great care through all stages of the process and were a pleasure to have on site during the installation too. I would highly recommend them to anyone.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,,,,,,False,[],0,0
116536,Harvey,NSW - 2111,NSW,2111,True,2023-11-13,13 November 2023,5.0,,"MPV Group were terrific. They responded to my enquiry quickly, coming out to the home for a site visit within a few days. Matt was polite and professional, turning up right on time.  MPV is a professional business, using quality products, with installation from a reliable and qualified team.  Our installation was set up quickly, professionally and without fuss. The installation team were polite and knew what needed to be done and did so efficiently.  Connection was mostly done in a day by the team, with fine tuning the next to get online and operational. Instructions were efficiently provided to tap into the relevant app which provides great information on generation and usage.  MPV liaised with my electrical provider to inform them of solar installation details. Well done to Matt and your entire team.  As a customer you cannot ask for more.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Canadian Solar Inc,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
116085,Sam,NSW - 2042,NSW,2042,True,2023-10-30,30 October 2023,5.0,,"It has been a pleasure having MPV group working on our home. Management, office and site staff are professional, friendly and responsive. Our system was installed as part of a complicated inner-city home rebuild and MPV showed outstanding flexibility as an important part of this progress.",5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",,,,,,,False,[],0,0
114732,Susan,NSW - 2026,NSW,2026,True,2023-09-21,21 September 2023,5.0,,"MPV Group were recommended to us by via word of mouth.Their response to our initial enquiry was prompt, polite and fulsome. Their explanation of our solar options were comprehensive and understandable.On installation day, Matt and his team arrived on time and did not stop working until the job was done. It was a stiflingly hot day, but they just kept going. I am delighted to say they cleaned up after the work was complete, and we would not have known such a big job had been completed, had we not been here. They kept us up to date during the installation and commissioning and we could not have asked for more.Our grid connection was all undertaken and completed by MPV, and it was absolutely seamless for us.We have already recommended MPV to two friends.",5.0,5.0,5.0,5.0,5kW,"More than $20,000",SolarEdge,SolarEdge,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
