review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
131939,Kathy,QLD - 4500,QLD,4500,True,2025-03-28,28 March 2025,5.0,,"Communication from start to finish was excellent, installation was done quickly and efficiently.",5.0,5.0,5.0,5.0,20kW,"$8,000 to $10,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
127994,Allan,QLD - 4019,QLD,4019,True,2024-11-16,16 November 2024,5.0,,"Well I had three quotes.  2 were great, sincere and helpful.  The third was not.Installation was as expected with leaving it all as it was, no rubbish and very efficient with the installation.I had to unexpectedly leave so I never got the low down on the operation but that was my fault.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Trina,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
126255,Christian,QLD - 4504,QLD,4504,True,2024-09-24,24 September 2024,5.0,,"Leaving a good impression from the first moment of contact, they have been punctual and professional with the installation and explained well the system so I as a user get most out of it. When there was an issue at one stage, they reacted promptly, investigated and fixed it at no cost without any hassle. I can highly recommend them.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
125097,Andrew,QLD - 4053,QLD,4053,True,2024-08-17,17 August 2024,4.5,,"Took the time to explain how the system works happy to answer any questions, good value for money, great quality of workmanship",5.0,4.0,4.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
113088,Hamish,QLD - 4012,QLD,4012,True,2023-08-06,06 August 2023,4.0,,"One out of three tenderers didn't even bother with a home visit, even though it was specifically requested - they were immediately not considered any further.One tenderer both on the phone and at the home visit just spoke in circles and didn't seem to fully and adequately provide answers to questions asked - plus the price offered for the STC was considerably lower than the others.The tender selected was because the person conducting the home visit (the business owner) could very clearly and in fully understandable words answer and explain every question put to them. They were also the only one who undertook an app based ""shade assessment"" that led to a good discussion on the different options for the solar panel configuration on the roof. I had to wait about four weeks before they were available for the installation, but I was quite happy to do so. The installation itself was undertaken over two days and proceeded without any issues.Now waiting for the installation of the new smart meter by Energex before the system can go live.",4.0,4.0,4.0,4.0,10kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112160,Moira,QLD - 4034,QLD,4034,True,2023-07-08,08 July 2023,4.5,,"Company was easy to deal with, flexible and answered all my questions, even the follow up questions weeks after the installation was completed",4.0,4.0,5.0,5.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
107145,Andrew,QLD - 4061,QLD,4061,True,2023-01-08,08 January 2023,4.75,,"Really easy to deal wi try, and have been super responsive with a few minor hiccups we’ve had getting it all working. Would recommend.",4.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",Trina,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
101586,Eileen,QLD - 4061,QLD,4061,True,2022-07-22,22 July 2022,5.0,,"Alex came to visit at the home to discuss what we needed and how we could work around planned renovations to quote for the best option for our solar installation. Alex was honest and not at all pushy - which was a refreshing change.As the installation was tricky (high pitched, tin roof, obstructing trees/foliage), four guys worked together to get the installation done. There was an initial hiccup/miscommunication with placement of one of the rails (the panels would be placed where skylights will be placed in the renovation) but the installers removed and repositioned with minimal fuss.The installers cleaned up after themselves thoroughly, they were polite and punctual.I would not hesitate to recommend Alex and the team for any tricky solar install!",5.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Jinko Solar,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
99530,Michael,QLD - 4520,QLD,4520,True,2022-04-29,29 April 2022,4.75,,"Macdonald air and electrical recently installed our 11.1kw solar system with almost 8kw battery.The service was excellent from start to finish, and the installation went smoothly. Would recommend to anyone.   Looking forward to our offgrid lifestyle.",5.0,5.0,4.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sungrow,BYD,,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ffa2fb5ef37a1a182a4f6c408fdce1a80.jpeg']",0,0
95992,David,QLD - 4017,QLD,4017,True,2021-12-08,08 December 2021,4.75,,"Alex MacDonald offered a competitive price for a system to run our house off grid. The quoting system was easy to follow and approve.Although the installation took quiet a long period to get everything installed and working, the persistence got it all sorted.The old system was removed and the new Solar Panels(33 x 370w) went up with a slight adjustment to layout. We have 4 strings of varying sizes, one to each compass point to maximise the sun movement during seasons and day. The 2 x 5.0kW Fronius Invertors(Primo Snap & GEN24) installed on external wall. Their was a supply chain delay with the 11kW BYD Battery Box by a month. When the battery box did arrive the battery installation was straight forward. We did have a time in configuring the Full Backup to work, after many calls to Fronius Tech support, and finally got it all working after attempts. Overall very happy its all now working considering the number of components.",5.0,5.0,4.0,5.0,13kW,"More than $20,000",Jinko Solar,Fronius,BYD,5.0,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8f66eb05e4aa2a53460e75a5757528571.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/29a5f45213897ed897df53dbdb4c2d692.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2917620b35e2fc68e8a280cae42392673.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/42167bab55d82319e4a007c9d4d952615.jpeg']",0,0
