review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
125048,Michael,NSW - 2429,NSW,2429,True,2024-08-15,15 August 2024,4.75,,Recommend Mackies professional neat and tidy tradesmen great instal no mess,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Winaico,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
120770,Alfred,NSW - 2441,NSW,2441,True,2024-03-30,30 March 2024,5.0,,"This is a Hybrid system, so the cost include one additional Hybrid Inverter and upgrade to Spec of the existing one. Plus an additional 24KWH in LFP storage batteries.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Winaico,,,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif'],0,0
93958,Harry,NSW - 2430,NSW,2430,True,2021-10-01,01 October 2021,5.0,,"All went well, very polite and on time, 4 tradesman, less then a days work, more than happy with Mackies !!",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",I don't know,SMA,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
72794,Stephen,NSW - 2427,NSW,2427,True,2020-09-30,30 September 2020,4.0,,Quote and explanation of different systems and prices excellent. Installed promptly and efficiently in time quoted,4.0,4.0,4.0,4.0,6.6kW,"$8,000 to $10,000",LG,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
76324,Judy,NSW - 2430,NSW,2430,True,2020-05-04,04 May 2020,4.75,,"Mackies were clear, helpful and professional. We weren't able to be at the property physically but their excellent service enabled the whole installation process to go off without any issues.",4.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",LG,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
69715,Catherine Anne,NSW - 2430,NSW,2430,True,2019-10-27,27 October 2019,5.0,,"Excellent Mackies sales representative, Scott, told us what we needed to know and the staff at Mackies in the follow up quotation were particularly professionalThe Mackies installation team were on time actually early, no mess, and very courteousMackies Customer service organised the grid connection, prepared the paper work",5.0,5.0,5.0,5.0,1.5kW,"$6,000 to $8,000",Suntech,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
19184,Megan,NSW - 2430,NSW,2430,True,2013-07-01,01 July 2013,4.0,,"Mackies weren't necessarily the cheapest, the price was competitive, I chose them because the company has a long established business if backup is ever needed and it keeps local people employed.",4.0,4.0,4.0,4.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
18647,Terrence,NSW - 2429,NSW,2429,True,2013-05-14,14 May 2013,3.0,,"Raised discolouration issues 42 panels out of 56 and apparent reduced output (12 months old).  Mackie Electric & Refrigeration have never come for site visit, flicked me to BP Solar.  BP Solar stated that ""snail trails"" are not a warrantable and if I want to test the output I have to pay.Also Mackie Electric & Refrigeration stated they could not test output even though they supplied and installed the system.I am currently pursuing the matter through the Consumer, Trader & Tenancy Tribunal.",4.0,4.0,3.0,1.0,More than 6kW,"More than $20,000",,,,,,False,[],0,0
17717,Eleanor,NSW - 2429,NSW,2429,True,2013-02-20,20 February 2013,4.0,,"I was very happy with the professionalism and efficiency of this company. We were in the process of buying the house when choosing our system, and helpful additional information would have been: Essential energy did not require us to be the current owner of the property to find out the NMI number, or even to sign and submit the required Grid Connection Application form. If we had known this we would have got underway sooner! We were lucky to get inside the deadline for the latest RECs change, so saved an additional $900 cost. I think all installers should be able to advise prospective home owners on this detail.",4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
1522,Paul,NSW - 2430,NSW,2430,True,2010-07-05,05 July 2010,5.0,,"Not yet installed! Expected next week. Seems there is a shortage of inverters.The supplier/installer we chose had the best package: 12 page booklet which answered just about all my questions, a very competitive price, did not try to rip me off on the value of the RECs, good financial model on payback etc.So, subject to installation - very happy.",5.0,,0,5.0,4kW,"$15,000 to $20,000",,,,,,False,[],0,0
