review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
129602,Gerard,VIC - 3041,VIC,3041,True,2025-11-07,07 November 2025,5.0,,"The quote process set these guys apart from the rest, an individual site inspection helped choose some alternative products to suite shading, not just a salesman telling you what you want to hearThe installation work was punctual with the guys committing timeframes and achieving themI had cooktop, heat pump, panels and batteries installed with guys all over and under my house. The guys worked round our family with little interruptions.After installation there were some teething issues with software and commissioning. Evan and Dave were fantastic sorting this out whist consulting with the manufacturer.They even came to my house 2 days after Christmas to help me out.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Aiko Solar,Sigenergy (Other),Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9e4ca88cff5e7bdc58a1bdc5129f79050.jpeg']",0,0
138276,Richard,VIC - 3011,VIC,3011,True,2025-10-07,07 October 2025,5.0,,"I would strongly recommend Mahoney and Da Silva to anyone looking for a solar and battery installation. Out of the three companies that provided quotes, they were the only one to come and quote in person. This was really important, as our roof is very different to how it appears on Google Map's satellite images! They even managed to work around the complex shade issues provided by trees near our property, and delivered a perfectly optimised system.When the time to install it all came, they were punctual, courteous and worked very efficiently. We had a quite a few spells of bad weather, but they always took the opportunity to finish the job as quickly as possible when the good weather rolled around. They had great communication throughout the whole quote and install; I was never left wondering when they would show up.Since the install, the solar and battery system has been perfect for our needs and hasn't skipped a beat. I think we'll definitely contact them again in the summer when we want to change our gas hot water system over to a heat pump.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/83d2879c2245038a67931fdf7006e8590.jpg']",0,0
137159,Frank,VIC - 3270,VIC,3270,True,2025-09-12,12 September 2025,3.25,,"This is the third system I've had installed, with both the previous ones being done by large/mid scale installers, and both were trouble free with a satisfactory process and outcome. This time around I decided to try one of the three referred by Solar quotes and I chose this small scale owner-operator expecting a more personalised and still trouble free process and more active customer service. I was keen to support a small developing business.The quote process was straightforward and David was happy to provide a number of versions as we worked through the options to deal with my own and council's requirements (heritage overlay). The installation was also relatively straightforward, after we had one agreed reschedule just before Christmas. It was completed after the holiday period over 2 days. Once completed I was advised about the need to connect the system to the internet on an ongoing basis, which was news to me and had not been raised before. We are low internet users and rely on a 4G Mobile Internet Device which meets all our needs. However the Goodwe inverter would not connect. To cut a long story short various attempts to connect the system using different equipment did not succeed. Over a number of months, including supposedly waiting for Goodwe to supply a new WI-FI Dongle, the customer service deteriorated to the point that David stopped responding to calls and messages. Eventually I resorted to calling Evan and he was appropriately responsive and made significant efforts to connect the system without success. Eventually I was left to contact Goodwe directly, which I did a number of times, with Evan also not returning my call. After a number of calls and following Goodwe's advice eventually the system connected, but it was still not exporting any power (I know the current feed-in tariff is insignificant, but that's not the point). Eventually, just a few weeks ago (in August) I assume Goodwe discovered the export problem related to the post installation paperwork not been completed. Suddenly I received advice from my distributer and retailer advising receipt of relevant paperwork from the installer, and soon enough as if by magic the system was registered and exporting - all the while not a word from the installer. Throughout the post installation process I was made to feel like a difficult hard to satisfy customer, when in fact it seems that the problem all along was incomplete documentation by the installer. And still not a call to explain the issue, it's resolution, let alone any admission of responsibility or expression of regret. On that basis I can't recommend this installer. Next time I will likely stick to an established reputable higher volume provider with an established customer service charter and a issue resolution process that works and is not person dependent.",4.0,4.0,3.0,2.0,5kW,"$4,000 to $6,000",Aiko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
136768,Kynan,VIC - 3032,VIC,3032,True,2025-09-03,03 September 2025,5.0,,"I recently got solar and battery system from David and Evan at Mahoney and Da Silva.First, David came over to do the inspection as part of the quote which was really appreciated as our property roof is not straight forward. David made the effort to maximise the number of panels we could fit. He was also very supportive during the design process and was able to come over and re-measure and re-quote when the design changed. This extra effort was really appreciated.When I had questions, David was always happy to answer and give me confidence that the system he designed was going to perform well.I was also really happy with the components they supply, the Aiko panels and Sigenergy battery are both well recommended and I'm very happy with them.We have had the system running now for over a week and basically self-sufficient off grid, so really happy.I definitely recommend David and Evan to do solar and battery install.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136066,Paolo,VIC - 3037,VIC,3037,True,2025-08-13,13 August 2025,4.75,,"Good guys, polite, honest and professionals. Extremely happy with the installation process",4.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
135923,Fady,VIC - 3047,VIC,3047,True,2025-08-07,07 August 2025,5.0,,"I would like to recommend Mahoney and Da Silva Pty Ltd for their outstanding service. Evan and David are qualified electricians who personally handle all aspects of the solar system installation process, without subcontracting. This ensures direct communication throughout the project. Evan conducted an on-site inspection and provided a highly competitive quote. They took care of all the paper work and saved me a lot of time. An appointment was giver relatively quick and the installation process was very smooth with no issues I am very satisfied with the quality of their work and the installation itself. Additionally, both David and Evan were meticulous about cleanliness, ensuring that all waste was removed upon completion. Thank you for your excellent service. They are honest and transparent. No hidden fees or extras and recommends what is best for your property.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
133854,Evelyn,VIC - 3039,VIC,3039,True,2025-05-27,27 May 2025,5.0,,"Super fast turn around on quoting, highly competitive quote and was able to book the job in within the month.Dave & Evan also went above and beyond to make sure the install went smoothly and were great at keeping us posted on progress. Super happy with the installed inverter, panels & heat pump.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Aiko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
130245,Pat,VIC - 3065,VIC,3065,True,2025-01-29,29 January 2025,5.0,,Dave and his team handled the installation of our system in a professional and enthusiastic manner. They came and visited our house within 24 hours  of receiving my request for a quote. Our roof layout is not ideally orientated and difficult to access  and I had been advised by other companies that it would be too difficult to Instal a viable system. However we overcame this and a total of 11 panels were installed. The system produces  much more power than I anticipated and we are very happy with the outcome.,5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",Aiko Solar,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
129162,Arthur,VIC - 3012,VIC,3012,True,2024-12-18,18 December 2024,5.0,,"The entire process was very easy thanks to Mahoney & Da Silva. They were friendly, punctual and extremely efficient. Highly recommend.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Aiko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
129159,Quang,VIC - 3038,VIC,3038,True,2024-12-18,18 December 2024,5.0,,Spoke with David and EvanGot advice on what kind of system to installBoth had a lot of knowledgeInstallation was fast and efficientCleaned up after themselvesAnd in the end help used the app,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",LONGi Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
