review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
129583,Chris,QLD - 4053,QLD,4053,True,2025-01-08,08 January 2025,5.0,,"Jan and his team recently completed my Solar installation and switchboard upgrade. I cannot recommend them highly enough for their professional, efficient and courteous approach to the job. Now after all has been completed Jan still checks on the efficiency of my Solar system to make sure their output is as expected , great after sales follow up.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
127419,Carmen,QLD - 4051,QLD,4051,True,2024-10-29,29 October 2024,5.0,,"During the pre-installation phase, Jan listened and then patiently addressed my numerous queries and concerns. NO high-pressure sales pitch!  He interacted professionally and was never condescending. His knowledge and experience instilled confidence. He provided a competitive quote.On installation day, Jan discussed the layout options and connection aspects with me, carefully considering my aesthetic requirements, before proceeding. The installation went smoothly - a neat and tidy job too!Jan provided photos of the finished work and appropriate after sales customer support.Great work!",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
126749,Matt,QLD - 4170,QLD,4170,True,2024-10-09,09 October 2024,5.0,,Jan is extremely knowledgeable and was a pleasure to deal with from start to finish. We didn’t have much of an idea with regards to the size of the system needed or different inverter and panel brands and Jan ran through a number of different options to suit our budget and usage requirements. Price was very reasonable and the whole process from quote to install was completed quickly without hassle. Highly recommend Maritz Electrical.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
125726,Nathan,QLD - 4151,QLD,4151,True,2024-09-06,06 September 2024,5.0,,"Jan was very knowledgeable and understood precisely what we wanted to achieve, albeit with roof space restrictions.Installation process was very smooth and professional.Jan was more than happy to provide after sales and installation support to help organise app access for our system.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
123941,Mark,QLD - 4218,QLD,4218,True,2024-07-15,15 July 2024,5.0,,"Jan was very informative and patiently guided me through the quotation process and clearly outlined the expectations of the system. Installation was planned on the days agreed, all safety procedures were used, and full instruction of the system was given.We had some delays with the energy provider making their connection and Jan contacted them directly to speed up the process.I could not recommend Maritz Electrical highly enough if you are considering going solar!",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Trina,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
123844,Karin,QLD - 4213,QLD,4213,True,2024-07-11,11 July 2024,5.0,,"From the start the customer service was exceptional, with a detailed quote, site visit and product information, I felt like I had an experienced and knowledgeable team that I was partnering with.The install itself went really quick and the team were professional, polite, reliable and had a very high attention to detail. Not only has the solar system reduced my power dramatically, it looks really great.Jan was always available to answer questions, he was so helpful and I really felt comfortable trusting his professional opinions. I would highly recommend Maritz electrical for anyone considering solar.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d82086f8b1ac19a4c9725d2ff05db2c80.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d136c64039742e7dd3400fbd0ca2d3be1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/67e5b9b3e565775c9bfc965771b4ed9c2.jpeg']",0,0
120686,MARK,QLD - 4218,QLD,4218,True,2024-03-27,27 March 2024,5.0,,Installation as per quote.  Any changes (to design etc) were discussed and agreed to.I would recommend Maritz Electrical to anyone on the Gold Coast looking to install solar.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
119606,Shannon,QLD - 4103,QLD,4103,True,2024-02-25,25 February 2024,5.0,,"We contacted Maritz Electrical after visiting Solarquotes.com.au and we were not disappointed.From the very first phone call, I felt confident that we would get a quality install. Communication was fabulous and when we had a slight hiccup with a roof repair, Jan was incredibly patient and made sure that we were well informed.Installing the panels on the roof took some skill as it was an old concrete tile roof - Jan and Lachie did a great job and the panels look great.We have no hesitation recommending Jan and Maritz Electrical!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1f0574b2c2f9cdef3e6506002b31f6cf0.JPG']",0,0
119124,Dr Midhat,QLD - 4109,QLD,4109,True,2024-02-11,11 February 2024,5.0,,"This was the annual inspection of a solar system that Maritz's Jan installed in January last year. I have also requested re-connecting the pool pump to the 'always on' supply instead of the 'off-peak'As per the title, the whole process was hassle-free.I described in detail what I wanted - including sending photos of the meter, relay etc. - and,  as a result, received a favourable quote as Jan advised that this made it very easy for him to estimate the time it would take and hence quote fairly.The servicing of the solar panels was also smooth - and they certainly look a lot shinier now!I was kept informed of the expected arrival time - advised of changes due to the wet weather - and the job was completed as advised.Jan is polite, courteous and followed up with advising my retailer of the changes made and whether I needed to do anything from my side (luckily I wasn't)Highly recommend Jan.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
118154,Frank,QLD - 4220,QLD,4220,True,2024-01-07,07 January 2024,5.0,,"From start to finish I have nothing but good things to say about this company. Jan and his team were on time every time. Solid as a rock, no stress and BS like others that tried to quote me. I did have fancier quotes but for me it was about who I trusted the most and Jan was the one who made me feel comfortable.He came to site and explained everything clearly and put all options on the table. We ended up originally getting a quote from him for a 6kw system but later changed it to a 10kw. No worries at all. Super quick service from accepting quote to install 3 days.System is now operation and running fantastic. No roof leaks during super storms on the Gold Coast, our place got smashed. Everything held together perfectly.Thanks Jan and team for best service and help. Easy best trades people we have dealt with. I have no hesitation to recommend them.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/03b5f49fa768038776019c0baa02e9e11.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ad1cd4d2dfedd8fa515056574d53ea414.JPEG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/81510be6838750b0bdc7b0a48d62608a7.JPEG']",0,0
