review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140495,Christopher,VIC - 3166,VIC,3166,True,2025-11-25,25 November 2025,5.0,,"My overall experience with Marshall Energy Solutions was outstanding. They provided clear information, competitive pricing, and excellent customer service. The installation team was professional, friendly, and efficient. Since installing the panels, my home has been running more efficiently, and my bills have decreased significantly. Their aftercare service is also fantastic, they genuinely check in to ensure customer happiness. I recommend Marshall without hesitation.",5.0,5.0,5.0,5.0,9kW,"$0 to $2,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
140426,Jasper,VIC - 3174,VIC,3174,True,2025-11-24,24 November 2025,5.0,,"I had an excellent experience with Marshall Energy Solutions for my FoxESS battery installation. Their customer service team was knowledgeable and answered all my questions. On installation day, the technicians were respectful, organized, and took their time to ensure everything was operating perfectly before leaving. The FoxESS battery has significantly increased my home’s energy independence, I now use stored solar power throughout the evening and during peak rates. My bills are lower and my solar system feels complete. Highly, highly recommended.",5.0,5.0,5.0,5.0,9kW,"$0 to $2,000",,Fox ESS,Fox ESS,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fox-ess.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_fox-ess.png']",0,0
140404,Alexander,VIC - 3175,VIC,3175,True,2025-11-24,24 November 2025,5.0,,"Marshall Energy Solutions has transformed my home energy usage. The panels were installed quickly, and the system started saving me money right away. What I appreciated most was the honesty and transparency of the entire team. They didn’t pressure me into unnecessary extras and gave me all the information to make the best decision for my household. The professionalism and quality of work are second to none. I highly recommend them for anyone looking to make the switch to solar.",5.0,5.0,5.0,5.0,8kW,"$0 to $2,000",SunPower,Fox ESS,Fox ESS,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fox-ess.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_fox-ess.png']",0,0
140349,Eden,VIC - 3268,VIC,3268,True,2025-11-23,23 November 2025,5.0,,"I’m very impressed with the GoodWe battery installation done by Marshall Energy Solutions. Their staff was friendly and easy to communicate with. They provided a detailed energy assessment before the installation, which helped me understand how the battery would benefit my home. The installation itself was neat and precise. My GoodWe system charges quickly and provides stable energy throughout the evening. Great service and a great team.",5.0,5.0,5.0,5.0,15kW,"$2,000 to $4,000",,Goodwe,,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/cc7dbca681ad048acf0b227883a6f01d0.jpeg']",0,0
140307,Jackson,VIC - 3045,VIC,3045,True,2025-11-22,22 November 2025,4.75,,"I had a great experience with Marshall Energy Solutions. The consultation was detailed and honest, the pricing was competitive, and the installation was flawless. The crew was punctual, respectful, and efficient. I especially appreciated their follow-up service to ensure everything was functioning properly. The performance of the solar system has been excellent, and I feel like I made a smart long-term investment. Marshall truly deserves its reputation for quality and reliability.",5.0,5.0,5.0,4.0,10kW,"$0 to $2,000",LONGi Solar,Delta,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
140297,Isabella,VIC - 3342,VIC,3342,True,2025-11-21,21 November 2025,5.0,,"I’m so glad I chose Marshall Energy Solutions for my solar installation. They provided an honest consultation, competitive pricing, and excellent customer service. The installation was carried out efficiently, and the system was up and running sooner than I expected. My monthly power bills have already dropped significantly, and the panels look great on my roof. What sets Marshall apart is their dedication to customer care, they don’t just install and disappear, they provide ongoing support.",5.0,5.0,5.0,5.0,10kW,"$2,000 to $4,000",,,,,,,False,[],0,0
126612,Tirth,VIC - 3978,VIC,3978,True,2024-10-05,05 October 2024,5.0,,"I had a great experience with Marshall Energy for my solar panel installation. Andy, who oversaw everything, was incredibly professional and made sure the installation was completed promptly. The team was efficient, answered all my questions, and ensured everything was set up perfectly. The whole process was smooth and hassle-free. Highly recommend Marshall Energy and Andy for anyone looking for reliable and quick solar panel services!",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Trina,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
126369,Robert,VIC - 3170,VIC,3170,True,2024-09-27,27 September 2024,5.0,,Alex was punctual and courteous in attending to my application for a domestic power supply battery.,5.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",,,,,,,False,[],0,0
123296,Alan,TAS - 7325,TAS,7325,True,2024-06-23,23 June 2024,5.0,,Added battery and inverter to existing system. Marshall Solar described proposed change and organised all aspects of installation.,5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Jinko Solar,Redback,Pylontech,3.0,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_redback.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_pylon-technologies.png']",0,0
123261,Ivica,VIC - 3977,VIC,3977,True,2024-06-21,21 June 2024,5.0,,"Good people, have done a great job, left the premises clean and tidy",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
123098,Daniel,VIC - 3074,VIC,3074,True,2024-06-17,17 June 2024,3.5,,"My experience with Marshall Energy Solutions was terrible. Communication was almost nonexistent—they didn’t reply to my emails for weeks and ignored my messages. He even had an important email from AusNet Services about my export application sitting in their spam folder for nearly a month! I only heard from them because my SolarVIC application was about to expire.To make things worse, they submitted the wrong documents with 0kw export, instead of 5kw export to AusNet Services and my retailer, causing delays and money back in my pocket. I had to spend a lot of my time chasing up AusNet Services and my retailer to fix their mistakes. I even questioned my export before the forms were submitted! I started this application at the start of the year, and i've only now just fixed everything.The only ok part of this whole process was the installer, but that doesn’t make up for everything else that went wrong. I wouldn’t recommend Marshall Energy Solutions to anyone looking for reliable service.",3.0,5.0,5.0,1.0,6.6kW,"$2,000 to $4,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
113791,Kev,VIC - 3975,VIC,3975,True,2023-08-26,26 August 2023,5.0,,"Highly professional, great team work and very good pricing. Installation was done at our convenience.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",LONGi Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d9f3ee26992ac6f3791d6ebe24454a0f0.jpg']",0,0
113007,Manoo,VIC - 3104,VIC,3104,True,2023-08-03,03 August 2023,5.0,,They have done a great job. Will recommend to my friends,5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",JA Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1f3c0be122019e265408d9cbc9a0bd800.jpeg']",0,0
112884,Alfred,VIC - 3429,VIC,3429,True,2023-07-31,31 July 2023,5.0,,"They’ve done a great job. Very happy with the service, installer was very polite. The products were top brands. Very competitive price too.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/24c767e712548c58c034f54dd6b75f110.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/098a9c6f16acd6ac17ad422cf95f39dd1.jpeg']",0,0
112812,Mani,VIC - 3029,VIC,3029,True,2023-07-29,29 July 2023,5.0,,"Great company, dealing with Marshall Energy was stress free. The work was neatly done, never had any issues so far.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
112785,Stephen,VIC - 3977,VIC,3977,True,2023-07-28,28 July 2023,4.0,,"Excellent installation by Shennal from Gnowee Solar. Efficient, tidy and polite.Currently pending ESV inspection.",4.0,3.0,5.0,4.0,8kW,"$0 to $2,000",Risen,Goodwe,Alpha-ESS,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
112767,Aman,VIC - 3195,VIC,3195,True,2023-07-28,28 July 2023,5.0,,We had great experience with Marshall Energy Solutions. No issues so far with the installation. I’d highly recommend them.,5.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",,,,,,,False,[],0,0
112757,Andrew,VIC - 3978,VIC,3978,True,2023-07-28,28 July 2023,5.0,,"Professional company with experienced staff, very happy with the outcome. Fred was great to deal with, very patient throughout great experience overall.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
107667,John,VIC - 3020,VIC,3020,True,2023-01-28,28 January 2023,3.25,,"The sales process was difficult.I was promised two weeks install in November and it wasn't installed until January.I had to repeat myself multiple times of the specifics of what I wanted, and after signing the contract they tried to change this again.The installers left their hard rubbish on site, which of I am still waiting for them to let me know when they will pick it up as the rubbish is too large for me to dispose of myself.Good feedback is that the inspector said the subcontractor they used usually do a good job.",5.0,3.0,3.0,2.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
