review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136546,Baden,TAS - 7212,TAS,7212,True,2025-08-28,28 August 2025,5.0,,"I got four quotes and Simon was the only person who got up on the roof to take measurements before the quote. Every other company clearly sent a marketing salesperson whereas Simon had all the hands on knowledge from years of installation experience.Everyone I spoke to was professional, accommodating and graciously answered all my tricky questions. Very happy. Have already recommended them to several friends.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",SunPower,Sigenergy,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png']",0,0
131206,Craig,TAS - 7330,TAS,7330,True,2025-03-03,03 March 2025,5.0,,"Their people are a credit to the company.  Actually everyone I’ve dealt with at Mode has been exceptional - something that is not that common these days.I’m in awe at how efficient the installation was.  Quick, pleasant to deal with, clean, no audible swearing (not that I’m bothered, but some tradies definitely have a way with words!), calm, collected, and over all extremely professional and courteous.I’m extremely happy with the job done and the outcome, and will certainly use Mode again in the future should the need arise.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Trina,Tesla (Other),Tesla Powerwall 3,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
117215,Jock,TAS - 7260,TAS,7260,True,2023-12-05,05 December 2023,4.5,,"We are really pleased with the job Jack, Justin and Marke did. Thanks to Simon and the office staff, for the professional attitude all round. The system is running well and it’s very satisfying seeing how much more efficient the new system is.",4.0,4.0,5.0,5.0,6kW,"$8,000 to $10,000",SunPower,Fronius,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
116832,Ian,TAS - 7277,TAS,7277,True,2023-11-23,23 November 2023,5.0,,"We obtained initial proposals for two options after a meeting at the Mode office.Having selected our preferred system an on site inspection was arranged which was carried out promptly and a quote confirmed.  Although the price was somewhat higher than that from an alternative supplier, the components were of higher quality and represented good value for the money.The installers arrived promptly as arranged and carried out the installation in a highly professional manner. It was a pleasant experience dealing with the whole team on site. Performance of the system so far is well up to expectation.All administrative aspects of the installation were handled by Mode. From the commencement to the completion of our solar installation we found Mode to be highly professional and efficient in their dealings with us and we have no hesitation in recommending this company.",5.0,5.0,5.0,5.0,7kW,"$10,000 to $12,500",SunPower,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
71798,Michael,TAS - 7250,TAS,7250,True,2019-12-22,22 December 2019,5.0,,Would have gone with a Hobart firm but could not get follow questions answered. Almost like it was too hard. Second guy was very friendly but wasnâ€™t really a sales person. Gave good info. Third guy assumed we would go with a cheaper system that he recommended. Only made it to the drive way and didnâ€™t include the wife in the discussion. All 3 were good to talk to but there is a lot to take in. Your website was excellent. In the end we werenâ€™t happy so contacted a local company that we had heard their presentation 2 years before. They were slightly more expensive but their service is outstanding. We ended putting in a very good system as we donâ€™t intend to move. I am very happy to recommend your website to any prospective customers.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",SunPower,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
47341,Anon,TAS - 7277,TAS,7277,True,2018-05-02,02 May 2018,4.75,,We chose non Asian manufacturers of our componentry,4.0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,,,,False,[],0,0
43770,Annette,TAS - 7292,TAS,7292,True,2018-02-02,02 February 2018,5.0,,I highly recommend Mode Electrical.  The proof of the benefit and efficiency of the system will be in up coming energy bills.  I accessed TEELS (Tasmanian Energy Efficiency Loan Scheme) from the Tasmanian Govt / Aurora Energy who provide interest free loans of up to $10000 over 3 years for residential and up to $40000 over 5 years for small businesses.,5.0,5.0,5.0,5.0,More than 6kW,"more than $20,000",,,,,,,False,[],0,0
38419,Anon,TAS - 7250,TAS,7250,True,2017-09-18,18 September 2017,4.67,,The one installer you referred me to chose not to quote on the system components I requested.  I assue that is because he could not supply them.  His price was also very high for not-well-reviewed components.,4.0,5.0,0,5.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
23647,Mark,TAS - 7315,TAS,7315,True,2014-09-03,03 September 2014,5.0,,"They were great and some of the nicest tradies you'd meet. Martin Dingermanse, the contact and probably boss was absolutely tremendous and so easy to talk with. Highly recommend them.",5.0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,,,,False,[],0,0
23417,Harry,TAS - 7267,TAS,7267,True,2014-08-18,18 August 2014,4.5,,"Absolutely fantastic folks at Mode Electrical.  They listened to, provided advise and performed their jobs very well even during the bad weather we had to get the job done on time.  We are very satisfied with the workmanship and results of the overall installation.  They even organised the necessary trenches to be dug as part of the installation requirements.  These folks are truly a one-stop-shop; also fixing some other wiring issues we need to have addressed.  Note: We had a 5 kW micro-inverter system installed because of our specific requirements.",4.0,5.0,5.0,4.0,5kW,"$10,000 to $15,000",,,,,,,False,[],0,0
