review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
94157,Badja,NSW - 2370,NSW,2370,True,2021-10-07,07 October 2021,5.0,,"Dear Norman and Jarred. Thank you. We are very happy with the off grid system you installed for us after the bushfires. The price, design, installation and running of the system are all as expected. You did a great job, thanks again.",5.0,5.0,5.0,5.0,3.3kW,"$12,500 to $15,000",Canadian Solar Inc,Victron Energy,Pylontech,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_victron-energy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_pylon-technologies.png']",0,0
93608,Darryl,QLD - 4370,QLD,4370,True,2021-09-21,21 September 2021,4.25,,"Technicians were agreeable, knew their stuff, explained everything and generally left the site tidy. No dramas",4.0,5.0,4.0,4.0,6.6kW,"$6,000 to $8,000",,Sungrow,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
92478,Trevor,QLD - 4216,QLD,4216,True,2021-08-19,19 August 2021,4.75,,Very pleased with all their help from the design to install,4.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",Leapton,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_leapton.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
92471,Niall,QLD - 4211,QLD,4211,True,2021-08-19,19 August 2021,5.0,,"We got several quotes on a solar system but Guy was both very competitive and the most helpful to speak with. Guy, Jared and the team did a great job with installation and also making sure the app to see solar was connected up and working properly. The original proposal was very detailed and I’m delighted to see the output we are getting from our system is already significantly better than the projections. Now I can simultaneously charge my car, power our home and still feed power back into the grid. Highly recommend to work with Guy & Modergy.",5.0,5.0,5.0,5.0,15kW,"$10,000 to $12,500",,,,,,,False,[],0,0
92256,James,QLD - 4184,QLD,4184,True,2021-08-12,12 August 2021,4.5,,"Guy the salesperson answer every question, and did not bag any other firm",4.0,4.0,5.0,5.0,8kW,"$6,000 to $8,000",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
91919,Rod,QLD - 4350,QLD,4350,True,2021-08-01,01 August 2021,4.5,,"We had a great experience with this installer, from getting a quote, explanation of technical details and modifying the system to suit out needs, nothing was an issue. The service was really personal, from speaking with admin staff to the tradesman that attended, they were all very friendly and willing to assist us with our needs. Can't fully comment on the actual value or quality of system but it would appear to meet what our expectations were. Customer service and installation was excellent. I would and have recommended Modergy to friends and family.",4.0,4.0,5.0,5.0,13kW,"$8,000 to $10,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
91156,Jackie,QLD - 4069,QLD,4069,True,2021-07-01,01 July 2021,5.0,,"Can you give more than 5 stars in each category? After getting 4 other quotes from various installers (most of which do not have your best interest at heart and will quickly sell you an inferior system not suited to your home just to seem competitive and get your business), Modergy cut through all my uncertainty - they proposed by far the most suitable system and were competitively priced. My install was complex - 45deg pitch roof, and multiple aspects. They just made it work without making a huge drama of it like other installers. And during the install - what professionals! Install was immaculate and after service has been awesome. Well done Jared and team!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d633758152e8e2c8e4bb41a4f2631c420.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a15396999c74d432d4e878acc59520fb1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/06b88870b1c0e1618cc4a3005035d5352.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/cc8fb5dd70ae71baf34f84334c8c5cfa3.jpg']",0,0
81696,Peter,QLD - 4280,QLD,4280,True,2021-05-18,18 May 2021,4.5,,"New Build, great to deal with no fluffing around with figures and rebates as we have done our homework before,just good old Ausi service !Grid connections was done by me with AGL",4.0,4.0,5.0,5.0,5kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0e52a4b626a19ab159a073ee75f752b90.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/77e35a61ec50452ed86d5e270b25776d1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/07d505384fb5b4c0d8ec232fa40a4281.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/c6025fea67a5a4889eef048bdb6d426f.png']",0,0
81343,Ken,QLD - 4352,QLD,4352,True,2021-05-11,11 May 2021,5.0,,I had 6 quotes for my off grid package and 4 of the 6 were within $1500 of each other. In the end I picked best quality over price including reviews and customer support. Modergy obviously wanted my money but they did a lot of work and talking for me to earn it. I havent had system installed yet but so far so good. I will review after installation also.,5.0,5.0,5.0,5.0,5kW,"More than $20,000",Canadian Solar Inc,Victron Energy,Pylontech,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_victron-energy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_pylon-technologies.png']",0,0
89079,Dean,VIC - 3977,VIC,3977,True,2021-04-23,23 April 2021,5.0,,"Great communication, easy to deal with at an affordable price, and guy Murphy even returns your phone calls and texts. He was able to organise it all for me for my place on the Gold coast even though I live in Melbourne. Nothing is too much trouble, cheers.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,True,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4a77b63bbc2836ebcf0030680d0d0ea90.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/613dbb56a409692b33b9353a2ecf69b01.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6ffc0bd4459e6069d39a0f5e479ec82e2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4b465fa04a4092b54a2d19902487051d3.jpg']",0,0
