review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
134672,Donna,ACT - 2903,ACT,2903,True,2025-06-26,26 June 2025,5.0,,"Mondiaux were a great company to deal with from the get go. They provided us with a variety of options for our house and explained everything clearly. Customer service was helpful and informative throughout the process. The installers were prompt, polite and professional. Would highly recommend.",5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
126447,Sacha,ACT - 2611,ACT,2611,True,2024-09-30,30 September 2024,5.0,,"Mondiaux were the most professional and responsive of all the installers I met with and dealt with. Brian from their sales team is a consummate professional, and I never felt under any pressure to buy. He spent a lot of time working through my needs and wants and gave absolutely appropriate advice at all times.  I would be happy to recommend them to anyone.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",LONGi Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f752b467246bbdc3b803c8e3d37ccd1c0.jpg']",0,0
126274,Ben,ACT - 2911,ACT,2911,True,2024-09-24,24 September 2024,5.0,,"I am extremely delighted to recommend MONDIAUX SOLAR as the supplier / installer for your new solar system. They not only provided me with the most competitive quote, more importantly they pay great attention to customer experience. Out of several solar quotes that I received, MONDIAUX SOLAR was the only supplier sent out solar consultant for pre-quote site inspection, answered all my queries and showed a genuine interest in securing my businessBrian from MONDIAUX SOLAR, his services was exceptional and attentive. The AIKO ABC all black Solar panels that Brian recommended are so visually appealing. They are highly efficient panels with shade optimisation built in. That means there is no need to add and pay extra costs for solar optimisers. I am very happy with MONDIAUX SOLAR, and the solar system they supplied.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Aiko Solar (Other),Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4ad13e009b9ef0c3706e532912cd5d140.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/72590a1ff810517b96d56142569e37ed1.jpg']",0,0
124882,Peter Anthony,ACT - 2904,ACT,2904,True,2024-08-11,11 August 2024,5.0,,"Technical difficulties resulted in Mondiaux receiving the request for quote late in the peace but certainly had the best solution, price and panel configuration on the roof.  Installation and follow-up support all occurred as promised. 6.6 KW installation started at 8am and completed  by midday without any issues.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
120176,Brian,ACT - 2911,ACT,2911,True,2024-03-13,13 March 2024,4.5,,Quoting process was excellent with no pressure  to adopt larger system beyond needs.Had to wait a couple of months for installation but was installed in about 3 hours once started.Installers altered panel layout on the day to maximise sunlight interception.Installers were polite and answered questions I had about the system.Installers also set up wifi connection for iSolarCloud monitoring software which is excellent for monitoring performance.The system is meeting production estimates provided in the quote. I export between 75 and 90% of system output and I have a net credit for the year compared to a $1200 bill previously.The Sungrow inverter was placed inside the garage to avoid the sun but it makes a loud high pitched noise when operating at capacity which is annoying and I would have had it placed outside with a cover had I been aware of that. I have added an external cooling fan to reduce the heat load and the inverter noise.Overall I am very happy with the system.,4.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4833e6bdb126924b4e09b3af4d2e64c00.JPG']",0,0
116647,Marlene,NSW - 2620,NSW,2620,True,2023-11-16,16 November 2023,5.0,,"Could not be more impressed with the attitude, attention to detail and  time spent with me explaining the systems, how they worked and the whole process. Geoffrey Shinozaki-Langridge is brilliant and did not at any stage make me feel that he was just selling a system.  He took the time to explain everything and could not have been more helpful.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
116609,Bruce,ACT - 2611,ACT,2611,True,2023-11-15,15 November 2023,5.0,,Very happy with the solar system installed by Mondiaux Solar. They are professional and thoughtful. I would definitely recommend Mondiaux to whoever I knew was looking for solar panels.,5.0,5.0,5.0,5.0,15kW,"More than $20,000",,,,,,,True,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/34d6f7f92590a45a0331fd0fca33df580.jpeg']",0,0
115578,Ada,ACT - 2913,ACT,2913,True,2023-10-16,16 October 2023,4.75,,Mondiaux Solar installed my solar two years ago and they regularly maintained excellent communication to address any concerns and provide effective solutions. I highly recommend their top-notch service to anyone.,4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Sungrow,Alpha-ESS,5.0,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
111720,Sindy,ACT - 2914,ACT,2914,True,2023-06-21,21 June 2023,4.0,,"Good customer service, helpful and friendly people, neat and efficient installation, good communication",3.0,4.0,4.0,5.0,6.6kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
111309,Martin,ACT - 2607,ACT,2607,True,2023-06-07,07 June 2023,4.25,,"Great install, polite, tidy , punctual and efficient.The installer made an adjustment to the proposed layout on the install day, improvement on solar yield, he could have just installed as drawn but but some effort and thought into the install.not so great communication overall from the office side of things, I had to ring them for any info, could be much better in this regard.awaiting new meter to finalise but they said its organised, no reason not to believe this.",5.0,5.0,5.0,2.0,15kW,"$15,000 to $20,000",Jinko Solar,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
