review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
123388,Jordie,WA - 6232,WA,6232,True,2024-06-26,26 June 2024,5.0,,"Very easy process with Darren from Nixon solar, formerly JCW, very good communication and quick instal time. Overall very impressed.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
118970,Michael,WA - 6280,WA,6280,True,2024-02-06,06 February 2024,4.75,,"The sales manager was very responsive and helpful.The product offering was consistent with the quality levels we wanted.The installation was completed to plan and is a very neat and tidy install (roof, meter box changes and inverter).Pricing was consistent with product choices we made and better than other offers.We are enjoying the level of self-sufficiency we expected.",4.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
117031,Brian,WA - 6230,WA,6230,True,2023-11-30,30 November 2023,5.0,,Getting solar is an expensive process but JCW were very reasonable with their pricing and they were very quick to get the job done. The workmanship was top notch and I am so glad that I went with JCW.,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
116861,Kevin,WA - 6230,WA,6230,True,2023-11-24,24 November 2023,5.0,,"Salesman was prompt and friendly with all the info required..Installer was friendly, informative and tidy.Customer service was good. assistance with grid connection and the internet/blue tooth synchonising.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
116836,Philip,WA - 6230,WA,6230,True,2023-11-23,23 November 2023,5.0,,From the first conversation with Darren to discuss what I needed I knew straight away who I would choose through to the process of Installation it all went well.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
101525,Stuart,WA - 6230,WA,6230,True,2023-05-18,18 May 2023,4.75,,"very happy with all aspects of the process.quote was prompt and informative.installers very efficient , punctual,tidy and answered all queries.Great clean up job afterwards.Grid connection at first  was difficult because of a problem with dongle. Darrren contacted Sungrow who posted a replacement which remedied the problem.All in all one very happy satisfied customer and would recommend JCW Solar to others.",5.0,5.0,5.0,4.0,5kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
109054,Colin,WA - 6224,WA,6224,True,2023-03-21,21 March 2023,5.0,,"JCW recently installed our solar system high quality value for money, no sales bullshit straight to the point what they say they do ,insulation crew was incredibly efficient high end job super clean don't waste your time on cheap fly by night perth systems this is a local company with years of experience awesome customer service an only sell quality panels an inverters installed professionally can't recommend highly enough thanks guys.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
106955,Kate,WA - 6230,WA,6230,True,2023-01-02,02 January 2023,5.0,,"Really nice people, very informative. nice fitters, would recommend this company te4n folds. Price included new meter for 690.00",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
102234,Brian,WA - 6225,WA,6225,True,2022-08-07,07 August 2022,4.75,,All installation was done by JCW I am so far very happy,5.0,5.0,5.0,4.0,5kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
93225,Linda,WA - 6280,WA,6280,True,2022-05-12,12 May 2022,5.0,,"From quote to installation was only a week. They sorted everything out with Western Power. The guys who installed were professional, quick and cleaned everything up afterwards. Great experience.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
92248,Tom,WA - 6230,WA,6230,True,2021-08-11,11 August 2021,5.0,,Great price.Installed at agreed time.Followed up when requested to explain the app and the installation.Offered unlimited follow up if we had any questions.Highly recommended.,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
91133,Gio,WA - 6233,WA,6233,True,2021-07-01,01 July 2021,5.0,,After many Quotes from other local business my pick was JCW SolarThe knowledge demonstrated was outstanding and whiling to take the time to listen to my many  questionsExtremely happy with the team at JCW SolarThe installers removed old system free of chargeVery high standard of workmanship through out the whole processWe are very happy with our new install of solar panels and battery systemHighly recommend JCW,5.0,5.0,5.0,5.0,8kW,"$15,000 to $20,000",Hyundai Solar,SENEC,Senec,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_senec.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_senec.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c316ff63af782e0f548a2acfb4c28b6f0.jpeg']",0,0
88518,Cameron,WA - 6230,WA,6230,True,2021-04-06,06 April 2021,4.5,,Very helpful sales person. Panels took a little longer then anticipated to arrive but that is expected lately. Installation done promptly. Would recommend,5.0,5.0,4.0,4.0,5kW,"$4,000 to $6,000",Jinko Solar,Fronius,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
88492,Sally,WA - 6280,WA,6280,True,2021-04-05,05 April 2021,5.0,,We were so very happy with the service that we received. The salesman was very professional and knew his business very well. We were able to get our panels within 5 days of signing the contract. The installers were so good and were very tidy. The company organised everything including the grid connection. We were extremely happy with the whole process.,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
70808,James,WA - 6230,WA,6230,True,2020-10-13,13 October 2020,4.75,,"Good communication friendly and punctual.I felt well informed and had all my questions answered promptlyThe installers were neat, polite and communicated well.Provide great after sales service, which is very important with solar and i'm glad i choose a local installer",5.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
70218,Tony,WA - 6233,WA,6233,True,2020-07-12,12 July 2020,5.0,,"Compared quotes closely, and based on the maturity of less costly manufacturers we chose Jinko panels and Sungrow inverter. All supplied and expertly installed by JCW Electrical in Bunbury. All quotes had been great, including Magic Electrical and Solar, and Solarsales, all very professional suppliers, quick, courteous, knowledgable and responsive to all questions. Finn, thanks to you personally for your knowledge and guidance for our solar system acquisition. Your guiding hand has clearly influenced this very professional and competitive solar , and allowed me to readily avoid the snake-oil salesmen of the earlier solar market. We are delighted with our 5.5kW solar PV system.",5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
