review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138321,Cameron,NSW - 2260,NSW,2260,True,2025-10-08,08 October 2025,5.0,,The sales quoting service was easy but a little difficult to understand what power savings there would be and how the Tesla App would run - it is awesome!The actual installation was very good and communication was excellent. I was not there but texts and phone calls were excellent - where there was a slight error it was resolved very promptly.I was given lots of links and how to set up the battery and it was seamless.The app is excellent and I can see how I save power - and how I spend it!!The first impressions are that last quarter my bill was $1500 and this quarter it is looking like being $500.I am already thinking of another battery to extend the system.I would highly recommend Natural solar,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,,Tesla Powerwall 3,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
138108,Rai,NSW - 2560,NSW,2560,True,2025-10-02,02 October 2025,5.0,,"Got our Tesla Powerwall 3 + expansion installed seamlessly in Campbelltown.Installers were great, Emmett provided good customer service.Thanks guys",5.0,5.0,5.0,5.0,7kW,"$15,000 to $20,000",,Solis,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
137542,Harman,NSW - 2127,NSW,2127,True,2025-09-22,22 September 2025,5.0,,"Installed a Tesla Powerwall 3 battery with Natural Solar and found the overall experience very good. The sales team were great at explaining the process, cost was very competitive and installation went through seamlessly on the day. After sales support has been great too, they are very proactive and answer calls / emails promptly.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 3,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
137277,Kim,NSW - 2127,NSW,2127,True,2025-09-16,16 September 2025,4.5,,"The recommended suppliers solar quotes unfortunately were really more interested in selling me a battery rather than providing a battery appropriate for my needs or for my existing solar system.  I ended up with Natural Solar because of the positive reviews and the salesman who spoke to me invested time in informing himself about my current solar system, its location, my current electrical meter system and its location relative to the inverter, proximity to windows etc. This was neglected by the providers you offered. Your providers didnt really explain the pros and cons of their system - they were not selling Tesla batteries, which i eventually ended up getting because i didnt have to replace my current inverter.  IN addition i ended up getting a pretty good deal. The installation was very quick but sub-contractor installers need to communicate better with home owner.",5.0,5.0,3.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 3,3.0,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
137111,Richard,NSW - 2261,NSW,2261,True,2025-09-11,11 September 2025,5.0,,"I recently had a Tesla battery installed through Natural Solar and the whole experience was outstanding. From the sales process, through pre-install planning, installation day, and after-sales support, everything has been seamless and professional. The team kept me well informed, the install was smooth and tidy, and the after-care has been just as impressive. Couldn’t be happier — 5 stars all the way!",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Tesla Powerwall 3,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
137008,Robin,NSW - 2111,NSW,2111,True,2025-09-09,09 September 2025,2.25,,"In 2016 we engaged Natural Solar to install a 6.5Kwh system which included 26 250watt panels, a SolarEdge Hybrid inverter and a Tesla Powerwall 1. Installation was a seamless process and within a day were generating our own electricity and storing it in the Powerwall. Everything ran perfectly until 2023 when the SolarEdge inverter stopped working.It took nearly three frustrating months for Natural Solar to find and install a replacement unit. Apparently that model inverter had been discontinued, so locating a replacement was hard. However, one was eventually delivered, ironically by a 'sensitive freight' truck, in a slightly battered condition (bent cooling fins). It was installed a few days later by a SolarEdge tech and we were once again back generating our own power.In 2025 we noticed that this inverter was no longer functioning. I submitted two emails for support thru the Natural Solar website, including an image of the errant inverter. This elicited no response. I then telephoned the office and was told that someone from the support team would be getting in touch soon. No response. I called once more. Three weeks passed without a response, so I called Natural Solar's sales department and got through to a human immediately. He listened to my tale of woe and promised that he'd pass my details on to the support team. At the time of writing this review another two weeks had passed and still no response.By this time we'd had enough so, spurred by the discounts being offered on new batteries, we engaged a different solar installer (recommended through SolarQuotes) to remove our non-working system and install a far greater capacity battery and panel array.I appreciate that most solar installations go off without a hitch and therefore generate a lot of positive feedback on social media. But, having spent a considerable amount of money on a new solar system, what really matters far more than a seamless installation is the reliability of the technology and the service that you receive when things go wrong, as they inevitably do in some cases. As I have already mentioned, installation was fine but, on the service and support front, I'd give Natural Solar a zero rating, if I could, simply because, to date, we have had zero support.(I attach an image of my fully functioning Powerwall 1 gathering dust in our garage).",3.0,2.0,3.0,1.0,6.6kW,"More than $20,000",,SolarEdge,,,1.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0491d69b704395ceed45a68062dbe0d80.jpg']",0,0
136978,Stephen,NSW - 2112,NSW,2112,True,2025-09-09,09 September 2025,5.0,,Very happy with the installation of the new Tesla battery. The installation team were creative in finding an efficient way to install the wiring so there was no unsightly conduit running outside our house! The team at Natural Solar were also very helpful in finding a good location for the battery.,5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 3,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
136955,Prasad,VIC - 3179,VIC,3179,True,2025-09-08,08 September 2025,5.0,,"All the way, they help step by step from the beginning of the quote to the installation, and hand over the operational work independently.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,,Tesla Powerwall 3,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
136854,Andy,NSW - 2044,NSW,2044,True,2025-09-05,05 September 2025,5.0,,Used these guys about 10 years ago for solar panels and recently for batteries. They are very helpful and the cheapest I could find in both instances. Both installations were quick and painless and everything works as you’d expect.,5.0,5.0,5.0,5.0,,"$15,000 to $20,000",,,Tesla Powerwall 3,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
136784,Shaun,SA - 5167,SA,5167,True,2025-09-04,04 September 2025,5.0,,"I have had two Powerwalls installed through Natural Solar.The whole process was flawless.However, it's good to know that there's support when things go wrong!A Powerwall failed and the help and support from their customer service manager (Emmett) was outstanding.I would highly recommend them just based upon the continuing help and support that i'm still getting from Emmett. I needed certificate of compliance certificates for a recent application and Emmett has again provided exemplary service.Thank you.",5.0,5.0,5.0,5.0,,"More than $20,000",,,Tesla Powerwall 2,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
136611,Seevaratnam,NSW - 2830,NSW,2830,True,2025-08-30,30 August 2025,5.0,,All good with Green energy that was recommended by Solar quotes.,5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Tesla Powerwall 3 (Other),Tesla Powerwall 3 (Other),,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
136491,Louis,NSW - 2195,NSW,2195,True,2025-08-27,27 August 2025,5.0,,"As I have said above, excellent work, available team ready to answer/explain any questions of concern",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 2,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
136118,Grant,NSW - 2570,NSW,2570,True,2025-08-15,15 August 2025,5.0,,Punctual polite and friendly are the words to express my gratitude towards everyone,5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 2,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_evnex.png']",0,0
136102,Mark,VIC - 3030,VIC,3030,True,2025-08-14,14 August 2025,4.75,,"My original Tesla Powerwall 2 was installed 2 years ago by natural Solar; they did an excellent job, from quote through to installation and after sales service.Rupern helped me with adding a second battery to my system, and again they were outstanding.I have had zero issues with either battery and am very very happy with Natural Solar.",4.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 2,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/26152b221402296c825d469a3ee2cdaf1.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/26152b221402296c825d469a3ee2cdaf1.jpg']",0,0
