review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137784,Bruce,NSW - 2760,NSW,2760,True,2025-09-26,26 September 2025,5.0,,"Nepean Solar are my repeating engagement  solar company, and once again the installation crew were efficient, polite and professional. New AlphaEss battery install was completed on time and the site was left spotless. Their customer ongoing monitor support is first class.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Alpha-ESS,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
131655,Phil,NSW - 2750,NSW,2750,True,2025-03-17,17 March 2025,5.0,,"The quoting process was thorough - system recommendation based on our usage.  The price was competitive, and the installation was well done and on schedule.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,Alpha Technologies,,,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png'],0,0
121017,Andy,NSW - 2756,NSW,2756,True,2024-04-08,08 April 2024,4.75,,"The quote was competitive, the advice was very helpful and the installation crew were efficient, polite and tidy. A very pain free experience. The installation went very smoothly, the electricity companies communication left a lot to be desired.",5.0,4.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,Goodwe,,,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
117227,Neil,NSW - 2770,NSW,2770,True,2023-12-05,05 December 2023,5.0,,"They delivered on their recommended system, provided great service and since installation we are using less than 0.5 kwhs per day of grid power. Thankyou Rowan for your expertise and recommendations. We have referred a family member to you.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,Alpha Technologies,Alpha-ESS,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
116746,Mick,NSW - 2750,NSW,2750,True,2023-11-20,20 November 2023,5.0,,Honest polite and even showed up to the houseTechnicians where polite and thorough while clearly explaining the process,5.0,5.0,5.0,5.0,13kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
115605,Peter,NSW - 2749,NSW,2749,True,2023-10-17,17 October 2023,4.5,,"Very happy with process from start to finish. Didn’t try to over sell, listened and gave us what we wanted and neededInstallation process was great. The team were respectful of the property, arrived on time, cleaned up everything and gave a full explanation of what they did and how to use the system and app for usage of battery.Highly recommend this company",4.0,4.0,5.0,5.0,10kW,"$15,000 to $20,000",ZNShine,Alpha Technologies,Alpha-ESS,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_znshine.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
115275,Neville,NSW - 2750,NSW,2750,True,2023-10-07,07 October 2023,5.0,,"Sales & quoting system was easy to negotiate. Advice was easy to understand & the final decision was mine.The install team was efficient, polite, punctual & left the site clean & tidy.The customer service was great, organised the grid connection & have had a follow-up contact to ensure I was happy with the results.Their suggested system is functioning highly satisfactory.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Q MAXX-G5 (Other),Goodwe,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
113868,Karyn,NSW - 2777,NSW,2777,True,2023-08-28,28 August 2023,5.0,,"Nepean Solar Systems responded within 2 days of receiving my name from SolarQuotes.  Appointment made, their representative arrived well equipped and ready to talk through our needs.  A quotation was prepared within a couple of days following.  The quotation was for panels and inverter products known to be reputable.  Pricing quoted was significantly less than a previous quotation we had received from an interstate competitor who was also going to us unknown and unproved products.  We signed approval to proceed with installation after which Nepean Solar Panels installed panels and inverter within 2 weeks and arranged for update of our electricity meter which was also done efficiently by the necessary agent in the appropriate time.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Goodwe,Goodwe,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_goodwe-battery.png']",0,0
113728,Steven,NSW - 2759,NSW,2759,True,2023-08-24,24 August 2023,5.0,,"Rowan was great and explained everything. Designed a system to suit our needs by adding additional panels to our existing set up complete with an additional 13.3kwh ESS battery system.Installers turned up on time and explained the process and cleaned up after themselves.All in all, a great company to deal with.NB. Price paid was for 13 additional panels and 13.3kwh battery fully installed.",5.0,5.0,5.0,5.0,5kW,"$12,500 to $15,000",Jinko Solar,Alpha Technologies,Alpha-ESS,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
112045,Michael,NSW - 2750,NSW,2750,True,2023-07-04,04 July 2023,5.0,,"Right from the start my experience with Nepean Solar Solutions was positive.The quotation and design process was clear and honest. Of all the companies I contacted Nepean Solar Solutions were the only ones that didn't simply try to push the biggest most expensive system possible but moreso one that suited our needs.Our installation was booked 2 weeks after we made our decision, the in-house technicians showed up on-time and left me very impressed with the quality of work.The whole team have been a pleasure to deal with and I highly recommend anyone to consider Nepean Solar Solutions when considering a solar installation.",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/215221bbc1b6b67c5ef70218317ef21d0.jpeg']",0,0
87427,Bruce,NSW - 2760,NSW,2760,True,2021-03-04,04 March 2021,5.0,,"Nepean Solar Solutions delivered “A Total Solar Solution” for me.From the best simple question on first contact with Jim and his team , “Why do you want to install solar?”, to installing a quality solar system and then when asked to help me find the best “following the sun concept”,  Nepean Solar Solutions delivered on a first class TOTAL Solar Solution for me. For me the most important part of the total solution was the Quality of Installation, attention to details and Service on which Nepean Solar Solutions ticketed all three boxes and are full accredited.To Jim and the all the team at Nepean Solar Solutions, thank you for your quality of service on all parts of our engagement, and I know my Solar System performance  is in good hands with your ongoing monitoring service.5 Star Quality Service",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Trina,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
72434,Troy,NSW - 2747,NSW,2747,True,2020-01-15,15 January 2020,5.0,,"We moved into our house around 8wks ago and started talking about solar pretty much straight away. I did some research and came across Jim and the team at Nepean Solar Solutions. From the moment of first contact, I could see that Jim was the man for the job. He showed genuine interest in what we were seeking and spoke from a tradesmans background rather than a salesman.Jim put together a number of options for us in a professionally presented folder and we eventually decided on a large 13.2kw system. A week or so later, Jims two young installers turned up on time and well presented. They took extreme care around our home and over two days did an amazing job of installing our system., with Jim himself doing the final commissioning. Since that time, our expectations have been thoroughly met and usually exceeded with the panels and inverter producing more than we hoped for.All in all, we are very happy with the job and wouldn't hesitate to recommend Jim and the team at Nepean Solar Solutions if you are considering a rooftop solar system. Their work is truly top notch and all done very professionally at a price that won't break the bank. You will not be disappointed.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Qcells,SMA,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
51437,Stewart,NSW - 2795,NSW,2795,True,2018-08-17,17 August 2018,4.67,,,0,5.0,4.0,5.0,More than 6kW,"more than $20,000",,,,,,,False,[],0,0
49486,Anon,NSW - 2759,NSW,2759,True,2018-07-01,01 July 2018,4.75,,Really knew what they were talking about and have great ongoing customer service.,4.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
