review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,has_images,image_urls,overall_rating,quality_rating
127946,Beb,NSW - 2705,NSW,2705,True,2024-11-15,15 November 2024,1.0,,"Over priced, terrible service and avoid at all costs.",1.0,1.0,1.0,1.0,6.6kW,"$10,000 to $12,500",,Growatt,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
125009,Suzanne,NSW - 2536,NSW,2536,True,2024-08-14,14 August 2024,1.0,,"Nexenenergy put panel on the roof  broke tiles on the roof and failed to tell me. (I had plenty of spare tiles) The first big rain and my granddaughters bedroom ceiling collapsed under the weight of the water. Little did I know, my solar has never worked, nexenenergy don't answer emails, when i call their parramatta office I get an answering machine to leave a number and a promise to call you back but that doesn't happen. This has been a nightmare and my next step is going to their office in Parramatta. My advice is shop local and if these guys come knocking at your door, don't open the door",1.0,1.0,1.0,1.0,6.6kW,"$6,000 to $8,000",,,,,False,[],0,0
120680,Stephen,NSW - 2429,NSW,2429,True,2024-03-27,27 March 2024,1.0,,"Slow to install, asked for payment befor anything being done, poor quality installation by non qualified personal three years on connections coming apart, brackets falling off, screws missing on the securing feet 50%, still no cert of compliance?",1.0,1.0,1.0,1.0,9kW,"$10,000 to $12,500",,Fronius,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
106868,Luke,NSW - 2206,NSW,2206,True,2022-12-28,28 December 2022,1.0,,"My Dad was talked into signing a contract and paying for panels he did not need. He already had panels, but a circuit had tripped. The on-site salesman took no care to suggest the most likely fix. I'm not in the industry and it took me all of 30 seconds to diagnose and fix.The panels were promptly delivered, and money happily taken.When the order was cancelled the panels were collected, but the company has refused to refund my Dad for the panels that are no longer in his possession.After numerous follow-ups over many months, my Dad has still not received his refund. With no options left, I've submitted a complaint to NSW Fair Trading. Fingers crossed that my Dad finally gets his refundSteer clear of this mob.",1.0,1.0,1.0,1.0,3.3kW,"$4,000 to $6,000",,,,,False,[],0,0
66083,Keith,NSW - 2537,NSW,2537,True,2019-07-12,12 July 2019,4.25,,After an initial stuff up in the quotation then subsequent negotiations I received a good quality 3 phase 6 Kw system. The installation was delayed a few days due to the weather. It went ahead on the agreed date and is very successful. The installation team did a very good and neat job led by Ben Walsh. They were very courteous and helpful and cleaned up everything after finishing. The grid connection was completed with the installation adding to an already operating system.,4.0,4.0,5.0,4.0,6kW,"$6,000 to $8,000",,,,,False,[],0,0
58940,Jack,NSW - 2550,NSW,2550,True,2019-01-22,22 January 2019,3.5,,I wish I researched the venture a lot more thourghally before signing with Nexen.,4.0,4.0,4.0,2.0,6kW,"$6,000 to $10,000",,,,,False,[],0,0
54999,Anon,NSW - 2155,NSW,2155,True,2018-10-31,31 October 2018,5.0,,"We installed a 6 Kw system with a Lg Battery Backup, sales to installation the process was smooth.The installation team did a neat job .",5.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,False,[],0,0
51637,Mal,NSW - 2620,NSW,2620,True,2018-08-22,22 August 2018,4.25,,Krunal and this work mates do the best for you and have installed 12 nice looking panels on our roof. Our installer Ben Wash did an excellent job and he did a very neat and faultless installation of the Inverter and the solar metre.,4.0,4.0,5.0,4.0,3kW,"$3,000 to $6,000",,,,,False,[],0,0
50050,Michael,NSW - 2835,NSW,2835,True,2018-07-16,16 July 2018,4.25,,"They have upgraded my system and added 2 Kw further to my system and this has brought my bills in credit , i am very happy with the service and assistance they have given me",4.0,4.0,4.0,5.0,2kW,"$3,000 to $6,000",,,,,False,[],0,0
49096,Carol,NSW - 2537,NSW,2537,True,2018-06-19,19 June 2018,2.0,,THEY put the inverter on then took it off as it was the wrong one said it would be replaced the following Tuesday that was three months ago have now issued court proceedings,2.0,2.0,2.0,2.0,5kW,"$3,000 to $6,000",,,,,False,[],0,0
45648,Bill,NSW - 2390,NSW,2390,True,2018-03-21,21 March 2018,4.5,,I used info from your website Finn to ask a series of questions of salesman and installer. They ticked all the boxes.,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,False,[],0,0
43210,Peter,NSW - 2594,NSW,2594,True,2018-01-19,19 January 2018,4.25,,"Frustrating initially as we were told before Christmas installation will begin early December 17.Kept being put back week after week, right through to 19th Jan 18.We paid a larger than required deposit on a reasonable deal and add on to existing solar system.Company and contacts were hard to contact and ""promises"" were not honoured, partly due to time of year and available workers at the time.Fair Trading was notified as we were told of scams and rorts from locals. Nexen were told by myself that I had to let Fair Trading know as our above required deposit was at risk due to putting off of dates promised and calls coming. Eventually,Friday12th Jan 18 we welcomely received equipment with date 19th Jan 18 installation.The best news ever was the installation team turning up, professionally and polite and installed the job better than any other could do. They worked without protest of the heat on the day and were a great example of tradesmen for the required job. Nexen, look after these great workers as they were a delight to have them do your work. This company can do well and better keeping good tradesmen as this team and concentrating on better communication before and after work is done. I know it was a bad time of year but original dates of installation should be truer than they were. Work as a team Nexen Energy Solutions and you will all profit as a business. Thanks again for putting up with us as we were concerned but you have fulfilled your commitments and hope and wish backup will be easy if we require assistance.Thanks team.",4.0,4.0,5.0,4.0,2kW,"$3,000 to $6,000",,,,,False,[],0,0
41246,John,NSW - 2700,NSW,2700,True,2017-12-04,04 December 2017,4.25,,"From Sign up to install , had a smooth process, installation did take about 3 weeksbut everything was in order .System is producing about 25 kWh on a average",3.0,4.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,False,[],0,0
40526,Don,NSW - 2835,NSW,2835,True,2017-11-16,16 November 2017,3.0,,They are supposed to organise connection to the grid but all they have done is taken the money and run. Can't even get them on the phone.,1.0,,5.0,0,More than 6kW,"$6,000 to $10,000",,,,,False,[],0,0
38151,Anon,NSW - 2318,NSW,2318,True,2017-09-08,08 September 2017,2.75,,"Should have used someone local, hope I never need any warranty. The only good experience was they used a local level 2 leco . for the metering.",3.0,4.0,3.0,1.0,3kW,"$3,000 to $6,000",,,,,False,[],0,0
