review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138367,Josh,NSW - 2478,NSW,2478,True,2025-10-09,09 October 2025,4.25,,"Overall very happy with Nickel Energy/Static Solar.The quoting was a bit of a drawn out process. I had decided on a solar only system, and in the meantime the government announced the battery rebate. While we waited for the battery rebate details to drop and while I had the roof painted between installing panel brackets, It took a bit of waiting for the sales rep to get back to me each time i'd email, understandably because of the rebate.Once package/price was finally confirmed it took a fair while, presumably to get stock in the midst of battery mayhem. Then install was delayed again for some reason.The actual install was fine until the very end when the inverted ended up having a faulty terminal out of the box, which was frustrating for everyone including the electrician. The company replaced it the following week and install completed. The guys did a great job, wiring was tidy and everything looks as it should with only one broken roof tile.After sales service could have been a bit more streamlined. Nothing was really explained to me about the setup, how to operate the app or how it all ties in with a vpp or even just my energy retailer. I'm a bit of a researcher so this didn't bother me too much, but if I had no idea about the inner workings of the system and how to get the most of my battery, i'd be completely lost. Overall very happy though, and glad I went with a local installer.So far the Deye gear and Aiko panels are a great match that is working very well drawing next to nothing from the grid so far (instal Sept 25)",4.0,5.0,4.0,4.0,10kW,"$15,000 to $20,000",Aiko Solar,Deye,Deye (Other),5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_deye.png']",0,0
134210,Bryan,NSW - 2464,NSW,2464,True,2025-06-10,10 June 2025,4.5,,,4.0,4.0,5.0,5.0,30kW,,,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
118016,Michael,NSW - 2480,NSW,2480,True,2023-12-31,31 December 2023,5.0,,Great service from David the rep from Nikel energy and go the install with Nathan a week before the close date for the rebate. The installer was very efficent and we are already saving money since the battery was installed,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,,Tesla Powerwall 2,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
102384,Miffy,NSW - 2480,NSW,2480,True,2023-06-06,06 June 2023,5.0,,"Nickel Energy were easy to contact, punctual, very helpful. Great follow up to make sure we were happy with everything.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Yingli,Sungrow,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
108992,Guy,NSW - 2470,NSW,2470,True,2023-03-19,19 March 2023,5.0,,"Two sales quotes were prepared after an on site inspection. I decided on one of the quotes, made an adjustment and the new quote was emailed to me.The installation and the installers was great ending ion a very neat job. Hats off to the installers and their professionalism.Customer service to date has been really good. I have paid the invoice and am now waiting for the final installation of the smart meter (which Nickel Energy organised) and the Solar Catch Relay.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
90725,Nigel,NSW - 2460,NSW,2460,True,2021-06-15,15 June 2021,4.25,,Everything was easy and as promised review is now longer than ten words,4.0,4.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
88347,Jan,NSW - 2480,NSW,2480,True,2021-03-30,30 March 2021,3.75,,"Installer explained all decisions on the day,  re need to site panels contrary to proposal. Sadly,  the inverter is exposed to western sun,  installer looked at all options. I am awaiting Nickel to get back to me with mitigation strategies",4.0,4.0,4.0,3.0,6kW,"$4,000 to $6,000",Trina,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
87858,John,NSW - 2470,NSW,2470,True,2021-03-17,17 March 2021,5.0,,"Sales / quoting was well received and detailed in all ways with follow up calls being polite and helpful.The installation was held up 4 days by rain and weather but l did not expect anyone to work on a roof in the rain. When it did go ahead workmen were polite and helpful in every way. On site on time and all rubbish was tidied up when the job was finished.Service was great, with them organising grid connection and wi-fi connection from inverter to iPad done after finishing.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
83389,Ann,NSW - 2474,NSW,2474,True,2020-11-08,08 November 2020,4.25,,"We wanted to top up our current 2.5kW system which is only 5 yrs old. We were also limited by some tree shading and therefore finding enough roof space which faced the required direction. Nickel were great from start to finish. We have a Salesperson Gavin arrived right on time, which was a good sign of the service to come. He was well presented and well mannered and very easy to deal with. The subsequent installation was the same - The team of three were quick and efficient.The Nickel admin team were friendly and knowledgeable throughout the process and I was kept informed by email and phone. They also handled the grid connection.It was a smooth and painless process.",4.0,4.0,5.0,4.0,5kW,"$4,000 to $6,000",Trina,SMA (Other),,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png'],0,0
83157,Colin,NSW - 2474,NSW,2474,True,2020-11-01,01 November 2020,4.0,,"Great pre sales service. All of my many questions were answered individually & patiently. Post sales service not as good.Problem free installation. On time, courteous, problem free & took their rubbish with them.Still waiting for grid connection.",4.0,4.0,5.0,3.0,6.6kW,"$4,000 to $6,000",Trina,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
81337,Diane,QLD - 4225,QLD,4225,True,2020-09-09,09 September 2020,5.0,,Nickel Energy installed our solar system and we were very happy with the whole process.They were most efficient and very helpful for any after sales information,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
