review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139745,David,VIC - 3166,VIC,3166,True,2025-11-11,11 November 2025,4.75,,Had this system installed 2 months ago and has worked flawlessly.O Briens did a great job  from enquiry to installation .Had 11kw panels supplied and installed as well last November  by O Briens,5.0,5.0,4.0,5.0,,"$6,000 to $8,000",,,GivEnergy,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_givenergy.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6bb5e54e0034519e6c955b1e4f1fc9120.jpg']",0,0
139545,John,VIC - 3978,VIC,3978,True,2025-11-07,07 November 2025,5.0,,Great job by Adrian and Dan on the installation  of our new Emerald 320 litre hot water heat pump such nice guys and good work .  No hassles .,5.0,5.0,5.0,5.0,,"$0 to $2,000",,,,,,,False,[],0,0
138571,Andrew,VIC - 3149,VIC,3149,True,2025-10-15,15 October 2025,5.0,,"Good clear sales process, really good information packs, and good comms during the installation process. We had some minor issues following installation, and they were promptly attended to and fixed.  18 months on everything going well.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
132942,Bob,VIC - 3082,VIC,3082,True,2025-04-30,30 April 2025,3.0,,"Customer contact people were terrific, really wanted me as their customer, really wanted me to be a happy customer.The actual installation process did not back that up. Long lead times (compared to other installers). 2 cancellations within 24 hours of scheduled install time. Not total respect from installers that this was my home where they were working.",4.0,4.0,2.0,2.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
131082,Samuel,VIC - 3174,VIC,3174,True,2025-02-26,26 February 2025,2.5,,"Initially, everything seemed fine - the initial quote process was pleasant, and the price seemed pretty good. Everyone who came to install the system was polite.Very soon after the system was installed, I noticed that there was an issue with the performance of the system. OBrien sent multiple people around who could not determine the problem, and who gave vague statements about what could be wrong. After these visits, they never followed up to check if the problem was resolved, and so I spent a lot of time corresponding about the issue. After over a *year* of very little action from OBrien, culminating in them trying to assert nothing was wrong, I had to engage with Solar Quotes directly to get OBrien to fix the issue (turns out - a faulty inverter).In this process, it also came to my attention that the quoted plan for the installation (panel layout, orientation, angle) was not adhered to, which means the panels will not be performing as well as in the initial quote. This was never communicated to me at all, and would have been something I would have never thought about if not for the inverter issue occuring.",3.0,3.0,3.0,1.0,7kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,,2.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
128083,Steve,VIC - 3134,VIC,3134,True,2024-11-19,19 November 2024,4.75,,Very professional and prompt. Tidied up afterwards and all the staff were courteous and efficient. Straight forward and expedient from the start. They were happy to answer questions and kept me informed at all stages of the project.,5.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",LONGi Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
127006,Daniel,VIC - 3199,VIC,3199,True,2024-10-17,17 October 2024,5.0,,"I had an exceptional experience with the sales and quoting process for my solar installation. From the beginning, Dave from the team was patient and willing to work with me, even though it took nearly two years for me to commit. Throughout that time, they never pressured me into making a decision and were always available to answer my questions. Their proactive communication stood out – they were quick to provide updates and made sure I was well-informed at every step.When it came to the installation, the team did a fantastic job of managing my expectations. They informed me in advance about a potential delay, but on the installation day, they went above and beyond by completing the entire installation in a single day. Their customer service was excellent, and they even arranged for the inspector to come shortly afterwards, ensuring everything was up and running smoothly.Overall, I’m incredibly pleased with the level of service, patience, and professionalism that the team provided. I would highly recommend them to anyone looking for a reliable and responsive solar installation company.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3862d87efd8d6c26cb5ed6d102851dcf0.jpg']",0,0
125591,Alan,VIC - 3093,VIC,3093,True,2024-09-02,02 September 2024,5.0,,O'Brien Electrical and Plumbing Rowville were recommended to me by Solar Quotes and installed a 12kw system with Jinko panels and Solar Edge Inverter/Optimisers. Nathan in sales was very easy to deal with and diligently answered all of my many questions. The install by Leigh and Lauchie (a difficult one due to the terracotta roof and optimisers) was handled very professionally and with an exceptional amount of care. Absolutely delighted with the solar system which was great value compared to other quotes and I have no hesitation in recommending O'Brien to others.,5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
115517,Margarita,VIC - 3131,VIC,3131,True,2024-08-08,08 August 2024,4.5,,"The saleswoman Melissa made the effort to come home, had a look at the roof and switchboard, asked us what our intentions were, answered every question.The installation team were excellent.There was an outstanding item, to install 8 Pole Waterproof Enclosure for the extender switchboard, which was done next business day.The inspector came in a week and found that the new enclosure was missing 3 blanking plates (see photo). Until this is resolved, our solar system cannot be connected to the grid. I don't know if the plates have any significance in terms of safety, or they are purely for aesthetic purposes. What I know is that they cost cents and it takes a minute to install. Unfortunately, O’Brien scheduled this work for a month after the installation, and this was after I followed up. This item is outstanding to this day, so the procedure for reconfiguring the meter and connecting to the grid has not started yet.The impression is that they are excellent until you give them the credit card. Then the care factor drops significantly.",5.0,5.0,5.0,3.0,10kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e883c8ca71d4fb97a0921cbcd79a7a3e0.jpg']",0,0
124463,Noel,VIC - 3820,VIC,3820,True,2024-07-30,30 July 2024,2.0,,"I have been waiting 6 weeks for certification, poor service when chased up. Very disappointing seeing i had to chase up. Still not checked",2.0,2.0,2.0,2.0,6.6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
