review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
132827,Alan,QLD - 4032,QLD,4032,True,2025-04-24,24 April 2025,5.0,,All went great. I got a quote within 24 hours. Installation went ahead withing two weeks of signing the contract.,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",JA Solar,Sungrow,Sungrow,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9ce63ece0b8e73f9b86ca7f89ced87830.JPEG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3816eb6b3dd944ee1568694529ffa3c61.JPEG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7f095408ddf839a4570f52fe4f5f62af2.jpg']",0,0
131128,Lea,QLD - 4030,QLD,4030,True,2025-02-27,27 February 2025,4.75,,"Quote was competitive and used the same quality products as other companies we looked into. But we were lured in by the installation being performed by the supplier rather than being outsourced to a separate contractor.The install all seemed fine and the system is running well now! During install, a glass panel was smashed on our outdoor area. But as soon as I notified the team that we were getting glass in our feet constantly, they were most apologetic and came straight out to do a very thorough clean of our whole outdoor area. Very impressively handled!",5.0,5.0,4.0,5.0,13kW,"$10,000 to $12,500",I don't know,I don't know,,,,,False,[],0,0
123732,John,QLD - 4170,QLD,4170,True,2024-07-08,08 July 2024,5.0,,"Initial quote was provided after video call, which was then updated due to issues with the location. We needed to use a scissor lift, which other suppliers had included, so it wasn't a surprise.Once they were on site they worked with us to create the best install and adjusted the cable routing to make a neater install.Good guys",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",JA Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
123416,William,QLD - 4035,QLD,4035,True,2024-06-27,27 June 2024,5.0,,"The whole process from start to finish was a dream. I had very specific requirements for which was all accommodated for. Installers know there trade, office staff were very helpful with great communication.",5.0,5.0,5.0,5.0,30kW,"More than $20,000",Canadian Solar Inc,SolarEdge,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9165f0d115066f722c9eb483fed2e12b0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1f71cbadeb5e7897b5027117c33fc9681.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6ae9342bf319988b69bd4f5487b2cb1b2.jpg']",0,0
120551,Michelle,QLD - 4036,QLD,4036,True,2024-03-23,23 March 2024,5.0,,"Kept in contact, answered all my questions. Understood what I wanted. Great price and great installation.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",JA Solar,SAJ,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png']",0,0
120495,Anand,QLD - 4142,QLD,4142,True,2024-03-21,21 March 2024,5.0,,"Dealing with Brooksies Energy was a great experience from start to finish. Michael and Cam personally ensured all my requirements were correctly gathered and were very prompt in answering questions.The quote received was good value for money, with no push to pay for anything (hardware or services) that I will not need. the transparency and clarity was very good.Particularly impressed with their assessment and plan to deal with a challenge with our property - it has a steep inclined metal roof (45 deg), which most installers could not handle. Brooksies were very thorough with their approach before confirming if solar panels can be safely  and properly installed.They were very prompt and punctual with their timelines and arrived on time and worked very efficiently on the day of install.Very happy with my experience - would gladly recommend to anyone looking for a good hassle free solar install experience.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",JA Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
119136,Daniel,QLD - 4344,QLD,4344,True,2024-02-11,11 February 2024,5.0,,"Excellent from the beginning, through to completion. Dealing with the owner from the start instead of a salesman had a more personalised feel. I ended up being able to purchase a large premium setup at a price I could afford. Installation was on time, efficient and professional even with difficult weather. Would highly recommend  the team at Brooksies, they definitely went the extra mile, and they deserve 5 stars across the board.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",JA Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
117272,Dande,QLD - 4509,QLD,4509,True,2023-12-06,06 December 2023,5.0,,"I recently contracted Brooksies Energy Solutions for the installation of a solar PV system on my property, and I couldn't be any happier with their services. From start to finish, they demonstrated a level of professionalism and customer service that was excellent.The team was incredibly easy to talk to as they patiently addressed all of my questions and concerns, making the entire process seamless and stress-free. Their expertise in solar energy was evident, demonstrated by the system design and capacity, as per the requirement I indicated in the questionnaire. Quoting system was really good, there is a short summary of the important aspects, and then also some detailed information for someone like me who like to do my own homework as well.One aspect that stood out was their quick response to queries. Communication is key for these jobs , and Brooksies was consistently prompt in addressing any inquiries I had. This responsiveness not only gave me confidence in their dedication but also ensured that the installation proceeded smoothly.The team presented me with a range of high-quality products, allowing me to choose the panels and inverter that best fit my requirements and budget. Their thorough explanations and transparency about the products made it easy for me to make an informed decision.In terms of price, the cost of the solar PV system and installation was not only competitive but also in line with the industry's standards for a system of such high quality and value. The transparent and fair pricing provided further assurance that I was getting excellent value.Flexibility in scheduling is often a challenge, but Brooksies worked seamlessly with my calendar. They accommodated my availability and this level of consideration for the customer's schedule is truly commendable.Upon completion of the installation, I was pleased to find that the team left the place clean and tidy. It was clear that they took pride in their work and respected my property. The owner and technician were on hand to do the install and we had good discussions on estimated duration of install, quality of products as well as explaining to me some safety notes, shut off and turn on of the system, consumption monitoring app, and the hot water timer. They also provided system manual and documentation and organized for grid connection and meter change to a smart meter.Most importantly, the system's performance has been exactly as quoted. I am experiencing the anticipated energy savings. The accuracy of their performance estimate speaks to their reliability and expertise.Throughout the entire process, Brooksies Energy Solutions demonstrated a commitment to delivering not only exceptional service but also cost effective solar PV installation and system. Their dedication to providing a quality product at a reasonable price, professionalism, responsiveness, and commitment to customer satisfaction reinforced my confidence in choosing them for my solar installation.",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",JA Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/587fd5cac518c4eff4da42219d5c748d0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5ca5e3a7b6c64d466bbb1c5df1fe0fc41.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1621fbc24d0daf686599d4197195b8fd2.jpg']",0,0
112961,Pat,QLD - 4031,QLD,4031,True,2023-08-02,02 August 2023,4.75,,"Good install, responsive. Came back the next day to shift a few panels that were visible over the roof hip.End result is very good.",5.0,5.0,4.0,5.0,13kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112660,Peter,QLD - 4012,QLD,4012,True,2023-07-25,25 July 2023,4.75,,Quotes were received from several competing suppliers. Brooksies chosen on basis of quality and price. Questions were dealt with effectively.Installers completed the work within 4 hours and provided advice on monitoring and tips on selection of a future energy provider.Brooksies submitted the Electrical Work Request to the power supplier. All we have to do is review our supplier to get the best feed in tariff.We are very pleased with the result.,5.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",SunPower,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
