review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
5449,Les,QLD - 4157,QLD,4157,True,2013-01-01,01 January 2013,4.0,,"Not enough liason between installer and salesperson. Arrangement of panels on roof not considered. Thinking went as far as square meterage of roof fitting the panels not how they would actually be arranged given their shape. If I was not here it would not have ended up the way I wanted.It's all about the panels and it's difficult to know if you really get the befenit from the best panels over the cheaper panels. Only time will tell.Could have got same system for about $17,000 but went for better quality at $22,000.",4.0,4.0,4.0,4.0,5kW,"More than $20,000",Conergy,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_conergy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
4672,Keith,QLD - 4207,QLD,4207,True,2012-09-11,11 September 2012,3.5,,"Omega Solar use Gold Coast Energy Services as their installation provider.  Neither lists a physical address. I assume both companies are closely related.Omega Solar was reasonably good to deal with and responded to my queries reasonably well.  I didnt receive any receipts for money transferred to Omega Solar, which is something I would have expected.Gold Coast energy on the other hand doesnt return phone calls and doesnt provide much in the way of information about the installation scheduling. The installation did go ahead within the time frame quoted.  I got to know about it about 6.30 am when the installers phoned about ten minutes away on the highwayCommunications definitely requires work.The installers did a very professional job under difficult conditions.  The weather here hasn't been that kind to outside workers of lateThe system seems to be good quality and is functioning well, meeting my expectations in output. Sunnyboy inverter with Conergy panels.  Both German engineering.The system provided isn;t the system I was expecting from the information I was given at the time of the quote.  It was actually to a higher specification.  I requested a 5 kW system and provided a 6 kW inverter.You may expect this to not be a problem. The 27 solar panels to make up 5 kW had to be arranged in three strings of nine.  The Sunnyboy 6 kW inverter requires equal strings.  A nine panel string wont operate the inverter the system had to be rearranged into two strings of 14 panels. 28 in total.While this was done willingly the final design was to my calculations.  I never got to speak to the Omega / Gold Coast Energy designer.  The feedback I received from omega Solar left me wondering about the ability of their system designer.I can;t decide if I would recommend this company or not.  The price, quality and installation standard are good, the management and design not good,",4.0,4.0,4.0,2.0,5kW,"$15,000 to $20,000",Conergy,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_conergy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
2823,R,QLD - 4211,QLD,4211,True,2012-09-04,04 September 2012,5.0,,"This company completed the job 3 weeks earlier than orginally planned which was wonderful.  The installers were professional, answered my questions, cleaned up and put the inverter where I wanted it in my garage, not where other solar companies wanted to put it outside next to the electric box (less work). Gold Coast Solar Power Solutions thoroughtly explained how they would install the panels and why.  They even moved my tv antenna and repositioned it at no extra cost and replaced some cracked roof tiles they found.  I have found their follow up service with other questions I have had, to be exemplary.   I had gotten excellent referals about this company from others customers before I made my final decision to use this company and now I can join those people in saying I also think this company did a great job.  I would highly recommend them.    The price for my system which I ticked in one of your boxes above, includes the large government REC rebate.",5.0,5.0,5.0,5.0,3kW,"$15,000 to $20,000",REC,Fimer,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
8018,Jocelyn,QLD - 4211,QLD,4211,True,2011-06-01,01 June 2011,4.0,,"The salesman for this company was by far the most informed and helpful.  The office staff could have been more attentive with returning phone calls and keeping me informed.  However, overall it was a very good experience and a company I would recommend.",4.0,4.0,5.0,3.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
6984,Dennis,QLD - 4210,QLD,4210,True,2011-05-07,07 May 2011,3.5,,I was impressed with the sales pitch etc by Omega & they promised when we signed up that it would be installed within 3 weeks . It actually took 7 weeks.We had NO communication from the company as to the delays. We sent several emails to the sales person who apologized for the delays & told us it was the installers problem. They were the company that sold the unit. It was really Bad Customer Service not to keep us informed.,4.0,4.0,4.0,2.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
6222,Michael,QLD - 4221,QLD,4221,True,2011-04-14,14 April 2011,4.75,,"It is too early to give a definitive answer to the ""value for money"" question. We bought a ""Mercedes Benz"" system for $14,000 out-of-pocket, when we could have bought a ""Great Wall of China"" system for $3,000 (or thereabouts depending on the supplier) out-of-pocket.It could be 10-25 years before we know whether we received value for money -- after hailstorms have damaged others, but not ours; after the Chinese panels have fallen off the roof while ours are still as good as new. When it can be proved that the Inverter we had installed actually performs better than other Inverters and that we receive more kilowatts from the sun than those people who don't have our type of Inverter.I still wonder each morning as to whether we did the right thing, by paying so much more, for something that so many people sell for so much less! Only time will tell whether it was the right decision or not and we could be long dead by then. Had I known that we would be paying $14,000 out of our pocket before I began the search for the solar system, I doubt that I would have done so. I expected to pay $3,000 -- I paid $14,000! You do the math.How can I measure success today? How can I determine whether I received value for money, today? I can only trust my gut instinct that ""you only get what you pay for"" and there is so much at stake if one does not make the right first decision.To have to replace a solar panel system would cost up to $20,000 with NO government rebate for the second installation, so we aimed to ""do it once and do it right"" in the first place. That we have a quality product is not in doubt. We have one of the very best -- but the answer to the value for money question is still many years away. In the meantime, my belief is that we DO have value for money -- I just cannot prove it.Michael",4.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
6133,Ross,QLD - 4214,QLD,4214,True,2011-04-11,11 April 2011,4.0,,"I have only just finalized two weeks ago my selection. There has been no work or products (Other than the agreement and the obligatory paper work for Energex and Omega, carried out to date. This should happen within the next two weeks, all being as promised.",0,,0,4.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
5552,Alan,QLD - 4226,QLD,4226,True,2011-03-10,10 March 2011,4.5,,The salesperson was very helpful and explained it in an easy manner for us to understand. He showed the different panels and what the quality would do in the long term. Installation was quick and very efficient.,4.0,5.0,5.0,4.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
5543,Lynne,QLD - 4280,QLD,4280,True,2011-03-09,09 March 2011,2.75,,Still waiting for the company to inspect their installation as we are not getting anywhere near their quoted daily average of power generated.  We are not yet connected to the grid although our system was installed on 18th January.,3.0,4.0,2.0,2.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
5293,David,QLD - 4161,QLD,4161,True,2011-02-21,21 February 2011,4.25,,I found the sales person from Omega had excellent knowledge of his products. It may have been that he could have been a Tec/salesperson. A lot of question I had asked him he had good and knowledgeable answers.Some of the salespersons I spoke to had some knowledge but when it came to  the detailed information they did not have the full understanding of their systems.The system we purchased was not the cheapest orthe dearest but it was the system we best understood and the most suitable for our needs that really mattered to us.,4.0,5.0,4.0,4.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
