review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
122949,Rod,NSW - 2095,NSW,2095,True,2024-06-11,11 June 2024,5.0,,"The guys who installed were fantastic, took the care I wanted, the director spooked to me about my installation concerns beforehand and it went exactly as I had hoped. Great team.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,,Tesla Powerwall 2,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
119270,Matt,NSW - 2174,NSW,2174,True,2024-02-14,14 February 2024,4.5,,"Had a 5.5 kw SG5K-D Sun-grow Inverter installed with 12 x Canadian panels on the roof - single story install at close to $12k. Easy Install, fast process, good quality, going strong 3 years later.",3.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
114232,Cheryl,NSW - 2318,NSW,2318,True,2023-09-08,08 September 2023,3.5,,Sales quoting / all the facts weren't layed out  after the installation the gst was charged on the initial price at  after gov't rebate and paying full amount with discount. They quoted for a catch power relay a meter amalgamation put a timer on hot water system they were going to charge 750 dollars for a 200 dollar switch after talking to them they charged 375. The installation went well polite tidy punctual. They organised the grid connection  customer service so so i wasn't made aware of the initial cost till the invoice came in,2.0,4.0,4.0,4.0,13kW,"$15,000 to $20,000",JA Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
113275,Bev,NSW - 2036,NSW,2036,True,2023-08-10,10 August 2023,4.75,,Dealing with one power seller was really easy. The sales person who visited was very knowledgeable and took the time to make sure. I understood what I was buying and how the system's work. The installation process was easy and the Installers knew what they were doing and were very pleasant To deal with. Everything happened on the dates they were supposed to happen.The only delay seems to be The upgrading of My electrical box to a smart metre it's due for upgrade.In a few Days. The after sale service from montgomery has been excellent easy to contact  and very helpful,4.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",JA Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112739,Graham,NSW - 2326,NSW,2326,True,2023-07-27,27 July 2023,3.25,,"Started the solar journey, and generally underwhelmed. The salesman quotes a 20.1% r.o.i. but in reality with my FTI of 12c kWh payback is > 10 years. At my age, not going to realise the benefits. Salesman’s modelling was out, utilising unrealistically low fees costs compared to the current energy plans and don’t get me started of FTI’s. Origin energy are practically using my panels for free. Why are solar plans more expensive per kWh? Pre-sales lobbying and promises 4/10 (in hindsight)Installation was exceptional (9-10) , but installer didn’t want to sort out the comms issue with the inverter to router. That took 6 months and endless calls before the boss got involved. Customer service 2/10Hardware appears midrange so fingers crossed.First real bill… they just want to rabbit on about the solar credits BUT the numbers don’t add up and guess what? Origin blame Onepower and Onepower blame Origin, so we the customer are stuck in the middle with zero rights.At our age we should’ve steered clear of the whole mess. Let’s see what the next 12 months bring! At the moment total rating is 4/10",3.0,3.0,5.0,2.0,10kW,"$12,500 to $15,000",I don't know,Sungrow,,3.0,3.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
106625,Allan,NSW - 2077,NSW,2077,True,2022-12-21,21 December 2022,4.0,,"Salesman visited our home siteWas very polite & informativeExplained differences in solar system sizesSimilar price to offer from one of your recommendationsInstallation was punctual, actually performed one week earlierCustomer service followed up after installation",4.0,4.0,4.0,4.0,10kW,"$12,500 to $15,000",Canadian Solar Inc,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
106071,David,QLD - 4575,QLD,4575,True,2022-12-07,07 December 2022,5.0,,"From the first contact it was abundantly clear, One Power's Director Sean Barry treats his customers like family. Not only installing, but ensuring your system is the most beneficial long term future proofed Solar system you could ask for.By all means obtain multiple quotes, then compare, cost, efficiency, performance, back up support and warrantyYour confidence in One Power is assured whatever you decide.",5.0,5.0,5.0,5.0,15kW,"$12,500 to $15,000",JA Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
105696,Kim,NSW - 2250,NSW,2250,True,2022-11-25,25 November 2022,5.0,,"One Power first of all is not based in Newcastle. Head Office is on the Goldcoast and they have Newcastle, Minchinbury, Wollongong and Perth.No lies, expertise at its best but most of all honesty.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",JA Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
104682,Colin,NSW - 2747,NSW,2747,True,2022-10-22,22 October 2022,3.0,,"I am Vision impaired Blind & have contacted One Solar for the last 2 months trying to get help on how to use the Alpha App for the Battery they installed but they say they are LISTENING but never any help. From the day it was installed on the 23rd August until 22 October.Paid $10,400 to install Battery you would think they would spend 1 hour showing you how to use the app, so don't expect any help after you have paid for your system totally money focused certainly NOT Customer Satisfaction Focused wouldn't  recommend them. They flush their customers down the Toilet.",5.0,4.0,2.0,1.0,5kW,"$10,000 to $12,500",,,Alpha-ESS,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
100268,Allan,NSW - 2568,NSW,2568,True,2022-05-31,31 May 2022,5.0,,The team of three (2 installers and an licenced electrician) arrived on time.They had to uninstall our 11 year old 1.5kW system before they could start on the new system.All went to plan and the installation was an expected success and we were producing power just after lunch.,5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",,Sungrow,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
